True Value,Predicted Value
2190.0,2201.9717
2195.0,2203.3274
2215.0,2207.6692
2223.0,2210.0325
2267.0,2216.3945
2268.0,2221.909
2283.0,2234.2668
2284.0,2246.9006
2300.0,2277.0938
2309.0,2300.856
2325.0,2323.2727
2331.0,2336.0203
2349.0,2350.1997
2334.0,2360.6353
2352.0,2371.277
2356.0,2379.4023
2377.0,2391.54
2388.0,2388.2886
2409.0,2389.2715
2414.0,2388.8552
2438.0,2397.2417
2440.0,2407.6782
2458.0,2424.0383
2456.0,2435.7043
2470.0,2453.1477
2471.0,2465.044
2475.0,2479.5176
2477.0,2486.2256
2485.0,2495.019
2483.0,2500.2878
2483.0,2502.388
2477.0,2501.4517
2485.0,2501.8835
2477.0,2497.7793
2481.0,2492.285
2474.0,2482.9243
2472.0,2475.945
2462.0,2466.5466
2463.0,2459.5044
2415.0,2450.1365
2404.0,2442.3806
2385.0,2432.226
2383.0,2424.665
2373.0,2400.3916
2374.0,2376.5374
2357.0,2352.6267
2362.0,2335.3813
2346.0,2321.237
2350.0,2313.4792
2331.0,2303.5015
2330.0,2300.0872
2317.0,2295.1995
2312.0,2293.8076
2287.0,2287.027
2293.0,2282.1729
2275.0,2275.0222
2271.0,2268.4092
2252.0,2254.405
2245.0,2248.5215
2206.0,2239.1372
2202.0,2231.9163
2184.0,2220.709
2187.0,2211.6123
2170.0,2188.048
2170.0,2169.4377
2156.0,2151.2642
2159.0,2144.0303
2144.0,2134.1208
2144.0,2128.5608
2134.0,2122.5383
2134.0,2120.525
2122.0,2113.8052
2122.0,2110.9531
2105.0,2106.644
2109.0,2105.3452
2099.0,2100.9463
2107.0,2098.7803
2093.0,2091.4434
2096.0,2089.5088
2087.0,2086.4128
2095.0,2089.2683
2083.0,2086.211
2091.0,2086.7363
2089.0,2083.1328
2096.0,2084.8677
2092.0,2082.7976
2105.0,2084.3745
2105.0,2086.7842
2115.0,2094.2825
2113.0,2098.7847
2126.0,2109.3503
2128.0,2118.8132
2142.0,2130.752
2142.0,2139.6938
2156.0,2152.032
2154.0,2161.0076
2171.0,2174.2688
2169.0,2182.8494
2179.0,2194.3413
2174.0,2198.744
2193.0,2207.2642
2197.0,2209.8162
2221.0,2214.1096
2236.0,2211.9814
2264.0,2217.8792
2268.0,2221.6245
2283.0,2236.0178
2291.0,2253.8745
2312.0,2281.2576
2306.0,2301.6116
2320.0,2321.8694
2327.0,2337.2834
2343.0,2354.9104
2350.0,2362.411
2358.0,2370.0103
2351.0,2374.1565
2367.0,2381.7217
2366.0,2388.7346
2384.0,2394.8623
2383.0,2391.3718
2393.0,2393.1133
2409.0,2392.0444
2420.0,2397.6797
2418.0,2398.652
2429.0,2402.3477
2427.0,2410.464
2444.0,2421.2058
2438.0,2426.5234
2443.0,2433.913
2445.0,2435.284
2449.0,2442.9077
2446.0,2444.3655
2453.0,2444.8982
2445.0,2444.027
2456.0,2443.635
2453.0,2439.5261
2458.0,2437.8015
2446.0,2432.4526
2448.0,2430.9165
2399.0,2426.8518
2407.0,2425.1948
2421.0,2418.8923
2422.0,2413.947
2406.0,2389.2869
2407.0,2372.3923
2393.0,2367.9795
2383.0,2366.8206
2363.0,2360.9014
2365.0,2356.6802
2344.0,2348.488
2337.0,2338.8958
2319.0,2324.3147
2314.0,2314.6873
2297.0,2301.4116
2293.0,2289.6736
2269.0,2275.3806
2270.0,2265.902
2254.0,2253.665
2243.0,2245.263
2200.0,2231.0867
2202.0,2222.762
2183.0,2213.3926
2184.0,2203.1462
2168.0,2180.4602
2169.0,2164.9065
2156.0,2149.7498
2159.0,2141.7048
2147.0,2132.5923
2143.0,2129.2742
2135.0,2123.8513
2132.0,2121.92
2116.0,2117.6504
2120.0,2113.6333
2107.0,2108.7383
2106.0,2106.0889
2082.0,2097.7256
2072.0,2095.0244
2034.0,2088.4714
2043.0,2084.6062
2019.0,2073.0737
2023.0,2060.8982
2009.0,2034.394
2010.0,2018.4927
1991.0,1997.5052
1988.0,1985.1135
1974.0,1973.5936
1968.0,1967.2749
1955.0,1957.4038
1937.0,1951.398
1911.0,1943.7465
1897.0,1936.9849
1878.0,1928.3966
1883.0,1916.9772
1866.0,1900.6923
1872.0,1884.9788
1858.0,1867.4585
1864.0,1857.6548
1849.0,1846.3798
1846.0,1840.9219
1831.0,1834.6279
1838.0,1832.0729
1815.0,1828.0978
1817.0,1824.4684
1807.0,1818.2496
1808.0,1815.7404
1796.0,1808.7361
1798.0,1804.3593
1784.0,1799.8832
1793.0,1797.1832
1784.0,1793.7332
1790.0,1792.9706
1780.0,1790.2296
1788.0,1791.3378
1780.0,1792.008
1790.0,1794.5424
1783.0,1795.1913
1794.0,1798.0759
1798.0,1799.0757
1801.0,1802.2606
1802.0,1803.9629
1811.0,1807.9482
1811.0,1813.5023
1828.0,1819.1244
1827.0,1825.3605
1844.0,1833.0623
1845.0,1839.8676
1855.0,1849.8734
1850.0,1858.8109
1865.0,1870.4225
1864.0,1880.4718
1878.0,1891.4838
1879.0,1899.985
1897.0,1909.5499
1901.0,1917.5006
1934.0,1926.4476
1953.0,1934.092
1970.0,1944.5333
1970.0,1953.202
1992.0,1968.8431
1997.0,1986.7838
2018.0,2005.1843
2023.0,2020.0557
2041.0,2036.3093
2044.0,2049.5676
2069.0,2064.4507
2070.0,2076.513
2095.0,2089.184
2096.0,2099.0137
2108.0,2112.703
2109.0,2121.4954
2126.0,2134.316
2134.0,2142.607
2154.0,2150.4297
2149.0,2153.87
2153.0,2159.215
2149.0,2164.0383
2160.0,2173.6204
2148.0,2177.6162
2162.0,2178.23
2154.0,2173.1802
2142.0,2171.7168
2130.0,2163.1912
2169.0,2161.0002
2154.0,2155.3638
2155.0,2142.4382
2145.0,2124.0867
2150.0,2129.4287
2150.0,2130.4453
2152.0,2131.8533
2143.0,2128.8127
2146.0,2130.515
2139.0,2133.2441
2129.0,2137.106
2063.0,2136.382
2066.0,2138.1846
2055.0,2136.4375
2056.0,2130.3726
2044.0,2091.5327
2045.0,2057.4705
2027.0,2028.6022
2029.0,2011.1622
2014.0,1996.9153
2016.0,1990.8746
2003.0,1983.2045
1991.0,1979.912
1974.0,1973.2526
1969.0,1972.2515
1956.0,1968.1132
1941.0,1961.8514
1916.0,1952.1093
1898.0,1943.8856
1881.0,1934.3038
1874.0,1923.9279
1867.0,1909.2976
1871.0,1892.6094
1859.0,1875.4701
1860.0,1861.236
1844.0,1849.8274
1847.0,1843.5566
1828.0,1836.545
1835.0,1831.8676
1819.0,1825.4999
1813.0,1821.6945
1797.0,1814.4548
1803.0,1811.0771
1793.0,1805.6866
1793.0,1800.9
1783.0,1794.1053
1790.0,1790.7498
1780.0,1787.5698
1781.0,1786.4242
1780.0,1784.4945
1786.0,1785.6815
1781.0,1785.6409
1789.0,1787.0414
1785.0,1789.0447
1794.0,1793.1333
1789.0,1795.6736
1804.0,1800.3396
1801.0,1803.8049
1813.0,1809.3789
1807.0,1812.6703
1819.0,1819.4486
1827.0,1826.0289
1844.0,1834.9785
1843.0,1840.764
1856.0,1848.6145
1851.0,1857.5452
1861.0,1869.792
1862.0,1880.1891
1877.0,1891.3281
1873.0,1900.0056
1896.0,1908.7367
1899.0,1915.5146
1943.0,1924.5033
1954.0,1930.9294
1972.0,1940.9045
1971.0,1950.553
1986.0,1968.7635
1995.0,1987.377
2012.0,2006.9918
2015.0,2022.2244
2033.0,2036.7239
2018.0,2048.84
2037.0,2062.1577
2053.0,2071.5251
2068.0,2082.571
2072.0,2085.442
2100.0,2090.1282
2105.0,2096.8247
2124.0,2106.6255
2127.0,2114.1743
2147.0,2128.0342
2144.0,2139.3262
2161.0,2152.7588
2158.0,2162.754
2169.0,2175.6013
2166.0,2181.4912
2179.0,2189.2563
2169.0,2191.1724
2179.0,2193.9153
2166.0,2191.6475
2178.0,2192.3726
2167.0,2186.2917
2179.0,2181.5906
2167.0,2170.7175
2168.0,2167.9116
2163.0,2159.7153
2152.0,2157.4304
2106.0,2151.243
2107.0,2147.3982
2082.0,2142.19
2083.0,2134.5254
2067.0,2104.0352
2071.0,2079.14
2055.0,2051.4915
2056.0,2033.4207
2041.0,2016.1764
2043.0,2009.4851
2031.0,2001.4541
2033.0,1999.7703
2015.0,1994.5684
2010.0,1994.4275
1987.0,1991.3579
1989.0,1991.3335
1968.0,1986.323
1973.0,1981.8657
1958.0,1971.4159
1947.0,1965.557
1914.0,1954.2661
1900.0,1948.9805
1882.0,1941.7963
1878.0,1934.3445
1865.0,1917.0687
1866.0,1899.1887
1850.0,1880.7655
1855.0,1866.8495
1839.0,1853.6567
1843.0,1844.1718
1830.0,1833.6206
1832.0,1827.7845
1814.0,1819.9379
1817.0,1815.4918
1801.0,1810.138
1807.0,1807.1416
1794.0,1801.3661
1799.0,1798.1855
1783.0,1793.6229
1787.0,1792.039
1778.0,1789.3185
1786.0,1789.6848
1776.0,1787.4592
1782.0,1787.9501
1779.0,1788.0983
1785.0,1790.3524
1778.0,1791.3353
1799.0,1794.355
1785.0,1796.4333
1799.0,1799.808
1800.0,1801.0062
1817.0,1807.7627
1810.0,1811.289
1831.0,1817.1636
1829.0,1823.265
1842.0,1832.328
1844.0,1838.9882
1858.0,1849.9073
1853.0,1859.264
1862.0,1870.7042
1866.0,1881.0415
1874.0,1893.4401
1879.0,1902.0417
1900.0,1911.1418
1910.0,1919.2465
1943.0,1927.6149
1955.0,1935.43
1970.0,1945.9264
1974.0,1956.6726
1999.0,1973.7515
1999.0,1991.7163
2005.0,2009.7246
2013.0,2024.6842
2026.0,2042.1582
2033.0,2054.4834
2048.0,2064.4507
2040.0,2071.9302
2056.0,2080.638
2055.0,2087.316
2072.0,2095.1384
2070.0,2096.5095
2081.0,2100.7825
2078.0,2101.3618
2105.0,2105.5967
2105.0,2106.8782
2118.0,2111.1582
2119.0,2110.5815
2128.0,2118.836
2125.0,2125.145
2133.0,2134.8872
2134.0,2141.8582
2141.0,2149.1174
2136.0,2151.2708
2148.0,2154.6426
2135.0,2154.8477
2152.0,2157.5103
2145.0,2155.0913
2149.0,2156.7588
2137.0,2149.6333
2147.0,2151.6501
2115.0,2149.9565
2101.0,2149.3193
2103.0,2142.2617
2122.0,2139.9832
2107.0,2121.8193
2100.0,2099.2646
2093.0,2082.2002
2084.0,2082.0972
2060.0,2079.044
2068.0,2075.1184
2048.0,2069.9553
2040.0,2063.281
2017.0,2047.5686
2012.0,2040.5656
1992.0,2029.1233
1994.0,2017.2849
1969.0,2000.7327
1972.0,1986.8094
1951.0,1971.0092
1950.0,1961.0082
1915.0,1946.4305
1898.0,1937.8925
1881.0,1926.2095
1876.0,1918.5151
1863.0,1901.6688
1865.0,1883.2001
1852.0,1866.4183
1861.0,1853.5276
1844.0,1840.0656
1843.0,1832.3058
1832.0,1824.2787
1832.0,1821.8383
1815.0,1816.7407
1816.0,1812.6731
1801.0,1808.5006
1800.0,1806.1218
1793.0,1801.1364
1797.0,1797.9211
1780.0,1793.5294
1788.0,1790.499
1776.0,1788.0862
1780.0,1787.9342
1774.0,1784.9596
1780.0,1786.0569
1780.0,1785.5083
1787.0,1786.9597
1781.0,1787.4834
1790.0,1790.1315
1786.0,1793.7441
1804.0,1798.1757
1800.0,1800.4739
1814.0,1805.5431
1814.0,1808.9397
1834.0,1816.3096
1829.0,1823.0421
1849.0,1831.9727
1845.0,1840.3085
1859.0,1852.724
1861.0,1861.9382
1871.0,1874.3992
1866.0,1884.6155
1877.0,1896.3298
1882.0,1906.2911
1906.0,1916.7373
1909.0,1923.8198
1943.0,1931.5594
1952.0,1938.5267
1969.0,1949.8252
1975.0,1959.9297
1992.0,1976.0392
2004.0,1991.9204
2014.0,2008.6146
2007.0,2023.0
2023.0,2037.6184
2031.0,2051.957
2039.0,2064.124
2042.0,2070.5144
2054.0,2078.1477
2060.0,2085.0217
2073.0,2090.8672
2077.0,2094.197
2104.0,2099.0715
2107.0,2102.9478
2120.0,2108.5488
2092.0,2112.598
2122.0,2124.365
2141.0,2133.9976
2153.0,2144.5625
2151.0,2139.4985
2163.0,2144.015
2157.0,2154.3274
2175.0,2168.5408
2172.0,2175.65
2177.0,2185.0862
2163.0,2185.9138
2180.0,2191.225
2170.0,2191.7922
2179.0,2191.8457
2167.0,2182.1462
2183.0,2180.3218
2163.0,2174.108
2160.0,2172.9363
2139.0,2165.8403
2140.0,2167.0332
2121.0,2158.6064
2122.0,2149.3474
2105.0,2130.9448
2099.0,2116.21
2078.0,2098.3682
2068.0,2085.549
2047.0,2070.5366
2044.0,2059.0852
2021.0,2042.5378
2018.0,2028.7523
1992.0,2009.9878
1990.0,1997.681
1974.0,1981.5349
1973.0,1970.3567
1958.0,1954.3627
1953.0,1943.5759
1923.0,1931.195
1899.0,1924.8597
1870.0,1916.7894
1880.0,1910.8988
1864.0,1897.2677
1865.0,1880.0586
1858.0,1857.6415
1863.0,1845.1028
1847.0,1833.5969
1845.0,1826.6895
1829.0,1821.508
1834.0,1819.8085
1813.0,1815.9691
1819.0,1812.9182
1799.0,1807.575
1802.0,1805.7395
1793.0,1800.1312
1799.0,1798.156
1785.0,1792.6897
1792.0,1790.0792
1783.0,1787.5029
1793.0,1787.669
1783.0,1786.3672
1788.0,1787.8569
1783.0,1788.9187
1791.0,1793.2386
1787.0,1796.0736
1803.0,1800.0314
1797.0,1802.3171
1811.0,1806.2062
1804.0,1808.9176
1818.0,1815.205
1812.0,1820.2101
1835.0,1828.3231
1833.0,1833.9604
1846.0,1841.7626
1850.0,1847.7032
1858.0,1857.8909
1859.0,1866.9443
1868.0,1877.3715
1864.0,1887.4688
1881.0,1898.0962
1881.0,1907.1847
1896.0,1915.9729
1909.0,1922.1294
1945.0,1930.3849
1955.0,1937.1694
1972.0,1945.5687
1972.0,1955.6644
1987.0,1973.3713
1988.0,1991.4142
2009.0,2009.8843
2012.0,2024.0139
2038.0,2037.1935
2040.0,2046.884
2060.0,2058.5552
2072.0,2067.2227
2085.0,2080.4119
2093.0,2090.7727
2110.0,2103.6877
2111.0,2115.7632
2134.0,2128.4207
2145.0,2138.156
2167.0,2149.148
2167.0,2155.2578
2186.0,2165.8306
2172.0,2175.7136
2188.0,2190.1042
2185.0,2199.0857
2192.0,2210.9834
2188.0,2210.5186
2196.0,2211.1597
2191.0,2207.7952
2198.0,2205.035
2189.0,2197.3223
2184.0,2193.549
2172.0,2186.808
2177.0,2184.999
2162.0,2178.3203
2167.0,2169.7668
2150.0,2155.6187
2154.0,2147.7627
2134.0,2135.9583
2130.0,2129.2246
2106.0,2119.0242
2106.0,2115.0852
2081.0,2104.5308
2070.0,2096.1914
2034.0,2079.4062
2043.0,2069.6353
2023.0,2051.4207
2020.0,2034.4883
2007.0,2007.4333
2010.0,1992.672
1994.0,1976.8276
1985.0,1968.0607
1970.0,1959.0524
1970.0,1956.4956
1951.0,1950.1484
1942.0,1943.3517
1914.0,1933.7786
1903.0,1929.1051
1878.0,1920.2019
1882.0,1912.4982
1869.0,1898.0886
1871.0,1884.322
1861.0,1867.3541
1861.0,1857.2206
1849.0,1847.568
1849.0,1841.528
1834.0,1835.6013
1837.0,1832.1416
1816.0,1827.6406
1821.0,1824.94
1810.0,1819.9862
1813.0,1817.2555
1796.0,1810.7219
1800.0,1807.0571
1785.0,1803.4023
1798.0,1801.5365
1785.0,1797.7191
1791.0,1796.2333
1781.0,1793.2915
1789.0,1794.8591
1783.0,1794.6844
1790.0,1796.8087
1781.0,1797.701
1801.0,1800.3701
1798.0,1801.4552
1803.0,1804.5013
1799.0,1805.3195
1817.0,1811.3635
1812.0,1817.0282
1831.0,1822.6779
1828.0,1827.8113
1848.0,1835.8835
1844.0,1842.3245
1857.0,1852.9629
1851.0,1862.131
1864.0,1873.9052
1866.0,1883.5829
1876.0,1894.3118
1881.0,1901.958
1897.0,1910.8505
1903.0,1918.8425
1941.0,1927.223
1954.0,1934.6489
1972.0,1944.0315
1971.0,1953.1664
1993.0,1970.3312
1997.0,1988.6914
2018.0,2007.5923
2022.0,2022.5232
2040.0,2038.6387
2046.0,2051.0586
2068.0,2065.8315
2071.0,2076.579
2095.0,2088.6907
2096.0,2098.6423
2108.0,2111.291
2110.0,2120.8196
2127.0,2133.9973
2135.0,2142.419
2152.0,2150.8577
2149.0,2154.2217
2151.0,2160.0603
2149.0,2165.6602
2159.0,2173.6929
2149.0,2176.3557
2162.0,2175.991
2149.0,2171.6663
2141.0,2170.456
2127.0,2162.0012
2164.0,2160.039
2158.0,2151.6624
2159.0,2138.4011
2146.0,2119.6514
2149.0,2124.0005
2148.0,2129.4944
2148.0,2135.6655
2140.0,2134.7847
2141.0,2134.2974
2131.0,2135.0007
2132.0,2136.6924
2115.0,2135.2878
2072.0,2134.659
2080.0,2129.1702
2062.0,2125.6355
2066.0,2114.501
2047.0,2084.0962
2046.0,2062.2756
2033.0,2039.9696
2041.0,2026.8882
2020.0,2011.8427
2012.0,2002.7953
1989.0,1993.7731
1990.0,1993.4828
1968.0,1988.3948
1957.0,1982.024
1928.0,1968.3118
1913.0,1960.0511
1901.0,1948.3291
1897.0,1935.6622
1888.0,1917.0842
1889.0,1898.6028
1878.0,1881.337
1881.0,1869.5366
1865.0,1858.9918
1869.0,1853.897
1852.0,1848.2445
1851.0,1846.0304
1840.0,1841.3419
1835.0,1838.8971
1822.0,1833.6573
1820.0,1829.7762
1809.0,1825.2601
1811.0,1821.3871
1808.0,1816.0026
1810.0,1812.372
1799.0,1807.5525
1803.0,1805.747
1800.0,1804.7249
1805.0,1805.304
1803.0,1805.0123
1810.0,1806.5428
1803.0,1808.5239
1818.0,1812.0032
1817.0,1815.2571
1829.0,1820.8947
1823.0,1823.7394
1834.0,1829.812
1826.0,1836.6729
1850.0,1845.8813
1851.0,1853.1594
1866.0,1861.7039
1867.0,1866.9435
1880.0,1877.2798
1874.0,1886.9402
