True Value,Predicted Value
2190.0,2208.0847
2195.0,2213.0251
2215.0,2215.8953
2223.0,2214.4702
2267.0,2224.7712
2268.0,2231.5312
2283.0,2242.2598
2284.0,2253.9802
2300.0,2276.6868
2309.0,2305.9937
2325.0,2332.7727
2331.0,2343.1238
2349.0,2356.3486
2334.0,2358.5625
2352.0,2378.1802
2356.0,2384.5735
2377.0,2400.2769
2388.0,2400.7087
2409.0,2398.053
2414.0,2390.3433
2438.0,2404.2039
2440.0,2410.9387
2458.0,2432.4639
2456.0,2445.5825
2470.0,2461.9822
2471.0,2468.8103
2475.0,2483.3186
2477.0,2489.2383
2485.0,2494.5425
2483.0,2496.8145
2483.0,2502.391
2477.0,2499.0178
2485.0,2504.0054
2477.0,2501.0874
2481.0,2497.8164
2474.0,2488.4778
2472.0,2480.1436
2462.0,2473.044
2463.0,2465.9832
2415.0,2459.4277
2404.0,2451.4746
2385.0,2438.6301
2383.0,2427.732
2373.0,2411.3208
2374.0,2378.8347
2357.0,2346.645
2362.0,2326.4448
2346.0,2310.989
2350.0,2305.629
2331.0,2298.813
2330.0,2294.0903
2317.0,2289.0085
2312.0,2288.9324
2287.0,2285.868
2293.0,2278.2725
2275.0,2272.0918
2271.0,2267.1584
2252.0,2257.928
2245.0,2245.4775
2206.0,2238.793
2202.0,2233.948
2184.0,2225.5112
2187.0,2217.7253
2170.0,2205.236
2170.0,2183.8086
2156.0,2165.1138
2159.0,2155.8696
2144.0,2136.8562
2144.0,2127.1099
2134.0,2115.9292
2134.0,2112.2085
2122.0,2108.3872
2122.0,2106.1047
2105.0,2099.0867
2109.0,2102.8694
2099.0,2100.921
2107.0,2102.1152
2093.0,2095.3867
2096.0,2091.7705
2087.0,2089.2104
2095.0,2090.8965
2083.0,2088.134
2091.0,2092.5093
2089.0,2089.1704
2096.0,2090.329
2092.0,2090.5178
2105.0,2092.9202
2105.0,2082.9792
2115.0,2090.0576
2113.0,2094.0486
2126.0,2105.1108
2128.0,2111.247
2142.0,2124.595
2142.0,2134.0251
2156.0,2146.1382
2154.0,2154.088
2171.0,2168.0847
2169.0,2180.5244
2179.0,2194.144
2174.0,2202.352
2193.0,2210.7358
2197.0,2213.8264
2221.0,2223.2332
2236.0,2224.1392
2264.0,2231.2393
2268.0,2232.8948
2283.0,2247.2388
2291.0,2259.9963
2312.0,2289.727
2306.0,2309.104
2320.0,2328.9634
2327.0,2341.103
2343.0,2357.66
2350.0,2364.316
2358.0,2376.2446
2351.0,2377.7678
2367.0,2385.7869
2366.0,2390.5417
2384.0,2403.9385
2383.0,2403.3313
2393.0,2404.408
2409.0,2400.6147
2420.0,2408.0977
2418.0,2407.1248
2429.0,2414.4165
2427.0,2412.5696
2444.0,2424.8254
2438.0,2428.617
2443.0,2437.255
2445.0,2435.82
2449.0,2442.1768
2446.0,2448.2778
