True Value,Predicted Value
2190.0,2203.9224
2195.0,2197.376
2215.0,2210.429
2223.0,2213.0317
2267.0,2227.0723
2268.0,2232.6714
2283.0,2254.5547
2284.0,2264.4714
2300.0,2312.9788
2309.0,2316.3298
2325.0,2334.826
2331.0,2334.509
2349.0,2353.9385
2334.0,2357.6096
2352.0,2375.292
2356.0,2382.3306
2377.0,2403.8328
2388.0,2382.707
2409.0,2398.0056
2414.0,2396.7344
2438.0,2426.6606
2440.0,2435.0457
2458.0,2458.2517
2456.0,2457.6057
2470.0,2479.8967
2471.0,2478.2046
2475.0,2495.089
2477.0,2490.9556
2485.0,2505.3252
2483.0,2506.076
2483.0,2508.55
2477.0,2506.5164
2485.0,2514.995
2477.0,2507.7373
2481.0,2501.905
2474.0,2487.277
2472.0,2483.0588
2462.0,2469.073
2463.0,2465.102
2415.0,2451.727
2404.0,2446.2793
2385.0,2432.9631
2383.0,2427.5596
2373.0,2382.0588
2374.0,2364.2764
2357.0,2343.3774
2362.0,2335.1956
2346.0,2323.1985
2350.0,2320.9153
2331.0,2305.7266
2330.0,2308.5942
2317.0,2298.7734
2312.0,2299.4724
2287.0,2284.2156
2293.0,2281.4014
2275.0,2270.806
2271.0,2264.9268
2252.0,2243.7007
2245.0,2248.6401
2206.0,2234.347
2202.0,2231.3716
2184.0,2216.859
2187.0,2212.226
2170.0,2179.123
2170.0,2173.4285
2156.0,2158.1838
2159.0,2159.9226
2144.0,2141.3
2144.0,2138.0234
2134.0,2128.5525
2134.0,2128.802
2122.0,2115.7285
2122.0,2117.7131
2105.0,2110.167
2109.0,2113.306
2099.0,2105.0112
2107.0,2106.4717
2093.0,2093.0027
2096.0,2097.6477
2087.0,2091.737
2095.0,2099.4253
2083.0,2091.5667
2091.0,2098.6797
2089.0,2095.4329
2096.0,2105.6802
2092.0,2101.6426
2105.0,2106.35
2105.0,2100.027
2115.0,2110.362
2113.0,2107.4834
2126.0,2123.2249
2128.0,2125.2988
2142.0,2136.5613
2142.0,2138.8665
2156.0,2153.3323
2154.0,2155.754
2171.0,2173.4475
2169.0,2175.6404
2179.0,2192.1494
2174.0,2189.823
2193.0,2207.717
2197.0,2205.8994
2221.0,2217.3662
2236.0,2212.3203
2264.0,2233.185
2268.0,2234.1245
2283.0,2262.445
2291.0,2278.493
2312.0,2311.5469
2306.0,2313.594
2320.0,2332.2441
2327.0,2339.5264
2343.0,2360.2842
2350.0,2354.0586
2358.0,2370.643
2351.0,2373.723
2367.0,2391.0068
2366.0,2398.095
2384.0,2409.7488
2383.0,2396.7993
2393.0,2415.3103
2409.0,2408.3435
2420.0,2426.118
2418.0,2415.627
2429.0,2425.487
2427.0,2436.278
2444.0,2447.6887
2438.0,2443.0933
2443.0,2454.2913
2445.0,2446.804
2449.0,2462.723
2446.0,2454.7878
2453.0,2453.795
2445.0,2450.8562
2456.0,2449.175
2453.0,2439.743
2458.0,2440.727
2446.0,2430.8984
2448.0,2434.1821
2399.0,2426.293
2407.0,2427.854
2421.0,2415.9004
2422.0,2413.5854
2406.0,2367.5962
2407.0,2365.8774
2393.0,2375.2542
2383.0,2373.7402
2363.0,2361.066
2365.0,2358.7566
2344.0,2345.2014
2337.0,2334.5486
2319.0,2315.1335
2314.0,2312.3242
2297.0,2294.7725
2293.0,2286.1714
2269.0,2270.1504
2270.0,2266.4404
2254.0,2250.4841
2243.0,2246.6804
2200.0,2225.9592
2202.0,2224.8765
2183.0,2212.717
2184.0,2202.1426
2168.0,2171.5955
2169.0,2168.5703
2156.0,2154.0415
2159.0,2151.7007
2147.0,2137.5664
2143.0,2140.309
2135.0,2132.6426
2132.0,2134.4678
2116.0,2126.1506
2120.0,2123.5884
2107.0,2117.3455
2106.0,2116.7185
2082.0,2101.426
2072.0,2106.678
2034.0,2093.714
2043.0,2093.0574
2019.0,2074.8572
2023.0,2067.1143
2009.0,2031.7899
2010.0,2034.2078
1991.0,2009.2112
1988.0,2009.7499
1974.0,1996.565
1968.0,1991.7496
1955.0,1965.3903
1937.0,1962.0319
1911.0,1948.1575
1897.0,1941.2864
1878.0,1927.4695
1883.0,1912.3054
1866.0,1888.2805
1872.0,1874.9778
1858.0,1855.9257
1864.0,1856.9862
1849.0,1844.1958
1846.0,1847.3483
1831.0,1838.9772
1838.0,1841.8229
1815.0,1834.2864
1817.0,1831.1155
1807.0,1820.3721
1808.0,1823.1462
1796.0,1808.4772
1798.0,1809.0626
1784.0,1803.1658
1793.0,1803.1963
1784.0,1797.955
1790.0,1800.3296
1780.0,1794.3201
1788.0,1799.8448
1780.0,1797.8337
1790.0,1801.9681
1783.0,1798.9791
1794.0,1805.2177
1798.0,1802.8071
1801.0,1809.4429
1802.0,1807.9038
1811.0,1816.5016
1811.0,1823.4716
1828.0,1828.9421
1827.0,1834.9603
1844.0,1845.5533
1845.0,1849.5444
1855.0,1866.8834
1850.0,1872.3208
1865.0,1891.0215
1864.0,1896.2202
1878.0,1909.422
1879.0,1911.3645
1897.0,1923.8596
1901.0,1928.3148
1934.0,1940.4629
1953.0,1945.6642
1970.0,1962.4675
1970.0,1965.9854
1992.0,1992.419
1997.0,2008.4717
2018.0,2022.2574
2023.0,2026.4358
2041.0,2043.3444
2044.0,2048.425
2069.0,2064.9832
2070.0,2070.5505
2095.0,2083.7122
2096.0,2089.035
2108.0,2109.2485
2109.0,2109.6912
2126.0,2130.8208
2134.0,2132.0493
2154.0,2142.6963
2149.0,2142.7898
2153.0,2155.143
2149.0,2160.1953
2160.0,2177.459
2148.0,2172.6812
2162.0,2173.0698
2154.0,2166.2764
2142.0,2176.2083
2130.0,2162.0364
2169.0,2174.2075
2154.0,2163.3047
2155.0,2137.448
2145.0,2110.9724
2150.0,2145.2363
2150.0,2132.4438
2152.0,2131.9497
2143.0,2121.169
2146.0,2126.4888
2139.0,2125.9917
2129.0,2128.8452
2063.0,2122.653
2066.0,2126.042
2055.0,2117.779
2056.0,2107.6174
2044.0,2050.2373
2045.0,2038.9183
2027.0,2023.6124
2029.0,2020.6488
2014.0,2009.0612
2016.0,2007.8744
2003.0,1994.0048
1991.0,1991.3887
1974.0,1976.4644
1969.0,1977.7228
1956.0,1966.344
1941.0,1956.3717
1916.0,1942.5464
1898.0,1936.4617
1881.0,1924.6339
1874.0,1913.8148
1867.0,1894.1238
1871.0,1878.612
1859.0,1865.0581
1860.0,1857.5225
1844.0,1850.4486
1847.0,1851.1017
1828.0,1842.1807
1835.0,1840.6769
1819.0,1828.6401
1813.0,1829.0863
1797.0,1816.7574
1803.0,1818.9722
1793.0,1809.7681
1793.0,1806.3253
1783.0,1797.223
1790.0,1798.518
1780.0,1794.6697
1781.0,1795.5597
1780.0,1791.6887
1786.0,1796.0815
1781.0,1793.0734
1789.0,1795.4044
1785.0,1796.9204
1794.0,1803.5555
1789.0,1803.1447
1804.0,1810.5566
1801.0,1810.9884
1813.0,1819.9506
1807.0,1818.0858
1819.0,1831.4904
1827.0,1836.761
1844.0,1850.982
1843.0,1848.9805
1856.0,1862.4463
1851.0,1872.8689
1861.0,1893.0953
1862.0,1897.4974
1877.0,1910.2424
1873.0,1913.0356
1896.0,1922.094
1899.0,1924.1287
1943.0,1938.7372
1954.0,1939.6481
1972.0,1958.1876
1971.0,1966.0778
1986.0,1997.5145
1995.0,2008.9658
2012.0,2024.6198
2015.0,2027.341
2033.0,2039.6935
2018.0,2046.4066
2037.0,2061.2195
2053.0,2062.835
2068.0,2077.8967
2072.0,2070.0042
2100.0,2082.382
2105.0,2093.8655
2124.0,2108.5173
2127.0,2112.5725
2147.0,2135.7454
2144.0,2138.9639
2161.0,2153.4194
2158.0,2155.306
2169.0,2171.8486
2166.0,2167.253
2179.0,2182.178
2169.0,2178.907
