True Value,Predicted Value
5567.0,2948.6482
5548.0,2948.6155
5540.0,2948.6687
5527.0,2948.6887
5521.0,2948.7563
5506.0,2948.8657
5490.0,2948.9119
5483.0,2949.0073
5464.0,2949.0752
5451.0,2949.2083
5435.0,2949.3313
5411.0,2949.4163
5369.0,2949.5898
5299.0,2949.7156
5273.0,2949.8772
5248.0,2950.1086
5215.0,2950.4792
5177.0,2951.0635
5153.0,2951.361
5119.0,2951.7512
5077.0,2952.256
5057.0,2952.765
5041.0,2953.1863
5011.0,2953.783
4977.0,2954.4607
4944.0,2954.9133
4910.0,2955.4138
4905.0,2956.0427
4881.0,2956.7295
4843.0,2957.4207
4841.0,2958.1902
4821.0,2958.6145
4829.0,2959.3823
4820.0,2960.2517
4808.0,2960.6675
4815.0,2961.4707
4813.0,2961.8137
4819.0,2962.3982
4824.0,2963.0022
4898.0,2963.3403
4903.0,2963.7683
4940.0,2964.0938
4968.0,2964.369
4976.0,2963.6794
5007.0,2963.9683
5020.0,2963.5278
5053.0,2963.2402
5058.0,2963.0564
5099.0,2962.5325
5129.0,2962.2407
5155.0,2961.6296
5155.0,2961.3496
5183.0,2960.5774
5220.0,2959.9768
5223.0,2959.3296
5244.0,2958.9392
5272.0,2958.2595
5314.0,2957.5183
5372.0,2957.1113
5434.0,2956.524
5447.0,2955.901
5471.0,2955.1995
5476.0,2954.3987
5489.0,2953.6033
5481.0,2953.134
5492.0,2952.5452
5500.0,2952.1692
5515.0,2951.741
5538.0,2951.522
5543.0,2951.167
5567.0,2950.9412
5579.0,2950.6597
5595.0,2950.365
5608.0,2950.181
5632.0,2949.9192
5639.0,2949.7192
5643.0,2949.513
5649.0,2949.3254
5653.0,2949.0989
5655.0,2948.9546
5624.0,2948.8162
5612.0,2948.6829
5594.0,2948.581
5582.0,2948.4836
5564.0,2948.544
5548.0,2948.5361
5525.0,2948.5771
5513.0,2948.624
5496.0,2948.715
5488.0,2948.8052
5480.0,2948.9478
5469.0,2949.0447
5456.0,2949.1978
5435.0,2949.284
5428.0,2949.406
5395.0,2949.5337
5300.0,2949.6738
5274.0,2949.8716
5229.0,2949.972
5206.0,2950.29
