True Value,Predicted Value
5464.0,2668.05
5451.0,2696.7996
5435.0,2721.1565
5411.0,2743.2173
5369.0,2763.1526
5299.0,2780.1223
5273.0,2795.2664
5248.0,2808.8557
5215.0,2821.6353
5177.0,2834.2715
5153.0,2846.1409
5119.0,2858.1204
5077.0,2870.141
5057.0,2881.8066
5041.0,2893.558
5011.0,2905.0818
4977.0,2916.5635
4944.0,2928.1497
4910.0,2940.1218
4905.0,2952.081
4881.0,2964.4177
4843.0,2976.8787
4841.0,2989.1936
4821.0,3001.3557
4829.0,3013.4985
4820.0,3025.5151
4808.0,3037.4023
4815.0,3049.148
4813.0,3060.7695
4819.0,3072.5757
4824.0,3084.2068
4898.0,3096.0308
4903.0,3107.9724
4940.0,3120.0862
4968.0,3132.521
4976.0,3144.9148
5007.0,3157.3433
5020.0,3169.9036
5053.0,3182.5022
5058.0,3195.2065
5099.0,3207.9885
5129.0,3220.8562
5155.0,3233.753
5155.0,3246.7217
5183.0,3259.855
5220.0,3273.1504
5223.0,3286.7349
5244.0,3300.5232
5272.0,3314.6277
5314.0,3328.7168
5372.0,3342.985
5434.0,3357.3296
5447.0,3371.8567
5471.0,3386.6306
5476.0,3401.7004
5489.0,3416.9102
5481.0,3432.3647
5492.0,3447.8918
5500.0,3463.4973
5515.0,3479.2288
5538.0,3495.1396
5543.0,3511.0413
5567.0,3527.1797
5579.0,3543.643
5595.0,3560.1216
5608.0,3576.5947
5632.0,3593.097
5639.0,3609.6406
5643.0,3626.0735
5649.0,3642.7964
5653.0,3660.0828
5655.0,3677.529
5624.0,3695.1592
5612.0,3712.9478
5594.0,3730.907
5582.0,3748.7634
5564.0,3766.665
5548.0,3784.5103
5525.0,3802.2441
5513.0,3820.1125
5496.0,3837.9456
5488.0,3855.9658
5480.0,3873.859
5469.0,3891.5088
5456.0,3908.8923
5435.0,3926.0095
5428.0,3943.0432
5395.0,3960.189
5300.0,3977.4712
5274.0,3994.6594
5229.0,4011.858
5206.0,4028.8691
5190.0,4045.8655
5161.0,4062.4197
5129.0,4078.6248
5094.0,4094.3562
5061.0,4109.8613
5039.0,4125.165
5006.0,4140.1284
5000.0,4154.911
4990.0,4169.4937
4989.0,4183.771
4962.0,4197.8853
4940.0,4211.6875
4903.0,4225.159
4888.0,4238.1943
4875.0,4250.812
4867.0,4263.0034
4866.0,4274.8315
4864.0,4286.256
4862.0,4297.5005
4864.0,4308.5044
4873.0,4319.174
4878.0,4329.571
4907.0,4339.961
4909.0,4350.1626
4942.0,4360.1587
4964.0,4369.9175
4981.0,4379.5166
5002.0,4388.9434
5009.0,4398.3105
5044.0,4407.5693
5051.0,4416.9346
5071.0,4426.3286
5106.0,4435.766
