True Value,Predicted Value
1864.0,1866.8677
1870.0,1858.4819
1857.0,1851.752
1855.0,1850.1506
1842.0,1845.0605
1845.0,1843.1785
1827.0,1838.9973
1833.0,1835.7394
1822.0,1830.7627
1820.0,1828.6171
1811.0,1823.3888
1815.0,1821.5437
1803.0,1818.6433
1817.0,1818.0729
1812.0,1816.2979
1817.0,1816.7771
1808.0,1815.4076
1824.0,1818.1649
1821.0,1820.771
1826.0,1825.2805
1819.0,1827.6913
1825.0,1833.7632
1821.0,1838.668
1841.0,1844.8881
1838.0,1849.3075
1856.0,1854.0815
1849.0,1857.8887
1871.0,1866.5146
1869.0,1873.5634
1880.0,1883.5205
1874.0,1891.1444
1890.0,1902.3107
1890.0,1911.4388
1904.0,1921.533
1901.0,1927.9465
1930.0,1936.1501
1939.0,1943.0824
1976.0,1952.1575
1976.0,1958.2235
1990.0,1969.7079
1992.0,1981.9194
2004.0,2002.0798
2012.0,2018.5541
2025.0,2033.7799
2021.0,2045.5967
2046.0,2056.4177
2041.0,2066.5615
2043.0,2075.7146
2044.0,2080.5544
2076.0,2090.4407
2078.0,2094.494
2101.0,2096.286
2109.0,2095.8254
2126.0,2104.062
2131.0,2110.6604
2149.0,2122.93
2147.0,2134.4832
2163.0,2149.5134
2156.0,2161.6501
2169.0,2176.2683
2155.0,2185.0693
2172.0,2194.5232
2171.0,2195.2537
2172.0,2198.072
2173.0,2189.8606
2178.0,2186.3242
2164.0,2180.8782
2170.0,2176.5693
2162.0,2170.751
2168.0,2168.0527
2157.0,2158.6665
2154.0,2153.4373
2103.0,2145.0447
2105.0,2143.0193
2088.0,2136.6587
2093.0,2131.4636
2077.0,2102.2314
2075.0,2078.7437
2063.0,2055.18
2062.0,2043.1676
2046.0,2030.9724
2051.0,2024.0221
2040.0,2017.5975
2040.0,2014.1592
2034.0,2006.9622
2034.0,2005.8943
2006.0,2003.6443
2011.0,2003.8577
1993.0,2004.2874
1992.0,2007.3474
1979.0,1998.4865
1971.0,1994.3577
1941.0,1985.5339
1935.0,1980.1056
1909.0,1972.2194
1904.0,1963.7747
1888.0,1947.0892
1891.0,1932.3931
1875.0,1913.4403
1879.0,1898.1257
1870.0,1882.3811
1868.0,1872.7384
1856.0,1861.9849
1855.0,1855.7458
1839.0,1849.7903
1838.0,1845.9489
1831.0,1839.945
1832.0,1836.4634
1818.0,1830.0581
1822.0,1825.3673
1811.0,1821.1517
1813.0,1819.1871
1801.0,1815.2596
1808.0,1813.9922
1804.0,1811.5652
1812.0,1811.8293
1803.0,1810.238
1818.0,1811.4558
1814.0,1812.925
1826.0,1817.0896
1820.0,1819.4773
1839.0,1825.5311
1824.0,1830.601
1846.0,1838.914
1841.0,1844.7374
1855.0,1854.461
1856.0,1859.9164
1870.0,1869.714
1868.0,1876.917
1876.0,1886.951
1876.0,1895.9448
1892.0,1906.6161
1889.0,1914.777
1905.0,1923.5248
1909.0,1929.8469
1935.0,1938.6041
1934.0,1945.044
1967.0,1953.055
1971.0,1960.3458
1992.0,1972.7725
1991.0,1982.3267
2010.0,1998.3065
2017.0,2012.5543
2031.0,2029.8181
2027.0,2041.6544
2042.0,2055.7454
2042.0,2067.9685
2056.0,2079.6978
2046.0,2086.2986
2061.0,2093.3777
2062.0,2097.722
2073.0,2102.9678
2076.0,2101.3853
2088.0,2102.4788
2090.0,2102.0818
2113.0,2103.7498
2114.0,2104.3728
2124.0,2108.7285
2121.0,2111.7837
2135.0,2122.4727
