True Value,Predicted Value
1864.0,1839.4879
1870.0,1842.332
1857.0,1837.5848
1855.0,1843.8706
1842.0,1825.8815
1845.0,1830.5403
1827.0,1808.2778
1833.0,1807.4658
1822.0,1798.3943
1820.0,1802.4138
1811.0,1790.6361
1815.0,1796.1619
1803.0,1789.2552
1817.0,1792.6665
1812.0,1786.6177
1817.0,1791.5823
1808.0,1786.383
1824.0,1797.7214
1821.0,1799.5085
1826.0,1808.8025
1819.0,1805.6232
1825.0,1818.7816
1821.0,1817.3331
1841.0,1825.2487
1838.0,1822.5956
1856.0,1828.3324
1849.0,1828.0546
1871.0,1847.9535
1869.0,1848.8816
1880.0,1866.6633
1874.0,1866.4152
1890.0,1889.7863
1890.0,1892.7695
1904.0,1908.013
1901.0,1906.1958
1930.0,1924.1978
1939.0,1930.1804
1976.0,1949.9207
1976.0,1950.1309
1990.0,1979.0502
1992.0,1991.7562
2004.0,2025.4104
2012.0,2029.6442
2025.0,2039.7239
2021.0,2044.1632
2046.0,2053.3938
2041.0,2062.4019
2043.0,2070.8042
2044.0,2072.1604
2076.0,2090.8452
2078.0,2089.7195
2101.0,2094.5984
2109.0,2096.1123
2126.0,2118.9744
2131.0,2123.2776
2149.0,2141.3484
2147.0,2147.5322
2163.0,2160.8723
2156.0,2163.3875
2169.0,2176.5903
2155.0,2177.3328
2172.0,2187.3928
2171.0,2182.018
2172.0,2193.4675
2173.0,2183.777
2178.0,2198.6548
2164.0,2191.0303
2170.0,2187.8345
2162.0,2175.277
2168.0,2174.4805
2157.0,2153.1638
2154.0,2152.0408
2103.0,2137.273
2105.0,2142.1953
2088.0,2125.7322
2093.0,2119.5823
2077.0,2072.383
2075.0,2062.8528
2063.0,2040.2736
2062.0,2037.6123
2046.0,2022.4534
2051.0,2020.766
2040.0,2011.4338
2040.0,2006.6289
2034.0,1989.1
2034.0,1988.6849
2006.0,1979.0594
2011.0,1978.9543
1993.0,1975.4843
1992.0,1982.413
1979.0,1961.364
1971.0,1968.5441
1941.0,1953.5248
1935.0,1958.0106
1909.0,1948.0098
1904.0,1942.5839
1888.0,1914.3788
1891.0,1907.7622
1875.0,1882.6064
1879.0,1874.6935
1870.0,1851.4999
1868.0,1850.9786
1856.0,1834.0535
1855.0,1834.7461
1839.0,1824.6005
1838.0,1822.3948
1831.0,1809.5624
1832.0,1810.0963
1818.0,1796.6766
1822.0,1797.027
1811.0,1792.9493
1813.0,1794.9923
1801.0,1786.2888
1808.0,1789.6045
1804.0,1782.9067
1812.0,1788.4474
1803.0,1782.0256
1818.0,1788.5988
1814.0,1789.2119
1826.0,1799.3483
1820.0,1798.228
1839.0,1812.0541
1824.0,1811.4261
1846.0,1825.0858
1841.0,1821.1431
1855.0,1839.1569
1856.0,1830.272
1870.0,1851.458
1868.0,1849.457
1876.0,1867.963
1876.0,1873.7821
1892.0,1891.8892
1889.0,1894.2233
1905.0,1907.9528
1909.0,1909.9539
1935.0,1930.1663
1934.0,1933.0449
1967.0,1950.3715
1971.0,1958.6635
1992.0,1984.8445
1991.0,1987.3757
2010.0,2015.3756
2017.0,2022.5903
