True Value,Predicted Value
1864.0,1856.5513
1870.0,1849.0088
1857.0,1846.298
1855.0,1851.4902
1842.0,1849.0758
1845.0,1850.0667
1827.0,1847.6154
1833.0,1846.5015
1822.0,1841.7295
1820.0,1840.9972
1811.0,1833.8246
1815.0,1831.1967
1803.0,1826.5236
1817.0,1824.3436
1812.0,1818.7893
1817.0,1817.4518
1808.0,1812.602
1824.0,1815.7664
1821.0,1819.3452
1826.0,1824.9766
1819.0,1825.367
1825.0,1833.5303
1821.0,1839.8009
1841.0,1846.5131
1838.0,1848.4692
1856.0,1850.6328
1849.0,1851.3824
1871.0,1862.9955
1869.0,1870.5613
1880.0,1882.1376
1874.0,1887.2972
1890.0,1900.1039
1890.0,1908.5736
1904.0,1917.5431
1901.0,1917.7173
1930.0,1923.4171
1939.0,1929.0242
1976.0,1939.6752
1976.0,1942.8356
1990.0,1958.3501
1992.0,1977.6554
2004.0,2012.7281
2012.0,2034.9385
2025.0,2045.3514
2021.0,2049.9512
2046.0,2056.7856
2041.0,2067.2812
2043.0,2076.9949
2044.0,2076.8494
2076.0,2088.44
2078.0,2091.0327
2101.0,2086.0745
2109.0,2081.4446
2126.0,2097.8936
2131.0,2112.3528
2149.0,2130.0552
2147.0,2145.6064
2163.0,2163.7622
2156.0,2175.0781
2169.0,2188.9548
2155.0,2195.2986
2172.0,2202.4543
2171.0,2199.3445
2172.0,2200.6108
2173.0,2190.9797
2178.0,2188.953
2164.0,2189.4739
2170.0,2188.8008
2162.0,2184.2966
2168.0,2182.6018
2157.0,2172.035
2154.0,2166.1982
2103.0,2158.645
2105.0,2158.2166
2088.0,2152.2634
2093.0,2144.0945
2077.0,2102.8386
2075.0,2071.7903
2063.0,2055.2742
2062.0,2053.8257
2046.0,2047.0605
2051.0,2039.2263
2040.0,2030.8813
2040.0,2026.0474
2034.0,2016.5208
2034.0,2015.8179
2006.0,2015.1853
2011.0,2015.8049
1993.0,2016.5381
1992.0,2020.2936
1979.0,2004.538
1971.0,1995.0839
1941.0,1984.0502
1935.0,1977.6985
1909.0,1968.5492
1904.0,1956.4568
1888.0,1931.4117
1891.0,1912.3837
1875.0,1892.2017
1879.0,1877.0399
1870.0,1862.0814
1868.0,1855.9188
1856.0,1848.2173
1855.0,1846.2245
1839.0,1845.3867
1838.0,1846.698
1831.0,1843.0476
1832.0,1842.5914
1818.0,1836.478
1822.0,1832.0325
1811.0,1828.8917
1813.0,1829.4508
1801.0,1824.0363
1808.0,1821.6549
1804.0,1816.7644
1812.0,1816.9211
1803.0,1811.8977
1818.0,1811.4735
1814.0,1812.0073
1826.0,1817.4028
1820.0,1818.3171
1839.0,1826.7422
1824.0,1833.1766
