True Value,Predicted Value
1864.0,1866.159
1870.0,1864.9138
1857.0,1858.5406
1855.0,1865.8848
1842.0,1848.0024
1845.0,1850.9755
1827.0,1842.8306
1833.0,1844.8367
1822.0,1832.6216
1820.0,1836.8251
1811.0,1822.2871
1815.0,1827.1534
1803.0,1818.0962
1817.0,1822.4781
1812.0,1813.0814
1817.0,1817.8756
1808.0,1809.8567
1824.0,1821.8634
1821.0,1819.0319
1826.0,1825.9238
1819.0,1820.9543
1825.0,1836.2258
1821.0,1836.3608
1841.0,1845.0979
1838.0,1842.2172
1856.0,1848.1714
1849.0,1850.5007
1871.0,1870.5801
1869.0,1871.3412
1880.0,1886.7372
1874.0,1885.51
1890.0,1906.5901
1890.0,1908.2484
1904.0,1920.9028
1901.0,1915.8522
1930.0,1930.5386
1939.0,1933.7693
1976.0,1948.2052
1976.0,1946.2888
1990.0,1969.1857
1992.0,1980.0159
2004.0,2018.1217
2012.0,2021.6538
2025.0,2036.1443
2021.0,2038.9673
2046.0,2048.961
2041.0,2058.6084
2043.0,2065.1516
2044.0,2064.4873
2076.0,2084.3503
2078.0,2078.3171
2101.0,2082.9746
2109.0,2081.9666
2126.0,2109.5315
2131.0,2112.8503
2149.0,2136.7874
2147.0,2143.6985
2163.0,2160.0024
2156.0,2165.4092
2169.0,2183.848
2155.0,2182.1467
2172.0,2192.1548
2171.0,2180.4263
2172.0,2191.565
2173.0,2173.0798
2178.0,2184.3694
2164.0,2183.0986
2170.0,2185.3914
2162.0,2182.6648
2168.0,2181.959
2157.0,2165.5393
2154.0,2165.9683
2103.0,2153.4382
2105.0,2157.4387
2088.0,2138.9824
2093.0,2132.5615
2077.0,2077.9734
2075.0,2073.8772
2063.0,2054.6287
2062.0,2058.442
2046.0,2038.8019
2051.0,2035.5032
2040.0,2024.6234
2040.0,2023.4406
2034.0,2009.3721
2034.0,2014.5194
2006.0,2007.0118
2011.0,2006.2811
1993.0,2003.852
1992.0,2005.7181
1979.0,1982.8191
1971.0,1986.219
1941.0,1977.8293
1935.0,1979.2614
1909.0,1966.1348
1904.0,1957.0289
1888.0,1931.8341
1891.0,1922.7656
1875.0,1900.0516
1879.0,1892.143
1870.0,1875.1083
1868.0,1874.5277
1856.0,1860.7151
1855.0,1861.5903
1839.0,1853.3586
1838.0,1852.9475
1831.0,1842.347
1832.0,1842.8381
1818.0,1830.5779
1822.0,1829.064
1811.0,1823.3502
1813.0,1825.7859
1801.0,1815.2261
1808.0,1817.7573
1804.0,1811.0768
1812.0,1816.9431
1803.0,1805.8624
1818.0,1811.8586
1814.0,1810.3369
1826.0,1819.9375
1820.0,1813.6086
1839.0,1829.4584
1824.0,1829.6724
1846.0,1846.5319
1841.0,1842.3654
1855.0,1863.234
1856.0,1852.5206
1870.0,1875.339
1868.0,1872.077
1876.0,1890.6808
1876.0,1891.9434
1892.0,1908.3246
1889.0,1908.499
1905.0,1919.2753
1909.0,1919.2667
1935.0,1934.5013
1934.0,1935.5151
1967.0,1947.2572
1971.0,1951.6614
1992.0,1974.0104
1991.0,1976.5028
2010.0,2004.9456
2017.0,2012.3972
2031.0,2037.6239
2027.0,2035.2189
2042.0,2055.2532
2042.0,2060.7832
2056.0,2072.9963
2046.0,2070.7434
2061.0,2081.6245
2062.0,2083.156
2073.0,2093.128
2076.0,2084.1272
2088.0,2096.0764
2090.0,2095.7393
2113.0,2105.0762
2114.0,2106.7214
2124.0,2116.6704
2121.0,2117.9778
2135.0,2137.9958
2138.0,2142.3179
2146.0,2154.7446
2140.0,2145.1277
2154.0,2160.6323
2141.0,2161.1365
2154.0,2167.452
2148.0,2161.111
2151.0,2166.9167
2149.0,2154.4868
2161.0,2165.9912
2151.0,2159.4246
2134.0,2156.28
2109.0,2154.455
2106.0,2167.7139
2108.0,2156.1113
2137.0,2121.6936
2134.0,2093.2913
2127.0,2085.044
2111.0,2087.119
2117.0,2131.749
2083.0,2134.2556
2089.0,2114.278
2069.0,2087.2224
2067.0,2100.0852
2044.0,2064.2288
2026.0,2065.1975
2006.0,2042.8663
1995.0,2039.9745
1986.0,2013.5142
1988.0,1995.7494
1967.0,1975.9696
1971.0,1968.2744
1961.0,1963.6376
1963.0,1964.0951
1947.0,1945.41
1953.0,1940.0555
1945.0,1931.5265
1940.0,1935.9244
1921.0,1923.8098
1925.0,1929.5305
1914.0,1928.258
1913.0,1923.6691
1901.0,1908.6427
1908.0,1912.9775
1898.0,1905.9496
1904.0,1906.7681
1897.0,1896.1569
1906.0,1905.3564
1897.0,1896.8447
1907.0,1902.6957
1901.0,1898.3552
1912.0,1908.8252
1901.0,1903.6455
1919.0,1912.1674
1912.0,1911.1782
1917.0,1921.4786
1921.0,1913.59
1937.0,1932.6287
1934.0,1931.1731
1951.0,1937.5698
1954.0,1941.3093
1965.0,1962.2225
1960.0,1963.9022
1973.0,1980.802
1971.0,1987.3639
1985.0,2001.6615
1988.0,2000.6692
2002.0,2011.613
2010.0,2013.1309
2039.0,2025.3918
2054.0,2027.2451
2068.0,2041.6448
2070.0,2048.885
2081.0,2074.7415
2082.0,2093.602
2105.0,2110.6182
2107.0,2111.1628
2127.0,2121.2886
2128.0,2122.5828
2138.0,2143.0537
2133.0,2142.3716
2144.0,2164.524
2148.0,2160.6692
2175.0,2169.8567
2193.0,2162.23
2210.0,2173.4404
2212.0,2173.4392
2233.0,2199.4893
2232.0,2219.648
2244.0,2235.041
2239.0,2233.3455
2257.0,2251.0835
2255.0,2254.6511
2265.0,2265.8923
2263.0,2260.3174
2275.0,2274.0852
2264.0,2270.0088
2266.0,2279.7522
2260.0,2277.3228
2270.0,2291.7307
2252.0,2277.396
2255.0,2276.7427
2248.0,2267.917
2256.0,2275.0781
2240.0,2243.0723
2246.0,2237.832
2232.0,2234.6177
2186.0,2233.9902
2179.0,2216.26
2172.0,2223.17
2163.0,2205.8633
2165.0,2158.4465
2144.0,2147.7441
2144.0,2134.6777
2135.0,2129.9595
2138.0,2127.6182
2122.0,2107.4993
2126.0,2106.659
2116.0,2099.424
2107.0,2109.4087
2091.0,2092.634
2088.0,2102.371
2075.0,2087.7478
2078.0,2077.6396
2050.0,2059.4941
2042.0,2057.4548
2019.0,2045.3275
2009.0,2059.9688
1984.0,2025.9277
1984.0,2020.9124
1970.0,1994.5939
1973.0,1987.0327
1958.0,1964.3951
1966.0,1961.9619
1947.0,1947.3081
1954.0,1946.2898
1935.0,1932.4989
1941.0,1937.888
1925.0,1924.114
1926.0,1931.3802
1915.0,1915.6188
1913.0,1925.9459
1906.0,1911.9387
1904.0,1912.3477
1889.0,1903.4044
1898.0,1904.1907
1893.0,1899.4663
1900.0,1899.0402
1894.0,1888.247
1902.0,1895.6676
1901.0,1893.0239
1911.0,1899.9294
1904.0,1899.912
1915.0,1907.5121
1916.0,1908.3971
1924.0,1919.6176
1928.0,1918.5033
1938.0,1929.2942
1944.0,1933.1812
1952.0,1944.9912
1953.0,1951.319
1965.0,1961.1794
1963.0,1973.5884
1973.0,1986.0552
1971.0,1991.3269
1993.0,2002.0979
1990.0,2004.9418
2003.0,2012.8981
2016.0,2012.8787
2030.0,2029.9001
2047.0,2032.1458
2065.0,2042.7262
2070.0,2054.2588
2090.0,2065.1511
2089.0,2083.1267
2117.0,2103.5662
2113.0,2109.9849
2132.0,2128.2993
2125.0,2127.6125
2137.0,2155.6265
2133.0,2151.742
2144.0,2170.0845
2142.0,2158.4758
2157.0,2168.9792
2157.0,2160.5286
2173.0,2168.3806
2172.0,2165.0378
2190.0,2173.782
2196.0,2173.9731
2212.0,2188.277
2208.0,2188.7478
2225.0,2204.302
2224.0,2211.949
2230.0,2228.233
