True Value,Predicted Value
2300.0,2322.5852
2309.0,2342.827
2325.0,2351.8289
2331.0,2332.34
2349.0,2332.8745
2334.0,2334.2524
2352.0,2346.3567
2356.0,2352.1018
2377.0,2370.8198
2388.0,2380.028
2409.0,2392.983
2414.0,2374.155
2438.0,2388.455
2440.0,2404.93
2458.0,2447.3235
2456.0,2487.6853
2470.0,2520.4822
2471.0,2526.1536
2475.0,2531.0454
2477.0,2508.6106
2485.0,2497.8362
2483.0,2474.374
2483.0,2465.0564
2477.0,2461.1677
2485.0,2467.399
2477.0,2474.5813
2481.0,2488.3552
2474.0,2494.694
2472.0,2499.8098
2462.0,2496.514
2463.0,2495.0684
2415.0,2477.7195
2404.0,2459.9897
2385.0,2437.3105
2383.0,2419.045
2373.0,2395.6936
2374.0,2371.8286
2357.0,2334.4517
2362.0,2311.4475
2346.0,2295.4048
2350.0,2295.6025
2331.0,2304.9463
2330.0,2324.4624
2317.0,2338.2998
2312.0,2357.4526
2287.0,2363.1519
2293.0,2367.531
2275.0,2356.077
2271.0,2340.9429
2252.0,2318.4316
2245.0,2295.16
2206.0,2261.6511
2202.0,2240.4697
2184.0,2212.344
2187.0,2191.4365
2170.0,2171.6018
2170.0,2160.2017
2156.0,2135.5867
2159.0,2128.5264
2144.0,2120.021
2144.0,2128.8364
2134.0,2127.2102
2134.0,2134.206
2122.0,2134.881
2122.0,2139.91
2105.0,2135.6484
2109.0,2132.9639
2099.0,2125.0942
2107.0,2120.746
2093.0,2113.6313
2096.0,2104.693
2087.0,2086.429
2095.0,2077.461
2083.0,2066.4692
2091.0,2067.8909
2089.0,2065.6274
2096.0,2076.4243
2092.0,2078.7463
2105.0,2090.6565
2105.0,2095.9014
2115.0,2103.103
2113.0,2104.089
2126.0,2108.3274
2128.0,2111.4075
2142.0,2120.1863
2142.0,2125.5095
2156.0,2135.459
2154.0,2143.7476
2171.0,2155.2776
2169.0,2161.6885
2179.0,2170.1558
2174.0,2173.5615
2193.0,2179.0564
2197.0,2180.8176
2221.0,2187.8386
2236.0,2189.7163
2264.0,2194.506
2268.0,2199.582
2283.0,2213.9346
2291.0,2228.4849
2312.0,2250.7378
2306.0,2273.7852
2320.0,2299.3477
2327.0,2321.6226
2343.0,2342.415
2350.0,2356.5872
2358.0,2368.7168
2351.0,2372.2954
2367.0,2377.011
2366.0,2377.3276
2384.0,2376.353
2383.0,2374.838
2393.0,2372.212
2409.0,2369.6843
2420.0,2370.9988
2418.0,2372.362
2429.0,2379.9204
2427.0,2390.5718
2444.0,2406.1216
2438.0,2425.0728
2443.0,2442.2358
2445.0,2457.784
2449.0,2471.4197
2446.0,2479.7942
2453.0,2485.3193
2445.0,2484.9778
2456.0,2480.8284
2453.0,2475.4097
2458.0,2467.221
2446.0,2459.1372
2448.0,2453.1125
2399.0,2447.2031
2407.0,2443.4673
2421.0,2440.062
2422.0,2433.8855
2406.0,2425.2559
2407.0,2417.8682
2393.0,2407.1997
2383.0,2401.3901
2363.0,2396.7607
2365.0,2391.6536
2344.0,2384.1108
2337.0,2375.7656
2319.0,2365.9502
2314.0,2355.885
2297.0,2344.1318
2293.0,2333.78
2269.0,2321.1091
2270.0,2308.4438
2254.0,2294.616
2243.0,2282.2297
2200.0,2267.9707
2202.0,2254.8188
2183.0,2240.6423
2184.0,2224.9084
2168.0,2206.7185
2169.0,2187.003
2156.0,2166.4846
2159.0,2150.7559
2147.0,2135.5764
2143.0,2126.1174
2135.0,2120.287
2132.0,2121.717
2116.0,2124.795
2120.0,2129.9946
2107.0,2134.4883
2106.0,2137.0237
2082.0,2135.8813
2072.0,2131.3198
2034.0,2123.8093
2043.0,2114.0464
2019.0,2100.5933
2023.0,2084.2244
2009.0,2062.8777
2010.0,2039.2802
1991.0,2009.6589
1988.0,1987.392
1974.0,1964.7936
1968.0,1953.5515
1955.0,1947.085
1937.0,1947.0461
1911.0,1945.2991
1897.0,1944.9242
1878.0,1941.9209
1883.0,1936.3003
1866.0,1921.9366
1872.0,1901.7056
1858.0,1877.5531
1864.0,1853.1326
1849.0,1830.1937
1846.0,1818.5963
1831.0,1818.0641
1838.0,1825.0728
1815.0,1828.0184
1817.0,1829.607
1807.0,1824.3904
1808.0,1813.7507
1796.0,1803.3309
1798.0,1795.7067
1784.0,1788.0197
1793.0,1784.0894
1784.0,1779.3193
1790.0,1773.4519
1780.0,1764.8932
1788.0,1757.4056
1780.0,1756.0809
1790.0,1759.3666
1783.0,1766.4851
1794.0,1774.2142
1798.0,1778.7163
1801.0,1782.0352
1802.0,1787.0659
1811.0,1790.9755
1811.0,1795.1168
1828.0,1799.8121
1827.0,1801.8329
1844.0,1806.1384
1845.0,1807.0676
1855.0,1812.3767
