True Value,Predicted Value
2190.0,2199.207
2195.0,2194.532
2215.0,2214.586
2223.0,2234.4377
2267.0,2250.3354
2268.0,2267.649
2283.0,2285.77
2284.0,2277.8843
2300.0,2316.63
2309.0,2306.9895
2325.0,2326.0396
2331.0,2329.2986
2349.0,2342.7556
2334.0,2343.8938
2352.0,2356.1401
2356.0,2373.2896
2377.0,2391.3462
2388.0,2366.666
2409.0,2390.734
2414.0,2392.9756
2438.0,2412.993
2440.0,2431.0867
2458.0,2452.4153
2456.0,2450.1562
2470.0,2471.8667
2471.0,2472.2588
2475.0,2489.6062
2477.0,2478.743
2485.0,2487.8708
2483.0,2487.7546
2483.0,2487.9421
2477.0,2486.58
2485.0,2498.877
2477.0,2495.2383
2481.0,2487.3425
2474.0,2473.2532
2472.0,2474.8574
2462.0,2461.6733
2463.0,2456.9744
2415.0,2443.1084
2404.0,2439.0308
2385.0,2426.6287
2383.0,2421.3762
2373.0,2384.8972
2374.0,2381.9275
2357.0,2359.8513
2362.0,2350.832
2346.0,2338.001
2350.0,2339.3604
2331.0,2318.821
2330.0,2313.9375
2317.0,2293.941
2312.0,2300.7134
2287.0,2290.9138
2293.0,2288.0806
2275.0,2266.6292
2271.0,2253.1084
2252.0,2222.6516
2245.0,2230.4246
2206.0,2208.78
2202.0,2208.7332
2184.0,2202.2068
2187.0,2193.7944
2170.0,2173.1123
2170.0,2177.4817
2156.0,2165.308
2159.0,2162.3916
2144.0,2142.968
2144.0,2140.4006
2134.0,2130.0327
2134.0,2123.5176
2122.0,2108.7773
2122.0,2110.4111
2105.0,2107.6494
2109.0,2111.7227
2099.0,2106.8247
2107.0,2107.6492
2093.0,2091.5864
2096.0,2097.5198
2087.0,2095.253
2095.0,2105.5525
2083.0,2092.733
2091.0,2098.8037
2089.0,2090.2185
2096.0,2098.102
2092.0,2086.0566
2105.0,2093.123
2105.0,2094.6382
2115.0,2108.7117
2113.0,2106.4485
2126.0,2131.085
2128.0,2135.1724
2142.0,2149.1106
2142.0,2143.7107
2156.0,2152.679
2154.0,2152.0308
2171.0,2166.1814
2169.0,2161.1833
2179.0,2175.5872
2174.0,2169.6812
2193.0,2191.0386
2197.0,2197.391
2221.0,2222.1702
2236.0,2230.8035
2264.0,2258.043
2268.0,2269.3542
2283.0,2294.1426
2291.0,2283.6643
2312.0,2302.8054
2306.0,2303.6328
2320.0,2326.252
2327.0,2328.8645
2343.0,2348.2632
2350.0,2336.6538
2358.0,2351.7283
2351.0,2359.1921
2367.0,2377.7327
2366.0,2385.1772
2384.0,2394.561
2383.0,2390.0684
2393.0,2409.5227
2409.0,2399.7732
2420.0,2411.9756
2418.0,2404.134
2429.0,2413.9905
2427.0,2432.2603
2444.0,2450.4746
2438.0,2447.5725
2443.0,2449.581
2445.0,2439.744
2449.0,2456.509
2446.0,2449.9353
2453.0,2449.9297
2445.0,2446.5264
2456.0,2452.976
2453.0,2445.7002
2458.0,2449.6743
2446.0,2437.5063
2448.0,2439.3228
2399.0,2430.075
2407.0,2434.381
2421.0,2423.99
2422.0,2424.3845
2406.0,2386.9854
2407.0,2388.088
2393.0,2385.629
2383.0,2386.2957
2363.0,2367.8257
2365.0,2360.4995
2344.0,2353.0657
2337.0,2343.7563
2319.0,2325.2551
2314.0,2310.875
2297.0,2286.2627
2293.0,2287.843
2269.0,2276.683
2270.0,2274.529
2254.0,2259.63
2243.0,2241.98
2200.0,2213.3796
2202.0,2211.8867
2183.0,2191.172
2184.0,2187.792
2168.0,2164.4458
2169.0,2167.8147
2156.0,2153.91
2159.0,2154.6973
2147.0,2142.1667
2143.0,2144.437
2135.0,2126.5
2132.0,2124.7422
2116.0,2118.9927
2120.0,2114.5105
2107.0,2110.169
2106.0,2113.5054
2082.0,2094.0293
2072.0,2101.2144
2034.0,2088.8777
2043.0,2087.6208
2019.0,2066.507
2023.0,2058.6245
2009.0,2025.1893
2010.0,2032.2867
1991.0,2005.9971
1988.0,2010.2119
1974.0,1994.689
1968.0,1984.349
1955.0,1952.601
1937.0,1949.7228
1911.0,1934.7166
1897.0,1927.3024
1878.0,1910.5105
1883.0,1891.9309
1866.0,1871.1735
1872.0,1862.4387
1858.0,1846.3523
1864.0,1854.8224
1849.0,1838.7219
1846.0,1844.9601
1831.0,1833.6901
1838.0,1834.0049
1815.0,1821.6625
1817.0,1816.466
1807.0,1799.8142
1808.0,1804.4735
1796.0,1782.5906
1798.0,1788.6683
1784.0,1781.7517
1793.0,1785.7274
1784.0,1779.0192
1790.0,1785.3986
1780.0,1773.8743
1788.0,1784.951
1780.0,1780.1272
1790.0,1786.2731
1783.0,1778.8379
1794.0,1788.9532
1798.0,1783.8676
1801.0,1795.6946
1802.0,1793.1448
1811.0,1805.5493
1811.0,1810.8324
1828.0,1814.756
1827.0,1820.4092
1844.0,1829.9459
1845.0,1831.1022
1855.0,1843.3384
1850.0,1843.6924
1865.0,1860.2122
1864.0,1858.5786
1878.0,1872.429
1879.0,1869.5432
1897.0,1883.1537
1901.0,1889.9441
1934.0,1912.5812
1953.0,1933.2946
1970.0,1958.0547
1970.0,1957.3319
1992.0,1989.226
1997.0,1997.7988
2018.0,2006.1764
2023.0,2008.8838
2041.0,2029.5933
2044.0,2033.8433
2069.0,2051.1824
2070.0,2055.9192
2095.0,2073.3486
2096.0,2078.6956
2108.0,2105.3103
2109.0,2101.7034
2126.0,2130.1257
2134.0,2135.9153
2154.0,2149.9473
2149.0,2147.989
2153.0,2159.216
2149.0,2156.4636
2160.0,2171.2622
2148.0,2160.9602
2162.0,2161.0576
2154.0,2159.7344
2142.0,2171.4578
2130.0,2154.2942
2169.0,2164.7805
2154.0,2153.6401
2155.0,2140.3213
2145.0,2128.6287
2150.0,2150.6824
2150.0,2137.2307
2152.0,2134.576
2143.0,2123.3171
2146.0,2140.028
2139.0,2146.8381
2129.0,2144.1187
2063.0,2121.499
2066.0,2105.3074
2055.0,2081.7083
2056.0,2076.0215
2044.0,2031.8011
2045.0,2050.009
2027.0,2047.5277
2029.0,2036.6359
2014.0,2015.9456
2016.0,2018.6953
2003.0,1993.48
1991.0,1981.6632
1974.0,1963.9565
1969.0,1963.4865
1956.0,1955.2014
1941.0,1939.7013
1916.0,1924.5348
1898.0,1916.3557
1881.0,1904.537
1874.0,1896.1534
1867.0,1880.238
1871.0,1866.2605
1859.0,1853.1453
1860.0,1848.8337
1844.0,1844.173
1847.0,1848.9291
1828.0,1836.1904
1835.0,1830.9194
1819.0,1812.531
1813.0,1813.2563
1797.0,1793.9431
1803.0,1800.2821
1793.0,1786.8188
1793.0,1784.6268
1783.0,1772.7811
1790.0,1778.6929
1780.0,1774.0969
1781.0,1778.9869
1780.0,1771.2583
1786.0,1779.6849
1781.0,1772.3278
1789.0,1777.1548
1785.0,1777.8903
1794.0,1786.646
1789.0,1783.5587
1804.0,1796.2192
1801.0,1796.1527
1813.0,1809.4049
1807.0,1804.4066
1819.0,1818.9316
1827.0,1819.1031
1844.0,1831.5559
1843.0,1827.7722
1856.0,1837.5626
1851.0,1842.6516
1861.0,1860.764
1862.0,1860.8416
1877.0,1874.5217
1873.0,1873.1102
1896.0,1881.9553
1899.0,1887.306
1943.0,1912.2257
1954.0,1926.085
1972.0,1954.5612
1971.0,1956.9559
1986.0,1993.4786
1995.0,1997.2715
2012.0,2008.6161
2015.0,2011.1167
2033.0,2028.1611
2018.0,2034.0925
2037.0,2045.365
2053.0,2042.8926
2068.0,2067.97
2072.0,2053.6997
2100.0,2070.3005
2105.0,2087.2249
2124.0,2104.2449
2127.0,2107.2954
2147.0,2142.0588
2144.0,2142.4854
2161.0,2159.147
2158.0,2152.9807
2169.0,2167.0344
2166.0,2155.5483
2179.0,2168.3357
2169.0,2165.6824
2179.0,2178.1216
2166.0,2172.8977
2178.0,2188.616
2167.0,2175.9553
2179.0,2191.3352
2167.0,2172.2102
2168.0,2179.4788
2163.0,2162.2876
2152.0,2165.9727
2106.0,2145.371
2107.0,2140.9678
2082.0,2122.8142
2083.0,2109.7822
2067.0,2076.468
2071.0,2081.887
2055.0,2074.1707
2056.0,2072.4966
2041.0,2048.7437
2043.0,2040.013
2031.0,2023.6465
2033.0,2020.3154
2015.0,1995.1493
2010.0,1992.3108
1987.0,1982.9908
1989.0,1985.3793
1968.0,1971.8375
1973.0,1965.6565
1958.0,1946.3389
1947.0,1944.912
1914.0,1922.9491
1900.0,1929.3866
1882.0,1921.5049
1878.0,1917.8667
1865.0,1885.5514
1866.0,1871.964
1850.0,1855.259
1855.0,1853.9431
1839.0,1844.7261
1843.0,1842.6793
1830.0,1826.0525
1832.0,1826.5989
1814.0,1808.3934
1817.0,1808.8677
1801.0,1796.6909
1807.0,1798.1782
1794.0,1782.392
1799.0,1786.4774
1783.0,1776.1562
1787.0,1782.1815
1778.0,1774.2698
1786.0,1782.2611
1776.0,1770.2977
1782.0,1778.0592
1779.0,1774.1116
1785.0,1781.9288
1778.0,1776.347
1799.0,1786.1488
1785.0,1784.6815
1799.0,1794.553
1800.0,1790.7726
1817.0,1814.9285
1810.0,1802.5713
1831.0,1815.3197
1829.0,1817.1067
1842.0,1831.9165
1844.0,1828.1356
1858.0,1846.0562
1853.0,1845.0211
1862.0,1859.2528
1866.0,1859.9625
1874.0,1877.3944
1879.0,1870.3785
1900.0,1882.8298
1910.0,1895.3112
1943.0,1915.8245
1955.0,1937.9961
1970.0,1960.0709
1974.0,1963.8083
1999.0,1993.1255
1999.0,1997.2001
2005.0,2006.1042
2013.0,2013.1053
2026.0,2037.5691
2033.0,2034.7614
2048.0,2043.3839
2040.0,2045.408
2056.0,2062.2427
2055.0,2065.546
2072.0,2080.8079
2070.0,2072.3645
2081.0,2092.5518
2078.0,2094.0884
2105.0,2109.3025
2105.0,2101.6199
2118.0,2114.0715
2119.0,2099.1226
2128.0,2125.8162
2125.0,2122.3076
2133.0,2131.295
2134.0,2131.8508
2141.0,2140.4895
2136.0,2137.3352
2148.0,2156.9736
2135.0,2154.3496
2152.0,2166.8733
2145.0,2152.474
2149.0,2161.9858
2137.0,2141.6912
2147.0,2157.3638
2115.0,2145.0847
2101.0,2148.4043
2103.0,2129.537
2122.0,2134.477
2107.0,2098.7126
2100.0,2092.4702
2093.0,2089.8032
2084.0,2093.0508
2060.0,2064.76
2068.0,2060.0283
2048.0,2054.3015
2040.0,2047.8931
2017.0,2021.4673
2012.0,2022.6495
1992.0,2004.741
1994.0,1985.1198
1969.0,1964.8351
1972.0,1956.1969
1951.0,1943.6764
1950.0,1944.5
1915.0,1922.5087
1898.0,1922.6525
1881.0,1905.6497
1876.0,1903.1812
1863.0,1873.157
1865.0,1859.4541
1852.0,1850.6792
1861.0,1848.2136
1844.0,1834.9922
1843.0,1837.8423
1832.0,1825.3838
1832.0,1830.295
1815.0,1812.245
1816.0,1807.8104
1801.0,1800.1394
1800.0,1798.7568
1793.0,1784.0481
1797.0,1786.1442
1780.0,1776.1799
1788.0,1777.3679
1776.0,1774.9406
1780.0,1780.6946
1774.0,1767.6029
1780.0,1779.8301
1780.0,1770.2532
1787.0,1778.0089
1781.0,1772.2626
1790.0,1781.4299
1786.0,1785.7352
1804.0,1793.948
1800.0,1789.8599
1814.0,1805.2587
1814.0,1801.5957
1834.0,1818.4186
1829.0,1817.1898
1849.0,1831.2556
1845.0,1832.772
1859.0,1851.7233
1861.0,1847.1676
1871.0,1865.0402
1866.0,1862.4763
1877.0,1876.928
1882.0,1877.2849
1906.0,1891.0773
1909.0,1897.3585
1943.0,1923.3253
1952.0,1941.3485
1969.0,1966.5514
1975.0,1961.785
1992.0,1990.5258
2004.0,1991.5544
2014.0,2004.3058
2007.0,2011.5792
2023.0,2027.3113
2031.0,2038.542
2039.0,2043.5599
2042.0,2039.6938
2054.0,2057.2073
2060.0,2065.9448
2073.0,2070.624
2077.0,2073.349
2104.0,2089.4316
2107.0,2097.3196
2120.0,2110.016
2092.0,2111.2205
2122.0,2139.8394
2141.0,2136.0098
