True Value,Predicted Value
5567.0,5134.49
5548.0,5141.7637
5540.0,5142.378
5527.0,5113.714
5521.0,5066.5674
5506.0,5014.4756
5490.0,4970.6123
5483.0,4896.5283
5464.0,4869.7495
5451.0,4840.3877
5435.0,4821.4775
5411.0,4803.574
5369.0,4789.669
5299.0,4777.995
5273.0,4763.0586
5248.0,4744.364
5215.0,4722.4
5177.0,4693.678
5153.0,4653.65
5119.0,4604.3394
5077.0,4572.619
5057.0,4555.2256
5041.0,4537.9067
5011.0,4523.587
4977.0,4505.591
4944.0,4488.4985
4910.0,4469.068
4905.0,4454.643
4881.0,4439.0645
4843.0,4420.42
4841.0,4406.141
4821.0,4392.0615
4829.0,4382.8105
4820.0,4372.3496
4808.0,4361.608
4815.0,4355.3535
4813.0,4347.273
4819.0,4343.8584
4824.0,4340.941
4898.0,4334.2446
4903.0,4321.5405
4940.0,4300.3843
4968.0,4297.205
4976.0,4297.086
5007.0,4299.4937
5020.0,4303.768
5053.0,4312.9277
5058.0,4318.5073
5099.0,4322.333
5129.0,4335.7656
5155.0,4354.416
5155.0,4395.353
5183.0,4511.8965
5220.0,4608.905
5223.0,4660.959
5244.0,4688.3794
5272.0,4711.1855
5314.0,4775.879
5372.0,4794.262
5434.0,4816.258
5447.0,4830.2236
5471.0,4853.5117
5476.0,4883.022
5489.0,4912.1523
5481.0,4942.0933
5492.0,4965.4243
5500.0,4983.464
5515.0,5005.188
5538.0,5017.528
5543.0,5024.46
5567.0,5027.0537
5579.0,5034.5835
5595.0,5036.1553
5608.0,5047.286
5632.0,5051.1577
5639.0,5064.346
5643.0,5067.99
5649.0,5077.0317
5653.0,5088.3345
5655.0,5100.5034
5624.0,5112.1406
5612.0,5124.7407
5594.0,5132.171
5582.0,5141.135
5564.0,5150.284
5548.0,5155.174
5525.0,5144.7095
5513.0,5102.6304
5496.0,5066.9927
5488.0,4990.2075
5480.0,4943.705
5469.0,4892.623
5456.0,4871.363
5435.0,4837.4966
5428.0,4816.9644
5395.0,4798.5493
5300.0,4783.6074
5274.0,4773.482
5229.0,4760.6914
5206.0,4744.556
5190.0,4710.9834
5161.0,4652.978
5129.0,4599.724
5094.0,4574.059
5061.0,4555.844
5039.0,4542.3286
5006.0,4530.4067
5000.0,4520.0073
4990.0,4496.9766
4989.0,4479.2026
4962.0,4461.795
4940.0,4445.5576
4903.0,4429.482
4888.0,4417.346
4875.0,4406.271
4867.0,4399.3057
4866.0,4389.919
4864.0,4383.6147
4862.0,4377.3047
4864.0,4372.403
4873.0,4368.3193
4878.0,4362.8364
4907.0,4364.4937
4909.0,4355.5967
4942.0,4323.8027
4964.0,4319.539
4981.0,4311.352
5002.0,4313.8154
5009.0,4320.0464
5044.0,4320.8657
5051.0,4322.234
5071.0,4321.419
5106.0,4325.3535
5109.0,4337.3877
5107.0,4363.3276
5136.0,4398.6
5158.0,4467.11
5190.0,4556.0454
5221.0,4632.3853
5280.0,4669.235
5301.0,4692.9087
5318.0,4766.1333
5434.0,4785.3657
5430.0,4806.3315
5448.0,4834.2217
5455.0,4861.3286
5469.0,4887.706
5495.0,4925.1475
5490.0,4958.867
5517.0,4978.7646
5526.0,4990.8633
5539.0,5005.1113
5561.0,5015.2505
5591.0,5023.23
5596.0,5031.681
5604.0,5039.3755
5622.0,5050.859
5633.0,5055.316
5636.0,5072.5713
5637.0,5084.2866
5628.0,5085.174
5624.0,5097.7573
5639.0,5113.66
5625.0,5115.3716
5604.0,5119.1597
5592.0,5122.8823
5570.0,5129.969
5559.0,5143.797
5535.0,5147.7393
5542.0,5144.6694
5519.0,5089.9307
5506.0,5066.599
5492.0,5005.309
5481.0,4949.021
5468.0,4897.5728
5432.0,4852.06
5384.0,4835.876
5316.0,4810.066
5298.0,4795.5713
5279.0,4783.3223
5258.0,4767.9336
5230.0,4737.587
5215.0,4700.18
5173.0,4658.6846
5131.0,4603.5415
5095.0,4577.9854
5045.0,4558.965
5022.0,4543.642
5005.0,4528.2764
4988.0,4511.789
4960.0,4499.723
4923.0,4480.901
4893.0,4459.3105
4866.0,4444.1187
4867.0,4428.165
4846.0,4415.452
4824.0,4399.451
4843.0,4392.5645
4850.0,4379.7676
4834.0,4371.5737
4810.0,4365.175
4788.0,4358.767
4788.0,4354.9766
4802.0,4345.948
4835.0,4330.028
4923.0,4302.0405
4953.0,4294.988
4963.0,4290.721
4982.0,4289.369
5000.0,4292.78
5011.0,4309.8164
5035.0,4318.9927
5055.0,4320.744
5084.0,4325.8438
5108.0,4330.1562
5138.0,4348.106
5179.0,4380.4043
5227.0,4461.853
5266.0,4576.1313
5279.0,4637.434
5304.0,4677.3096
5331.0,4714.2896
5418.0,4737.6924
5454.0,4807.4487
5476.0,4844.7783
5488.0,4859.0625
5510.0,4882.617
5509.0,4922.8335
5531.0,4953.0
5543.0,4969.6455
5556.0,4983.8945
5570.0,5000.318
5593.0,5018.0854
5606.0,5042.82
5616.0,5054.1587
5644.0,5065.617
5665.0,5076.47
5664.0,5088.347
5666.0,5101.5396
5669.0,5112.234
5672.0,5124.011
5675.0,5135.701
5678.0,5143.666
5665.0,5142.461
5665.0,5139.489
5660.0,5147.146
5635.0,5158.972
5621.0,5165.009
5605.0,5171.1855
5586.0,5176.1523
5569.0,5169.517
5564.0,5142.619
5527.0,5103.766
5525.0,5049.257
5519.0,4976.0264
5495.0,4939.307
5484.0,4890.932
5472.0,4863.371
5457.0,4840.228
5409.0,4823.2793
5323.0,4808.5586
5313.0,4794.944
5251.0,4781.0557
5240.0,4744.17
5205.0,4684.2954
5162.0,4652.3164
5131.0,4621.0586
5120.0,4596.1777
5096.0,4575.0483
5081.0,4558.0107
5040.0,4541.5747
5028.0,4523.3364
4992.0,4510.5776
5029.0,4499.633
4997.0,4481.6787
4984.0,4465.679
4950.0,4450.2124
4926.0,4434.6465
4908.0,4426.2188
4893.0,4424.0635
4892.0,4412.019
4880.0,4408.6353
4869.0,4403.2773
4839.0,4393.6357
4845.0,4388.897
4849.0,4385.342
4870.0,4381.3496
4879.0,4365.051
4891.0,4332.847
4910.0,4328.8003
4953.0,4308.077
4973.0,4310.935
4994.0,4306.3345
5010.0,4298.0527
5039.0,4295.819
5082.0,4305.265
5099.0,4311.2
5136.0,4320.8945
5153.0,4329.426
5176.0,4350.7847
5224.0,4401.368
5236.0,4449.0137
5272.0,4571.8037
5291.0,4644.7847
5322.0,4697.115
5381.0,4732.8604
5466.0,4766.8394
5475.0,4826.0176
5496.0,4845.053
5517.0,4870.974
5510.0,4908.3594
5525.0,4950.4927
5543.0,4977.6074
5562.0,4997.043
5565.0,5015.254
5583.0,5027.4707
5599.0,5038.2505
5624.0,5051.592
5647.0,5066.3047
5635.0,5077.2812
5640.0,5087.4536
5643.0,5099.0356
5653.0,5110.421
5667.0,5117.606
5669.0,5124.71
5661.0,5118.442
5661.0,5122.0146
5659.0,5128.2993
5649.0,5139.4316
5635.0,5147.303
5613.0,5157.461
5613.0,5163.524
5580.0,5170.0874
5570.0,5169.369
5555.0,5119.211
5533.0,5088.487
5527.0,5020.485
5515.0,4954.1997
5516.0,4932.276
5495.0,4891.306
5478.0,4860.6465
5458.0,4837.4297
5416.0,4822.2417
5339.0,4809.8325
5298.0,4798.0654
5290.0,4777.472
5257.0,4737.3794
5239.0,4722.661
5205.0,4677.968
5158.0,4636.675
5129.0,4603.7036
5102.0,4582.049
5090.0,4566.0835
5049.0,4549.636
5015.0,4534.952
4978.0,4519.7896
4976.0,4502.8623
4950.0,4488.0195
4940.0,4468.2983
4909.0,4455.5566
4866.0,4432.1206
4854.0,4419.734
4857.0,4409.923
4853.0,4399.0776
4843.0,4392.164
4842.0,4381.632
4840.0,4377.57
4841.0,4369.9604
4865.0,4365.4473
4935.0,4358.783
4949.0,4345.443
4968.0,4320.405
4991.0,4310.345
4995.0,4317.625
5022.0,4321.5654
5050.0,4334.301
5090.0,4337.7026
5095.0,4337.4014
5117.0,4341.702
5135.0,4347.946
5168.0,4365.232
5193.0,4393.585
5223.0,4481.434
5256.0,4609.5767
5253.0,4657.8027
5278.0,4698.565
5299.0,4724.3
5311.0,4752.366
5371.0,4819.301
5437.0,4836.819
5470.0,4850.3843
5480.0,4871.167
5504.0,4894.0137
5510.0,4919.333
5525.0,4950.403
5530.0,4977.0347
5544.0,4998.898
5557.0,5016.565
5568.0,5031.025
5591.0,5042.0684
5600.0,5048.898
5613.0,5060.916
5624.0,5065.928
5639.0,5069.745
5658.0,5072.7505
5671.0,5085.6436
5668.0,5091.766
5671.0,5101.3516
5685.0,5110.12
5690.0,5121.724
5675.0,5134.054
5660.0,5146.237
5636.0,5151.23
5626.0,5162.008
5610.0,5171.952
5598.0,5176.3076
5576.0,5180.552
5565.0,5157.0713
5538.0,5118.5625
5522.0,5079.1064
5515.0,5005.8247
5520.0,4957.5405
5489.0,4910.678
5483.0,4881.049
5463.0,4851.6284
5441.0,4831.1543
5387.0,4817.428
5311.0,4803.297
5293.0,4791.309
5255.0,4776.3955
5238.0,4751.0186
5220.0,4702.7397
5188.0,4643.872
5137.0,4609.917
5127.0,4588.646
5088.0,4570.863
5068.0,4559.028
5032.0,4548.654
4999.0,4530.754
5007.0,4513.087
4997.0,4493.3267
4975.0,4478.736
4956.0,4460.911
4942.0,4445.3535
4918.0,4430.7124
4898.0,4423.6504
4890.0,4412.4
4889.0,4404.468
4887.0,4400.1553
4883.0,4400.886
4894.0,4388.188
4907.0,4385.809
4933.0,4381.6636
4944.0,4375.6113
4952.0,4357.4766
4988.0,4334.869
5001.0,4335.929
5039.0,4333.0684
5041.0,4338.323
5066.0,4343.911
5096.0,4344.8994
5103.0,4340.776
5138.0,4352.9575
5133.0,4355.3213
5156.0,4369.5635
5154.0,4405.183
5193.0,4487.447
5225.0,4567.357
5239.0,4639.8877
5290.0,4688.7134
5311.0,4718.3433
5366.0,4752.4297
5402.0,4809.2324
5459.0,4826.103
5481.0,4847.0835
5491.0,4871.8257
5517.0,4902.4014
5524.0,4936.258
5530.0,4966.0244
5536.0,4992.005
5556.0,5009.894
5585.0,5026.3267
5587.0,5041.3623
5610.0,5047.2446
5617.0,5054.958
5643.0,5054.646
5657.0,5073.0938
5670.0,5079.733
5663.0,5083.3877
5667.0,5096.3423
5668.0,5103.775
5661.0,5119.8223
5657.0,5128.043
5658.0,5136.9917
5651.0,5138.0312
5634.0,5145.3394
5624.0,5150.591
5613.0,5161.95
5581.0,5167.0703
5582.0,5171.2896
5553.0,5158.7256
5543.0,5113.8267
5536.0,5064.329
5519.0,5007.8013
5509.0,4932.2886
5491.0,4898.569
5484.0,4872.39
5466.0,4850.434
5456.0,4829.087
