True Value,Predicted Value
5567.0,5857.681
5548.0,5842.445
5540.0,5815.9985
5527.0,5790.9473
5521.0,5765.3013
5506.0,5735.3667
5490.0,5715.0444
5483.0,5691.4395
5464.0,5674.6816
5451.0,5654.1104
5435.0,5636.9536
5411.0,5627.2344
5369.0,5609.2905
5299.0,5596.673
5273.0,5580.277
5248.0,5557.538
5215.0,5520.5337
5177.0,5459.245
5153.0,5414.0293
5119.0,5363.726
5077.0,5305.5747
5057.0,5254.3423
5041.0,5212.8447
5011.0,5165.6934
4977.0,5117.0938
4944.0,5087.723
4910.0,5062.765
4905.0,5035.6704
4881.0,5008.5967
4843.0,4983.5425
4841.0,4953.3765
4821.0,4940.158
4829.0,4913.6255
4820.0,4882.0146
4808.0,4874.359
4815.0,4853.687
4813.0,4853.7886
4819.0,4852.148
4824.0,4851.701
4898.0,4865.919
4903.0,4879.326
4940.0,4896.171
4968.0,4914.9326
4976.0,4992.6807
5007.0,5021.1343
5020.0,5076.368
5053.0,5123.327
5058.0,5159.236
5099.0,5209.1543
5129.0,5237.0005
5155.0,5276.457
5155.0,5287.5728
5183.0,5326.2954
5220.0,5351.394
5223.0,5379.236
5244.0,5384.013
5272.0,5413.5728
5314.0,5451.9346
5372.0,5459.0
5434.0,5481.568
5447.0,5508.3184
5471.0,5547.4062
5476.0,5602.4023
5489.0,5667.8223
5481.0,5706.17
5492.0,5762.0107
5500.0,5788.655
5515.0,5806.9375
5538.0,5798.0444
5543.0,5798.1216
5567.0,5783.826
5579.0,5776.5195
5595.0,5775.791
5608.0,5770.2837
5632.0,5782.992
5639.0,5799.1064
5643.0,5816.831
5649.0,5836.213
5653.0,5863.998
5655.0,5880.428
5624.0,5893.756
5612.0,5904.128
5594.0,5911.744
5582.0,5913.841
5564.0,5883.911
5548.0,5856.122
5525.0,5825.1514
5513.0,5792.4126
5496.0,5759.6816
5488.0,5729.014
5480.0,5696.128
5469.0,5669.5415
5456.0,5641.725
5435.0,5623.085
5428.0,5608.8228
5395.0,5596.8584
5300.0,5586.062
5274.0,5573.6787
5229.0,5567.926
5206.0,5541.2
5190.0,5470.983
5161.0,5426.321
5129.0,5361.312
5094.0,5308.64
5061.0,5264.2656
5039.0,5214.801
5006.0,5170.944
5000.0,5130.7686
4990.0,5094.0137
4989.0,5066.0405
4962.0,5035.0654
4940.0,5025.7085
4903.0,5017.104
4888.0,5019.909
4875.0,5009.4233
4867.0,5001.796
4866.0,4980.6797
4864.0,4964.98
4862.0,4944.8027
4864.0,4931.378
4873.0,4925.2964
4878.0,4924.3965
4907.0,4925.178
4909.0,4930.9033
4942.0,4950.1206
4964.0,4968.858
4981.0,5011.828
5002.0,5031.4185
5009.0,5074.189
5044.0,5110.0815
5051.0,5140.4443
5071.0,5176.417
5106.0,5200.9546
5109.0,5242.295
5107.0,5260.2876
5136.0,5282.5293
5158.0,5314.7515
5190.0,5321.2036
5221.0,5323.624
5280.0,5349.6006
5301.0,5368.2275
5318.0,5396.8833
5434.0,5429.229
5430.0,5489.655
5448.0,5522.837
5455.0,5558.2046
5469.0,5676.671
5495.0,5700.5034
5490.0,5751.2476
5517.0,5778.842
5526.0,5798.491
5539.0,5814.4287
5561.0,5792.0312
5591.0,5800.9062
5596.0,5794.952
5604.0,5793.343
5622.0,5798.7017
5633.0,5821.188
5636.0,5832.3716
5637.0,5842.447
5628.0,5866.5103
5624.0,5880.345
5639.0,5888.927
5625.0,5894.4067
5604.0,5887.2935
5592.0,5879.197
5570.0,5877.322
5559.0,5852.8154
5535.0,5825.7446
5542.0,5806.929
5519.0,5771.7173
5506.0,5748.3374
5492.0,5715.569
5481.0,5702.905
5468.0,5677.01
5432.0,5655.9697
5384.0,5639.8867
5316.0,5623.479
5298.0,5608.9414
5279.0,5580.8647
5258.0,5541.7847
5230.0,5473.9497
5215.0,5433.262
5173.0,5389.003
5131.0,5343.229
5095.0,5301.0273
5045.0,5270.8735
5022.0,5228.5884
5005.0,5186.8726
4988.0,5151.5405
4960.0,5102.2075
4923.0,5072.0083
4893.0,5045.0117
4866.0,5017.1245
4867.0,4988.173
4846.0,4956.256
4824.0,4926.91
4843.0,4897.076
4850.0,4890.0605
4834.0,4870.5737
4810.0,4853.6436
4788.0,4866.211
4788.0,4879.712
4802.0,4879.4736
4835.0,4881.72
4923.0,4882.073
4953.0,4882.306
4963.0,4888.8315
4982.0,4913.942
5000.0,5003.5264
5011.0,5056.1514
5035.0,5100.899
5055.0,5152.944
5084.0,5202.3613
5108.0,5237.5034
5138.0,5270.7837
5179.0,5293.5703
5227.0,5316.982
5266.0,5334.006
5279.0,5355.639
5304.0,5394.746
5331.0,5443.3384
5418.0,5493.3545
5454.0,5526.3623
5476.0,5571.4297
5488.0,5604.3
5510.0,5685.372
5509.0,5725.915
5531.0,5770.5586
5543.0,5805.0103
5556.0,5838.2236
5570.0,5840.3877
5593.0,5849.1416
5606.0,5840.1587
5616.0,5840.1304
5644.0,5839.5557
5665.0,5844.4395
5664.0,5848.8906
5666.0,5856.0444
5669.0,5883.1777
5672.0,5908.351
5675.0,5914.2573
5678.0,5925.6133
5665.0,5931.744
5665.0,5932.222
5660.0,5927.054
5635.0,5919.1206
5621.0,5905.838
5605.0,5897.2324
5586.0,5881.863
5569.0,5845.568
5564.0,5822.7466
5527.0,5798.6045
5525.0,5770.748
5519.0,5744.375
5495.0,5725.516
5484.0,5688.093
5472.0,5673.611
5457.0,5657.5703
5409.0,5633.662
5323.0,5619.7847
5313.0,5606.888
5251.0,5593.1274
5240.0,5556.3228
5205.0,5486.0615
5162.0,5452.02
5131.0,5378.5864
5120.0,5337.202
5096.0,5281.3696
5081.0,5223.178
5040.0,5175.8154
5028.0,5145.5127
4992.0,5113.6743
5029.0,5093.53
4997.0,5065.5137
4984.0,5058.559
4950.0,5035.7153
4926.0,5061.5137
4908.0,5045.209
4893.0,5046.2085
4892.0,5035.872
4880.0,5017.0767
4869.0,4995.4727
4839.0,4973.7485
4845.0,4964.588
4849.0,4950.811
4870.0,4940.19
4879.0,4916.227
4891.0,4916.129
4910.0,4918.4663
4953.0,4936.7344
4973.0,4955.9634
4994.0,4985.834
5010.0,5026.1597
5039.0,5078.8794
5082.0,5116.4746
5099.0,5156.8794
5136.0,5193.4697
5153.0,5240.5225
5176.0,5291.4297
5224.0,5321.6167
5236.0,5361.315
5272.0,5388.278
5291.0,5415.9985
5322.0,5462.924
5381.0,5481.383
5466.0,5520.926
5475.0,5544.7617
5496.0,5576.8735
5517.0,5633.1196
5510.0,5714.71
5525.0,5745.974
5543.0,5796.3384
5562.0,5835.666
5565.0,5840.377
5583.0,5851.056
5599.0,5852.898
5624.0,5855.3228
5647.0,5843.343
5635.0,5841.7104
5640.0,5842.2925
5643.0,5860.6987
5653.0,5882.065
5667.0,5879.854
5669.0,5890.8467
5661.0,5893.9487
5661.0,5899.915
5659.0,5909.385
5649.0,5905.851
5635.0,5900.156
5613.0,5896.6177
5613.0,5890.2983
5580.0,5872.7397
5570.0,5848.7803
5555.0,5819.6226
5533.0,5807.1245
5527.0,5771.539
5515.0,5748.365
5516.0,5724.9985
5495.0,5696.4214
5478.0,5677.575
5458.0,5656.7153
5416.0,5650.5
5339.0,5632.3975
5298.0,5617.8457
5290.0,5599.5703
5257.0,5565.382
5239.0,5503.903
5205.0,5448.857
5158.0,5411.3296
5129.0,5353.839
5102.0,5313.858
5090.0,5266.7524
5049.0,5216.3584
5015.0,5177.027
4978.0,5140.4546
4976.0,5119.331
4950.0,5083.619
4940.0,5056.117
4909.0,5021.7715
4866.0,5012.6587
4854.0,4985.2495
4857.0,4969.9707
4853.0,4948.3096
4843.0,4915.977
4842.0,4900.2227
4840.0,4893.6426
4841.0,4886.622
4865.0,4882.638
4935.0,4889.68
4949.0,4897.8525
4968.0,4910.55
4991.0,4943.1104
4995.0,5019.78
5022.0,5060.9507
5050.0,5105.4575
5090.0,5154.417
5095.0,5183.9946
5117.0,5228.184
5135.0,5264.7773
5168.0,5306.6367
5193.0,5319.167
5223.0,5348.7686
5256.0,5364.3354
5253.0,5390.9375
5278.0,5414.9253
5299.0,5446.2803
5311.0,5484.408
5371.0,5494.7734
5437.0,5523.7773
5470.0,5544.3843
5480.0,5557.845
5504.0,5611.166
5510.0,5669.9707
5525.0,5716.635
5530.0,5753.743
5544.0,5797.0225
5557.0,5812.437
5568.0,5831.7354
5591.0,5833.8486
5600.0,5839.417
5613.0,5840.0293
5624.0,5833.132
