True Value,Predicted Value
1864.0,1854.686
1870.0,1851.5284
1857.0,1840.9719
1855.0,1840.2699
1842.0,1824.4408
1845.0,1824.863
1827.0,1816.3395
1833.0,1813.7532
1822.0,1806.6724
1820.0,1807.6562
1811.0,1799.9465
1815.0,1803.0442
1803.0,1796.0511
1817.0,1800.036
1812.0,1797.5881
1817.0,1803.4408
1808.0,1800.7341
1824.0,1809.5928
1821.0,1812.2213
1826.0,1821.9159
1819.0,1822.2078
1825.0,1835.5754
1821.0,1838.9712
1841.0,1847.8402
1838.0,1848.7368
1856.0,1852.952
1849.0,1853.4465
1871.0,1864.7683
1869.0,1865.7996
1880.0,1876.1796
1874.0,1878.1361
1890.0,1890.5901
1890.0,1895.318
1904.0,1903.7911
1901.0,1904.401
1930.0,1914.5372
1939.0,1928.4316
1976.0,1956.3658
1976.0,1971.9257
1990.0,1991.3276
1992.0,2004.8739
2004.0,2025.8367
2012.0,2033.2765
2025.0,2042.9767
2021.0,2048.9067
2046.0,2057.5283
2041.0,2066.2722
2043.0,2074.1433
2044.0,2076.7317
2076.0,2090.7224
2078.0,2091.5393
2101.0,2098.7078
2109.0,2099.5896
2126.0,2118.1235
2131.0,2122.651
2149.0,2139.3948
2147.0,2144.7002
2163.0,2157.3315
2156.0,2160.552
2169.0,2173.8481
2155.0,2172.6443
2172.0,2181.5256
2171.0,2169.7278
2172.0,2183.1628
2173.0,2164.0876
2178.0,2169.004
2164.0,2164.1248
2170.0,2163.3323
2162.0,2159.0513
2168.0,2163.7139
2157.0,2143.8274
2154.0,2149.116
2103.0,2137.548
2105.0,2136.664
2088.0,2127.0686
2093.0,2124.71
2077.0,2076.2637
2075.0,2066.9397
2063.0,2048.063
2062.0,2046.2421
2046.0,2034.273
2051.0,2036.2836
2040.0,2029.3192
2040.0,2026.2886
2034.0,2009.5804
2034.0,2008.2487
2006.0,1998.9901
2011.0,2002.1637
1993.0,2006.2408
1992.0,2016.442
1979.0,1989.6749
1971.0,1994.8568
1941.0,1964.4055
1935.0,1961.7125
1909.0,1939.673
1904.0,1932.3223
1888.0,1883.3608
1891.0,1883.8538
1875.0,1876.1548
1879.0,1873.1447
1870.0,1852.6251
1868.0,1856.961
1856.0,1846.8182
1855.0,1848.529
1839.0,1837.2338
1838.0,1830.988
1831.0,1817.5201
1832.0,1814.6832
1818.0,1804.6079
1822.0,1802.0957
1811.0,1797.0293
1813.0,1798.5916
1801.0,1792.212
1808.0,1794.3843
1804.0,1789.2365
1812.0,1795.368
1803.0,1792.1664
1818.0,1799.1201
1814.0,1800.1807
1826.0,1809.7886
1820.0,1811.852
1839.0,1824.7223
1824.0,1829.1906
1846.0,1843.7029
1841.0,1846.0951
1855.0,1858.9973
1856.0,1856.9757
1870.0,1870.2075
1868.0,1869.5537
1876.0,1879.1658
1876.0,1882.6151
1892.0,1891.5464
1889.0,1894.6497
1905.0,1902.8151
1909.0,1906.0493
1935.0,1920.4137
1934.0,1941.1409
1967.0,1969.3618
1971.0,1985.0109
1992.0,1999.7488
1991.0,2004.4547
2010.0,2019.8429
2017.0,2027.2681
2031.0,2041.6848
2027.0,2045.9982
2042.0,2059.098
2042.0,2067.4377
2056.0,2077.9155
2046.0,2081.2874
2061.0,2090.661
2062.0,2093.6714
2073.0,2104.4233
2076.0,2101.6316
2088.0,2112.4421
2090.0,2113.7673
2113.0,2119.819
2114.0,2118.935
2124.0,2125.6873
2121.0,2124.9158
2135.0,2140.2812
2138.0,2140.5747
2146.0,2151.0833
2140.0,2146.0483
2154.0,2160.0037
2141.0,2157.2498
2154.0,2170.1245
2148.0,2163.4966
2151.0,2168.1936
2149.0,2150.1057
2161.0,2151.9077
2151.0,2135.8564
2134.0,2129.411
2109.0,2125.4343
2106.0,2141.9976
2108.0,2135.996
2137.0,2119.5215
2134.0,2096.7336
2127.0,2087.7551
2111.0,2078.0288
2117.0,2097.3066
2083.0,2111.3403
2089.0,2104.4094
2069.0,2085.4412
2067.0,2121.1924
2044.0,2090.4602
2026.0,2075.9758
2006.0,2032.5052
1995.0,2022.0592
1986.0,2004.5176
1988.0,1987.6376
1967.0,1967.6643
1971.0,1954.713
1961.0,1942.5371
1963.0,1940.4021
1947.0,1920.3308
1953.0,1923.132
1945.0,1919.4882
1940.0,1926.1571
1921.0,1912.2013
1925.0,1913.9724
1914.0,1910.4805
1913.0,1911.0364
1901.0,1902.1929
1908.0,1905.3284
1898.0,1898.7178
1904.0,1898.7306
1897.0,1889.9738
1906.0,1895.3014
1897.0,1891.5576
1907.0,1897.2241
1901.0,1896.7637
1912.0,1905.9889
1901.0,1908.5089
1919.0,1917.6705
1912.0,1919.6348
1917.0,1928.7335
1921.0,1926.6748
1937.0,1939.0359
1934.0,1938.8732
1951.0,1943.6831
1954.0,1946.7479
1965.0,1956.746
1960.0,1958.9124
1973.0,1969.162
1971.0,1973.4445
1985.0,1981.8666
1988.0,1984.6012
2002.0,1992.7737
2010.0,1998.4297
2039.0,2016.3375
2054.0,2039.813
2068.0,2064.0195
2070.0,2077.19
2081.0,2092.4915
2082.0,2103.0955
2105.0,2113.6746
2107.0,2118.6426
2127.0,2128.7275
2128.0,2133.1099
2138.0,2147.7903
2133.0,2149.906
2144.0,2166.8184
2148.0,2167.499
2175.0,2174.0542
2193.0,2170.6133
2210.0,2179.2197
2212.0,2174.6777
2233.0,2201.8518
2232.0,2221.6748
2244.0,2237.7883
2239.0,2237.639
2257.0,2250.1096
2255.0,2250.523
2265.0,2260.7285
2263.0,2257.354
2275.0,2271.0269
2264.0,2267.7466
2266.0,2277.4414
2260.0,2273.1023
2270.0,2283.3489
2252.0,2264.4934
2255.0,2257.7349
2248.0,2244.7458
2256.0,2244.1716
2240.0,2225.0112
2246.0,2216.7883
2232.0,2211.3425
2186.0,2213.7598
2179.0,2200.3997
2172.0,2207.2725
2163.0,2193.125
2165.0,2141.452
2144.0,2131.7537
2144.0,2127.944
2135.0,2125.9236
2138.0,2129.6064
2122.0,2111.5493
2126.0,2106.8967
2116.0,2097.8062
2107.0,2097.4795
2091.0,2080.4348
2088.0,2081.4353
2075.0,2076.393
2078.0,2078.631
2050.0,2055.3276
2042.0,2049.3345
2019.0,2024.6488
2009.0,2040.7856
1984.0,1983.5021
1984.0,1975.3593
1970.0,1960.4281
1973.0,1962.2642
1958.0,1960.6951
1966.0,1956.9241
1947.0,1944.26
1954.0,1934.3461
1935.0,1915.7474
1941.0,1921.499
1925.0,1912.7333
1926.0,1920.2386
1915.0,1905.746
1913.0,1911.193
1906.0,1902.5275
1904.0,1903.6744
1889.0,1896.3165
1898.0,1896.3787
1893.0,1891.4906
1900.0,1891.466
1894.0,1881.8073
1902.0,1888.6539
1901.0,1886.5205
1911.0,1893.9448
1904.0,1898.4749
1915.0,1908.0703
1916.0,1913.3739
1924.0,1924.441
1928.0,1926.3724
1938.0,1936.53
1944.0,1939.9705
1952.0,1947.1282
1953.0,1951.7273
1965.0,1957.5276
1963.0,1964.1075
1973.0,1971.6138
1971.0,1975.5222
1993.0,1983.5072
1990.0,1987.6448
2003.0,1997.3171
2016.0,2012.5923
2030.0,2045.7012
2047.0,2062.0144
2065.0,2072.117
2070.0,2079.467
2090.0,2087.056
2089.0,2096.2349
2117.0,2109.7747
2113.0,2116.923
2132.0,2130.6492
2125.0,2135.3179
2137.0,2154.4612
2133.0,2156.8962
2144.0,2170.2434
2142.0,2167.5244
2157.0,2175.3801
2157.0,2169.5872
2173.0,2173.2617
2172.0,2163.2131
2190.0,2168.9695
2196.0,2167.2266
2212.0,2186.8394
2208.0,2188.417
2225.0,2207.6792
2224.0,2214.028
2230.0,2230.8848
2223.0,2226.3174
2244.0,2240.5085
2238.0,2241.368
2241.0,2244.7046
2239.0,2236.491
2245.0,2258.6694
2236.0,2246.95
2253.0,2251.3103
2245.0,2243.063
2245.0,2248.732
2225.0,2223.99
2211.0,2238.9421
2195.0,2225.6729
2215.0,2226.8704
2225.0,2203.6726
2213.0,2188.8906
2200.0,2168.434
2191.0,2177.373
2182.0,2182.3403
2175.0,2175.041
2161.0,2154.9688
2155.0,2140.8862
2132.0,2134.5312
2133.0,2129.1523
2107.0,2116.1165
2105.0,2103.834
2093.0,2085.4766
2090.0,2084.0698
2075.0,2067.2979
2071.0,2059.8591
2058.0,2045.6613
2044.0,2036.8314
2002.0,2020.5259
2001.0,2009.4277
1985.0,1995.8202
1986.0,1982.5669
1977.0,1971.3329
1973.0,1972.1593
1965.0,1956.6946
1966.0,1949.8563
1953.0,1941.0554
1951.0,1939.8945
1942.0,1934.793
1937.0,1933.3501
1926.0,1922.4263
1924.0,1920.1168
1913.0,1913.0101
1917.0,1910.1945
1909.0,1903.4584
1912.0,1903.4719
1900.0,1896.6765
1898.0,1898.4224
1890.0,1894.0018
1902.0,1897.5896
1891.0,1893.0992
1907.0,1893.6876
1899.0,1891.2233
1910.0,1898.3333
1903.0,1897.5063
1921.0,1911.5315
1909.0,1913.9783
1922.0,1924.3033
1920.0,1924.1086
1939.0,1937.9061
1938.0,1937.3916
1954.0,1946.8431
1947.0,1946.8994
1964.0,1957.3241
1962.0,1960.2267
1971.0,1970.5204
1972.0,1971.5967
1982.0,1981.3099
1985.0,1984.9331
2000.0,1992.5258
2007.0,1999.8608
2029.0,2019.1191
2038.0,2048.1277
2065.0,2067.7397
2063.0,2074.9482
2082.0,2085.0317
2085.0,2091.877
2109.0,2107.5881
2117.0,2111.5264
2125.0,2126.2974
2125.0,2132.1433
2131.0,2148.0833
2135.0,2157.0427
2144.0,2164.7356
2142.0,2165.9307
2163.0,2168.426
2163.0,2168.8125
2184.0,2177.502
2196.0,2170.7734
2216.0,2191.1907
2199.0,2182.761
2215.0,2213.9229
2223.0,2221.0935
2260.0,2238.4846
2252.0,2226.9675
2257.0,2236.3916
2260.0,2237.6768
2269.0,2278.7039
2261.0,2274.613
2277.0,2279.949
2270.0,2276.904
2275.0,2281.9087
2266.0,2264.5364
2276.0,2276.2136
2269.0,2262.7727
2274.0,2264.7695
2262.0,2250.8896
2264.0,2257.829
2253.0,2245.8772
2254.0,2247.144
2232.0,2231.5742
2234.0,2230.3484
2215.0,2218.266
2210.0,2218.507
2194.0,2196.087
2184.0,2191.12
2165.0,2165.3489
2158.0,2154.353
2134.0,2136.328
2128.0,2130.3857
2105.0,2122.502
2103.0,2118.672
2088.0,2102.0303
2086.0,2093.0903
2069.0,2075.906
2071.0,2065.4177
2048.0,2047.4711
2050.0,2034.4905
2020.0,2013.1342
1989.0,2005.5052
1975.0,1985.4766
1979.0,1999.1227
1969.0,1964.036
1974.0,1971.2496
1965.0,1962.0325
1963.0,1957.2236
1957.0,1944.5115
1949.0,1944.8337
1941.0,1936.2657
1938.0,1933.205
1923.0,1920.9374
1926.0,1917.2196
1911.0,1909.7032
1917.0,1908.9729
1909.0,1903.8932
1906.0,1906.6715
1898.0,1897.444
1906.0,1901.2981
1896.0,1895.8501
1901.0,1895.8378
1892.0,1891.5934
1900.0,1897.6144
1900.0,1896.6061
1911.0,1901.9905
1906.0,1900.1289
1918.0,1908.223
1910.0,1913.3826
1928.0,1925.2035
1922.0,1926.9338
1940.0,1938.3976
1935.0,1936.9727
1956.0,1949.2914
1952.0,1949.6897
1957.0,1959.56
1957.0,1959.7938
1969.0,1971.5042
1968.0,1975.0236
1978.0,1980.1738
1981.0,1982.9241
2003.0,1990.6753
2011.0,1997.7228
2039.0,2016.0428
2053.0,2042.2318
2076.0,2064.819
2068.0,2074.7961
2092.0,2088.9563
2093.0,2098.5024
2095.0,2115.5105
2110.0,2118.1958
2124.0,2134.3713
2133.0,2140.0103
2152.0,2145.2751
2163.0,2152.2551
2180.0,2163.497
2183.0,2169.6855
2209.0,2189.1497
2209.0,2197.2974
2225.0,2215.4539
2224.0,2220.1277
2250.0,2241.411
2249.0,2242.9307
2258.0,2250.5618
2264.0,2244.3865
2280.0,2265.3193
2276.0,2263.5398
2285.0,2272.154
2284.0,2277.1768
2297.0,2291.5254
2284.0,2288.1978
2289.0,2296.0012
2278.0,2294.3633
2289.0,2311.2952
2273.0,2291.6543
2278.0,2292.2004
2260.0,2270.9702
2263.0,2275.024
2256.0,2252.1938
2255.0,2248.945
2242.0,2227.479
2239.0,2227.0664
2221.0,2220.1313
2211.0,2218.2156
2195.0,2202.2493
2193.0,2191.9182
2147.0,2168.0173
2150.0,2150.958
2131.0,2139.9924
2126.0,2141.9597
2114.0,2125.4229
2115.0,2124.0457
2114.0,2108.9102
2109.0,2098.0264
2084.0,2079.1873
2083.0,2069.2998
2072.0,2060.1292
2063.0,2060.1672
2047.0,2029.2914
2033.0,2042.3478
2003.0,2024.8317
2000.0,2022.5039
1986.0,1987.3956
1986.0,1967.175
1971.0,1968.0565
1968.0,1972.0122
1960.0,1960.1328
1963.0,1957.3217
1950.0,1943.831
1952.0,1940.0848
1937.0,1933.0732
1939.0,1932.4282
1926.0,1923.9253
1927.0,1923.4379
