True Value,Predicted Value
1105.7201,1109.0974
1107.2438,1110.4738
1107.2438,1111.0529
1108.8372,1111.7369
1108.8372,1111.9395
1109.7784,1112.2562
1109.7784,1112.2974
1110.2704,1113.0371
1110.2704,1113.3544
1110.5422,1113.12
1110.5422,1113.6348
1110.2961,1114.6173
1110.2961,1114.8303
1110.5872,1115.0165
1110.5872,1115.3071
1109.482,1114.9261
1109.482,1114.3297
1108.2991,1113.9486
1108.2991,1113.6764
1107.031,1113.1436
1107.031,1112.6378
1104.6829,1111.6016
1104.6829,1109.9899
1103.1702,1108.7836
1103.1702,1107.9149
1099.9677,1106.3467
1099.9677,1104.7233
1096.6298,1103.4415
1096.6298,1102.7822
1093.1716,1101.1088
1093.1716,1099.946
1088.4087,1098.3114
1088.4087,1096.7355
1084.7544,1094.6692
1084.7544,1092.611
1079.8263,1089.4706
1079.8263,1087.1991
1076.222,1083.9698
1076.222,1081.538
1071.6624,1078.6593
1071.6624,1076.6882
1068.5093,1075.0757
1068.5093,1073.7112
1064.5162,1072.3851
1064.5162,1071.3872
1062.194,1069.5751
1062.194,1067.7252
1061.0321,1065.3436
1061.0321,1063.717
1059.1104,1061.7057
1059.1104,1060.3644
1058.1927,1059.4442
1058.1927,1059.9928
1057.3536,1060.7145
1057.3536,1061.665
1056.9513,1062.0609
1056.9513,1062.5754
1057.288,1062.1173
1057.288,1061.6844
1057.269,1061.6616
1057.269,1061.9949
1057.5664,1061.9232
1057.5664,1062.4452
1058.1726,1063.0255
1058.1726,1063.8334
1058.7484,1064.7853
1058.7484,1065.058
1059.2959,1064.9525
1059.2959,1065.1471
1060.4152,1065.0891
1060.4152,1065.5288
1061.2562,1066.379
1061.2562,1066.2535
1061.8567,1066.5931
1061.8567,1067.6917
1063.283,1068.6897
1063.283,1068.7483
1063.6824,1069.4731
1063.6824,1070.2396
1064.9191,1070.1952
1064.9191,1070.5951
1065.3531,1071.3862
1065.3531,1071.2695
1065.8011,1070.968
1065.8011,1071.1244
1066.9218,1071.4891
1066.9218,1071.753
1067.4114,1072.6536
1067.4114,1073.4414
1067.7448,1074.2981
1067.7448,1074.8844
1067.5674,1075.3778
1067.5674,1075.6716
1067.9215,1075.3384
1067.9215,1074.8496
1067.5496,1074.9384
1067.5496,1074.7657
1067.731,1074.6439
1067.731,1074.7422
1068.134,1074.8391
1068.134,1074.8828
1067.5061,1074.5826
1067.5061,1074.4572
1067.7129,1074.0449
1067.7129,1073.7682
1067.9454,1073.352
1067.9454,1073.5881
1067.954,1073.5999
1067.954,1073.4248
1069.3746,1073.5298
1069.3746,1074.1195
1071.2515,1074.2343
1071.2515,1074.122
1073.1698,1074.4629
1073.1698,1074.7399
1076.9814,1075.9423
1076.9814,1077.3281
1079.7955,1078.7992
1079.7955,1080.5232
1082.781,1082.4695
1082.781,1083.8828
1085.9366,1085.9154
1085.9366,1088.0819
1087.6973,1089.8667
1087.6973,1090.8385
1089.5594,1092.3398
1089.5594,1094.052
1091.153,1095.7777
1091.153,1096.9463
1092.7292,1097.8862
1092.7292,1098.4255
1094.2861,1098.918
1094.2861,1099.4559
1095.8218,1099.482
1095.8218,1099.3641
1097.3344,1099.6686
1097.3344,1100.4615
1098.2555,1101.0922
1098.2555,1101.362
1099.1104,1102.6017
1099.1104,1103.2836
1099.9054,1103.9501
1099.9054,1103.8378
1100.1038,1103.9309
1100.1038,1103.9967
1100.2802,1104.5276
1100.2802,1104.8958
1101.0509,1105.0409
1101.0509,1105.5615
1100.1299,1105.2213
1100.1299,1104.3392
1099.4624,1103.8838
1099.4624,1103.731
1098.3523,1103.216
1098.3523,1102.7726
1096.1942,1102.5667
1096.1942,1102.5531
1095.3683,1102.196
1095.3683,1101.8585
1093.6123,1100.8978
1093.6123,1099.2694
1092.0542,1097.4829
1092.0542,1095.9496
1090.1072,1094.5947
1090.1072,1094.5972
1088.306,1094.1044
1088.306,1093.5022
1085.9701,1092.5365
1085.9701,1091.5265
1084.506,1090.5317
1084.506,1089.968
1082.5055,1089.187
1082.5055,1088.462
1081.1766,1087.5963
1081.1766,1086.5557
1079.2871,1085.3728
1079.2871,1084.001
1078.038,1082.8424
1078.038,1081.9847
1076.8308,1081.2211
