True Value,Predicted Value
1105.7201,1101.6128
1107.2438,1103.4022
1107.2438,1103.3536
1108.8372,1104.8994
1108.8372,1104.7876
1109.7784,1106.1222
1109.7784,1106.061
1110.2704,1107.6945
1110.2704,1107.4967
1110.5422,1108.3324
1110.5422,1108.8259
1110.2961,1110.1594
1110.2961,1109.8088
1110.5872,1110.713
1110.5872,1111.0315
1109.482,1111.2664
1109.482,1111.0258
1108.2991,1111.5555
1108.2991,1111.6647
1107.031,1111.7678
1107.031,1111.5516
1104.6829,1111.2261
1104.6829,1110.6265
1103.1702,1110.4983
1103.1702,1110.0695
1099.9677,1109.1274
1099.9677,1108.6523
1096.6298,1108.1406
1096.6298,1107.796
1093.1716,1106.2335
1093.1716,1106.061
1088.4087,1104.587
1088.4087,1104.0222
1084.7544,1101.9446
1084.7544,1101.3326
1079.8263,1098.7343
1079.8263,1098.3838
1076.222,1095.0416
1076.222,1094.6606
1071.6624,1091.6232
1071.6624,1091.3582
1068.5093,1088.623
1068.5093,1088.0396
1064.5162,1085.5974
1064.5162,1085.1697
1062.194,1082.0266
1062.194,1081.2053
1061.0321,1078.2909
1061.0321,1077.8088
1059.1104,1074.9126
1059.1104,1074.3806
1058.1927,1072.2449
1058.1927,1072.7882
1057.3536,1070.699
1057.3536,1070.9733
1056.9513,1069.0243
1056.9513,1069.4451
1057.288,1067.1927
1057.288,1067.2573
1057.269,1066.182
1057.269,1066.7164
1057.5664,1065.2101
1057.5664,1065.9152
1058.1726,1065.0768
1058.1726,1065.7723
1058.7484,1065.0881
1058.7484,1065.2112
1059.2959,1064.7177
1059.2959,1065.27
1060.4152,1064.5828
1060.4152,1065.316
1061.2562,1065.4215
1061.2562,1065.3082
1061.8567,1065.5033
1061.8567,1066.2336
1063.283,1066.5148
1063.283,1066.2977
1063.6824,1067.1447
1063.6824,1067.5347
1064.9191,1067.4309
1064.9191,1067.8291
1065.3531,1068.6843
1065.3531,1068.3994
1065.8011,1068.5754
1065.8011,1068.9165
1066.9218,1069.4856
1066.9218,1069.6492
1067.4114,1070.4188
1067.4114,1070.6539
1067.7448,1071.5515
