True Value,Predicted Value
56.411617,56.532864
56.502407,56.584347
56.502407,56.511654
56.833523,55.95361
56.833523,55.146175
57.086452,54.07208
57.086452,53.584988
56.95178,53.505367
56.95178,53.695614
57.412502,54.40109
57.412502,54.84994
57.484066,54.680264
57.484066,54.84344
57.98202,55.70019
57.98202,56.002407
58.287655,55.688076
58.287655,55.628017
58.88278,55.38287
58.88278,55.666286
59.203213,56.67059
59.203213,57.05377
59.729427,57.496212
59.729427,58.050533
60.050076,58.343655
60.050076,58.24014
60.30035,58.074703
60.30035,57.785213
60.476284,58.480648
60.476284,59.47256
60.569393,60.20181
60.569393,59.596096
60.653408,58.80575
60.653408,58.883083
60.83328,58.510006
60.83328,58.544857
60.91711,59.02847
60.91711,59.58505
60.258175,59.665066
60.258175,59.348873
59.75851,58.98721
59.75851,58.869534
59.23483,58.371456
59.23483,57.566097
58.83981,57.70724
58.83981,57.56332
57.994473,57.42889
57.994473,56.949337
57.312313,56.581966
57.312313,56.728176
56.216824,56.03964
56.216824,55.061184
55.597683,54.35406
55.597683,53.786617
54.716,52.92593
54.716,52.563717
53.16055,51.877895
53.16055,51.044094
51.808926,50.01849
51.808926,49.65774
50.88815,49.3038
50.88815,49.63528
49.30804,49.432735
49.30804,49.22851
48.255398,48.233425
48.255398,47.50604
47.21066,47.018917
47.21066,46.63531
46.17477,45.78848
46.17477,45.0404
44.925533,44.381344
44.925533,43.72952
44.00778,43.079372
44.00778,42.59039
43.418026,42.84518
43.418026,42.95001
42.906796,42.239162
42.906796,41.252224
42.63522,41.183743
42.63522,40.411587
42.076717,39.96719
42.076717,40.09457
42.14935,40.36642
42.14935,40.837795
41.83993,41.248074
41.83993,42.104
41.98602,42.46072
41.98602,42.135036
42.052822,41.289577
42.052822,40.67007
42.11291,40.0834
42.11291,39.511196
42.105923,39.563442
42.105923,39.40701
42.592617,40.059963
42.592617,40.714443
43.022243,41.29257
43.022243,41.317043
44.439083,41.3063
44.439083,41.40243
45.453884,41.32687
45.453884,41.976315
47.33044,43.39462
47.33044,44.342556
49.364864,45.296627
49.364864,46.207363
51.467037,47.601772
51.467037,48.153286
54.587948,48.852474
54.587948,49.56634
56.927425,50.10574
56.927425,51.054226
59.35882,52.866787
59.35882,55.242764
62.01324,56.963497
62.01324,58.180813
64.29962,59.343197
64.29962,60.171932
65.50528,61.89773
65.50528,63.009487
66.621124,64.1662
66.621124,66.00098
67.40994,67.5842
67.40994,68.360504
68.42963,69.03476
68.42963,69.083374
69.398254,68.742676
69.398254,68.6951
69.51062,68.46661
69.51062,67.3985
69.80798,66.96619
69.80798,67.67694
69.885284,68.31409
69.885284,68.6579
69.94763,69.02649
69.94763,69.46213
69.80209,69.56656
69.80209,69.18564
69.08664,68.823944
69.08664,68.86862
68.37338,68.38916
68.37338,67.9064
67.663086,67.42093
67.663086,66.87366
66.425476,65.731415
66.425476,65.28226
65.21051,65.00195
65.21051,63.997555
63.349667,62.80868
63.349667,61.665188
62.354244,60.61053
62.354244,59.753902
60.259396,58.91772
60.259396,58.04971
58.843166,56.779873
58.843166,56.602962
57.39575,56.155453
57.39575,55.991238
56.05505,55.27026
56.05505,54.507717
54.415157,53.3934
54.415157,52.418453
52.81808,51.97653
52.81808,52.084988
51.731777,51.944668
51.731777,51.098263
50.64819,49.71304
50.64819,48.66656
49.60861,47.731014
49.60861,47.26965
48.90893,46.775417
48.90893,46.25265
48.295467,45.515194
48.295467,45.474148
47.576168,45.85568
47.576168,45.552334
46.913754,45.33218
46.913754,45.10284
46.59332,44.686275
46.59332,44.35983
45.583706,44.379787
45.583706,44.282497
44.9064,43.777706
44.9064,43.08566
44.587673,42.75903
44.587673,43.07037
44.555416,43.062313
44.555416,42.565273
44.246456,41.917477
44.246456,41.734463
44.234585,41.21652
44.234585,41.133327
44.287716,41.20602
44.287716,41.291897
44.34329,41.436794
44.34329,41.745144
44.816586,42.59753
44.816586,43.538876
44.89007,44.02804
44.89007,44.30453
45.829494,44.32696
45.829494,44.75369
45.98309,44.81674
45.98309,44.87826
47.011562,45.503323
47.011562,45.903347
47.64706,45.690243
47.64706,45.712185
48.310665,46.296078
48.310665,46.952236
48.838497,47.95892
48.838497,48.449947
49.32974,48.375393
49.32974,48.308895
49.675716,48.484463
49.675716,48.128994
49.637417,47.571255
49.637417,47.651302
49.935055,47.878353
49.935055,48.683407
50.14105,49.58224
50.14105,49.814266
49.959408,50.23199
49.959408,50.5639
50.077023,50.20138
50.077023,49.590115
50.678066,48.909145
50.678066,48.500515
50.833736,48.54559
50.833736,48.54217
51.384823,48.2019
51.384823,47.69174
51.90585,48.205105
51.90585,48.77328
52.399105,49.465816
52.399105,49.650295
52.928616,49.902462
52.928616,50.141933
53.475887,50.556362
53.475887,50.499386
54.3522,50.612514
54.3522,50.919064
55.2261,51.141598
55.2261,51.690426
56.048946,52.71612
56.048946,53.736355
57.234035,54.597775
57.234035,55.3905
58.13702,55.7915
58.13702,56.23205
59.2279,56.45779
59.2279,56.191647
59.852077,56.748653
59.852077,57.755733
61.09387,59.0415
61.09387,59.817898
61.69705,60.103786
61.69705,60.019924
62.540005,60.123745
62.540005,60.229214
63.589016,60.302303
63.589016,60.34408
64.45334,60.926632
64.45334,61.07449
64.72769,61.62457
64.72769,62.319088
65.0022,63.298153
65.0022,64.431
65.27646,64.763306
65.27646,64.88873
65.54733,64.59973
65.54733,63.9931
65.62265,63.938717
65.62265,64.67108
64.91943,65.35898
64.91943,65.79086
64.84808,65.68097
64.84808,64.39014
63.570522,63.045254
63.570522,61.97665
62.909695,61.00076
62.909695,60.739986
62.300014,60.47726
62.300014,60.284237
61.578915,59.841488
61.578915,59.294918
60.82748,59.018
60.82748,58.2904
60.05096,57.201412
60.05096,57.019558
59.38946,56.878597
59.38946,56.893826
58.58575,57.086452
58.58575,56.757107
57.54205,56.0357
57.54205,55.84277
56.734737,56.096188
56.734737,55.90884
55.72143,55.156612
55.72143,54.52725
54.876736,53.988125
54.876736,53.179775
53.905453,52.575314
53.905453,52.818172
53.09817,52.768032
53.09817,52.73144
51.986355,51.74255
51.986355,50.36404
51.349728,49.547817
51.349728,49.49737
50.154873,49.20538
50.154873,48.51446
49.278927,47.89697
49.278927,47.428066
48.51974,46.802303
48.51974,46.369076
47.486843,45.796963
47.486843,45.29144
46.440365,44.77798
46.440365,44.62237
45.381832,44.599422
45.381832,44.79803
44.68429,44.487118
44.68429,43.84512
43.98025,42.788906
43.98025,42.19592
43.325924,42.22549
43.325924,42.895626
42.935757,42.73184
42.935757,42.248867
42.209164,41.1824
42.209164,40.799526
42.061672,40.566982
42.061672,40.288357
41.57516,39.58328
41.57516,38.534023
41.365932,38.334316
41.365932,39.107754
41.16586,39.67953
41.16586,40.018887
40.891445,41.05026
40.891445,41.431484
40.923183,41.815517
40.923183,41.725674
40.587612,41.26547
40.587612,40.00131
40.90115,39.376247
40.90115,39.07272
41.198147,38.572475
41.198147,38.89114
41.833096,39.221157
41.833096,39.413784
42.127743,39.795986
42.127743,40.26382
43.55389,40.65646
43.55389,41.05569
44.656796,41.084072
44.656796,41.371426
46.150784,41.781948
46.150784,42.227047
47.737698,43.00369
47.737698,43.821865
49.769405,45.123623
49.769405,46.603054
51.82629,47.999752
51.82629,49.04571
53.438107,49.9035
53.438107,50.74847
55.57104,52.164516
55.57104,53.3417
57.011013,55.24441
57.011013,56.072536
58.3818,56.666866
58.3818,57.08169
59.664608,58.05807
59.664608,59.168056
60.43368,59.895443
60.43368,60.148983
61.613552,59.99844
61.613552,59.748013
61.588833,59.798367
61.588833,60.06573
62.015316,60.380703
62.015316,61.67947
61.758785,62.683254
61.758785,62.829556
61.502804,62.098965
61.502804,61.46948
61.247677,60.697292
61.247677,60.4082
60.306545,60.261166
60.306545,59.639645
59.41598,58.84451
59.41598,58.0863
58.30975,57.338833
58.30975,56.771175
57.443264,56.198055
57.443264,56.037563
57.443264,56.018032
55.902645,55.660885
54.574093,54.692593
54.574093,54.01605
52.917294,52.807644
52.917294,51.22369
50.85043,50.449123
50.85043,49.67303
49.226345,48.970455
49.226345,48.521297
47.274563,48.17541
47.274563,47.989407
46.024014,47.130886
46.024014,46.126278
44.475185,44.86224
44.475185,43.853176
43.598507,42.39352
43.598507,41.12631
42.443142,40.35525
42.443142,40.003994
41.888943,39.739834
41.888943,39.519558
41.340725,39.33267
