True Value,Predicted Value
56.411617,84.05075
56.502407,83.71973
56.502407,84.08008
56.833523,82.96689
56.833523,83.10162
57.086452,82.23773
57.086452,83.59952
56.95178,83.090454
56.95178,83.59674
57.412502,84.3121
57.412502,83.41165
57.484066,82.78165
57.484066,84.09296
57.98202,85.07001
57.98202,83.62909
58.287655,83.48779
58.287655,84.4328
58.88278,83.57416
58.88278,85.213196
59.203213,85.82382
59.203213,84.43771
59.729427,85.977356
59.729427,85.802734
60.050076,85.772
60.050076,85.44043
60.30035,85.86746
60.30035,85.552155
60.476284,88.09238
60.476284,87.409424
60.569393,87.85373
60.569393,85.26486
60.653408,86.73697
60.653408,87.799194
60.83328,85.96698
60.83328,87.91385
60.91711,87.94318
60.91711,88.239044
60.258175,87.306244
60.258175,87.15268
59.75851,87.241516
59.75851,87.79065
59.23483,86.36951
59.23483,86.3439
58.83981,88.331055
58.83981,86.194916
57.994473,87.22247
57.994473,85.507935
57.312313,86.505066
57.312313,86.82367
56.216824,84.3356
56.216824,84.81064
55.597683,84.742645
55.597683,84.322174
54.716,83.09305
54.716,84.10007
53.16055,81.98938
53.16055,82.253235
51.808926,80.63208
51.808926,82.06195
50.88815,80.42465
50.88815,82.15161
49.30804,79.3598
49.30804,80.65387
48.255398,77.637054
48.255398,79.385864
47.21066,77.94
47.21066,78.25232
46.17477,76.34924
46.17477,76.99158
44.925533,75.83807
44.925533,75.67517
44.00778,74.76605
44.00778,74.78766
43.418026,75.57562
43.418026,74.22269
42.906796,72.848145
42.906796,72.650024
42.63522,73.97836
42.63522,70.9483
42.076717,72.680725
42.076717,72.19156
42.14935,72.359375
42.14935,72.38663
41.83993,72.03781
41.83993,73.27249
41.98602,71.76224
41.98602,71.37048
42.052822,70.56894
42.052822,71.307465
42.11291,70.498474
42.11291,70.465546
42.105923,71.210205
42.105923,69.90726
42.592617,72.152435
42.592617,70.62799
43.022243,71.562225
43.022243,70.15985
44.439083,71.17624
44.439083,70.94675
45.453884,70.81372
45.453884,72.51492
47.33044,73.43811
47.33044,72.43381
49.364864,73.80411
49.364864,73.75333
51.467037,75.73599
51.467037,73.77927
54.587948,76.286896
54.587948,75.80783
56.927425,76.74463
56.927425,77.89972
59.35882,80.155
59.35882,81.4104
62.01324,81.03775
62.01324,82.10181
64.29962,83.32135
64.29962,83.6687
65.50528,87.16498
65.50528,85.47009
66.621124,88.521454
66.621124,90.145935
67.40994,90.513794
67.40994,90.44183
68.42963,92.23178
68.42963,91.35849
69.398254,92.42236
69.398254,93.3367
69.51062,93.14899
69.51062,92.08652
69.80798,94.32822
69.80798,95.54181
69.885284,94.93988
69.885284,95.14987
69.94763,95.84863
69.94763,96.2872
69.80209,95.92401
69.80209,95.568085
69.08664,96.265656
69.08664,97.02164
68.37338,95.431366
68.37338,96.29675
67.663086,95.65689
67.663086,95.67706
66.425476,93.87048
66.425476,95.83084
65.21051,94.47879
65.21051,93.20099
63.349667,92.81476
63.349667,92.26483
62.354244,91.71744
62.354244,91.29541
60.259396,90.346954
60.259396,89.78302
58.843166,88.08429
58.843166,90.26175
57.39575,87.19034
57.39575,88.75018
56.05505,85.76282
56.05505,86.64078
54.415157,84.31235
54.415157,84.93045
52.81808,84.49408
52.81808,84.9682
51.731777,83.24478
51.731777,82.0166
50.64819,80.6987
50.64819,81.134796
49.60861,79.77893
49.60861,80.31128
48.90893,78.79309
48.90893,78.7832
48.295467,77.331726
48.295467,78.72168
47.576168,77.89261
47.576168,76.418915
46.913754,76.99701
46.913754,76.19299
46.59332,75.798004
46.59332,75.71658
45.583706,75.94153
45.583706,75.11597
44.9064,74.33038
44.9064,73.87259
44.587673,74.35397
44.587673,74.86096
44.555416,73.437256
44.555416,72.9884
44.246456,72.59311
44.246456,73.35019
44.234585,71.62778
44.234585,73.01889
44.287716,72.13153
44.287716,72.43448
44.34329,72.13876
44.34329,72.50754
44.816586,73.47223
44.816586,73.33896
44.89007,72.84949
44.89007,73.19943
45.829494,72.875275
45.829494,74.25464
45.98309,72.89099
45.98309,73.92703
47.011562,74.770966
47.011562,74.11377
47.64706,73.49097
47.64706,74.63742
48.310665,75.31085
48.310665,75.388916
48.838497,76.52594
48.838497,75.403564
49.32974,75.65936
49.32974,76.00363
49.675716,76.548065
49.675716,75.33624
49.637417,75.77435
49.637417,76.87164
49.935055,76.50598
49.935055,78.03891
50.14105,77.667755
50.14105,77.04251
49.959408,78.40985
49.959408,77.86218
50.077023,77.138214
50.077023,77.3512
50.678066,77.09189
50.678066,77.62933
50.833736,77.985504
50.833736,77.409515
51.384823,76.99594
51.384823,76.705536
51.90585,78.84366
51.90585,77.59595
52.399105,78.78998
52.399105,77.42099
52.928616,78.84427
52.928616,78.25046
53.475887,79.29581
53.475887,77.9003
54.3522,79.45633
54.3522,79.16962
55.2261,79.37329
55.2261,80.26071
56.048946,81.26947
56.048946,81.290924
57.234035,81.76309
57.234035,82.217255
58.13702,82.09329
58.13702,83.13553
59.2279,82.768585
59.2279,82.513245
59.852077,85.071075
59.852077,85.03516
61.09387,86.41278
61.09387,85.42828
61.69705,86.004456
61.69705,85.79932
62.540005,86.966736
62.540005,86.71655
63.589016,87.38089
63.589016,87.39206
64.45334,89.03061
64.45334,87.48242
64.72769,89.73721
64.72769,89.28134
65.0022,90.88684
65.0022,91.10626
65.27646,90.26309
65.27646,91.316345
65.54733,90.59427
65.54733,90.653076
65.62265,92.03824
65.62265,93.08777
64.91943,92.71481
64.91943,92.968506
64.84808,92.13873
64.84808,90.39484
63.570522,91.260315
63.570522,90.71323
62.909695,90.54779
62.909695,91.53049
62.300014,90.27634
62.300014,90.6904
61.578915,89.35971
61.578915,89.33313
60.82748,89.42331
60.82748,87.80533
60.05096,87.35834
60.05096,89.06793
59.38946,87.37814
59.38946,88.16284
58.58575,87.638336
58.58575,86.372284
57.54205,85.96127
57.54205,86.84296
56.734737,86.743866
56.734737,85.61636
55.72143,84.70325
55.72143,85.10651
54.876736,84.45392
54.876736,83.39899
53.905453,83.68344
53.905453,84.697296
53.09817,82.85306
53.09817,83.60666
51.986355,80.58972
51.986355,80.980865
51.349728,81.11572
51.349728,81.5961
50.154873,79.88641
50.154873,79.48276
49.278927,79.1879
49.278927,78.89523
48.51974,77.78006
48.51974,78.01083
47.486843,76.91043
47.486843,77.00488
46.440365,76.141815
46.440365,76.71527
45.381832,76.02994
45.381832,76.451965
44.68429,74.6499
44.68429,74.642456
43.98025,73.26178
43.98025,74.381775
43.325924,74.21359
43.325924,75.08826
42.935757,72.52557
42.935757,73.21814
42.209164,71.14084
42.209164,73.193054
42.061672,71.53699
42.061672,71.8797
41.57516,70.30197
41.57516,69.97113
41.365932,71.16647
41.365932,71.82919
41.16586,70.60028
41.16586,70.88931
40.891445,72.34009
40.891445,70.39807
40.923183,71.938446
40.923183,70.317535
40.587612,70.71121
40.587612,68.72934
40.90115,70.74881
40.90115,69.64487
41.198147,69.39288
41.198147,70.76907
41.833096,69.67926
41.833096,69.91702
42.127743,70.21222
42.127743,70.32568
43.55389,70.36978
43.55389,70.65549
44.656796,70.025116
44.656796,71.25482
46.150784,71.015625
46.150784,71.46228
47.737698,72.28943
47.737698,72.33905
49.769405,74.04538
49.769405,74.282104
51.82629,75.05246
51.82629,75.20761
53.438107,75.98749
53.438107,76.69772
55.57104,78.75412
55.57104,78.27072
57.011013,81.7287
57.011013,78.9382
58.3818,81.681305
58.3818,81.062775
59.664608,83.88919
59.664608,83.69888
60.43368,84.371124
60.43368,84.232544
61.613552,84.70816
61.613552,84.940704
61.588833,86.02881
61.588833,86.35132
62.015316,86.84543
62.015316,89.45892
61.758785,88.13617
61.758785,88.04962
61.502804,87.13962
61.502804,88.36008
61.247677,87.44174
61.247677,88.93967
60.306545,88.250824
60.306545,87.64285
59.41598,87.39371
59.41598,87.12338
58.30975,86.6597
58.30975,86.71982
57.443264,86.03113
57.443264,86.8454
