True Value,Predicted Value
56.411617,21.541653
56.502407,21.521084
56.502407,21.740078
56.833523,21.449612
56.833523,21.53146
57.086452,21.248745
57.086452,21.779629
56.95178,21.6824
56.95178,21.831509
57.412502,22.199734
57.412502,21.87167
57.484066,21.63058
57.484066,22.197598
57.98202,22.65701
57.98202,22.1011
58.287655,22.072353
58.287655,22.483547
58.88278,22.16586
58.88278,22.85635
59.203213,23.25784
59.203213,22.69308
59.729427,23.341885
59.729427,23.391018
60.050076,23.392544
60.050076,23.318142
60.30035,23.539211
60.30035,23.47073
60.476284,24.538052
60.476284,24.458523
60.569393,24.61166
60.569393,23.736904
60.653408,24.324368
60.653408,24.938992
60.83328,24.25137
60.83328,25.044704
60.91711,25.132961
60.91711,25.316372
60.258175,25.023098
60.258175,25.031582
59.75851,25.143093
59.75851,25.398037
59.23483,24.946133
59.23483,24.87405
58.83981,25.673183
58.83981,24.84927
57.994473,25.21481
57.994473,24.653652
57.312313,24.930386
57.312313,25.109646
56.216824,24.09451
56.216824,24.162075
55.597683,24.069485
55.597683,23.820705
54.716,23.228664
54.716,23.52621
53.16055,22.6235
53.16055,22.483974
51.808926,21.827602
51.808926,22.160244
50.88815,21.385098
50.88815,21.856411
49.30804,20.672695
49.30804,20.88351
48.255398,19.641506
48.255398,20.001614
47.21066,19.424343
47.21066,19.20364
46.17477,18.32388
46.17477,18.223782
44.925533,17.66116
44.925533,17.244473
44.00778,16.765224
44.00778,16.462673
43.418026,16.6022
43.418026,15.820706
42.906796,15.013272
42.906796,14.653897
42.63522,15.028043
42.63522,13.581632
42.076717,14.008878
42.076717,13.695828
42.14935,13.4494295
42.14935,13.351407
41.83993,13.042203
41.83993,13.393277
41.98602,12.645169
41.98602,12.348294
42.052822,11.882596
42.052822,12.026212
42.11291,11.58212
42.11291,11.389798
42.105923,11.621854
42.105923,10.958158
42.592617,11.740567
42.592617,11.1698885
43.022243,11.3626375
43.022243,10.823697
44.439083,11.101773
44.439083,11.023099
45.453884,10.863126
45.453884,11.582852
47.33044,11.986234
47.33044,11.6090975
49.364864,12.223538
49.364864,12.333829
51.467037,13.20474
51.467037,12.578153
54.587948,13.634671
54.587948,13.681485
56.927425,14.057157
56.927425,14.818204
59.35882,15.875394
59.35882,16.715115
62.01324,16.804897
62.01324,17.559536
64.29962,18.372158
64.29962,18.833706
65.50528,20.617336
65.50528,20.366116
66.621124,21.844082
66.621124,23.052334
67.40994,23.609219
67.40994,24.08334
68.42963,25.229641
68.42963,25.42239
69.398254,26.16177
69.398254,27.068691
69.51062,27.318935
69.51062,27.196316
69.80798,28.506435
69.80798,29.440456
69.885284,29.519375
69.885284,29.97311
69.94763,30.554592
69.94763,31.076504
69.80209,31.218899
69.80209,31.340237
69.08664,31.815823
69.08664,32.36459
68.37338,31.941372
68.37338,32.44717
67.663086,32.377346
67.663086,32.42642
66.425476,31.844204
66.425476,32.688076
65.21051,32.19949
65.21051,31.54562
63.349667,31.439175
63.349667,31.105312
62.354244,30.816433
62.354244,30.554348
60.259396,30.070644
60.259396,29.63412
58.843166,28.80917
58.843166,29.507717
57.39575,28.13583
57.39575,28.434414
56.05505,27.148586
56.05505,27.113369
54.415157,26.063198
54.415157,25.894314
52.81808,25.59628
52.81808,25.412807
51.731777,24.538174
51.731777,23.686672
50.64819,22.911465
50.64819,22.73959
49.60861,21.95596
49.60861,21.837795
48.90893,20.954739
48.90893,20.50912
48.295467,19.709438
48.295467,19.923489
47.576168,19.445461
47.576168,18.462124
46.913754,18.493374
46.913754,17.890102
46.59332,17.43893
46.59332,17.17593
45.583706,17.03506
45.583706,16.476772
44.9064,15.916471
44.9064,15.534757
44.587673,15.492154
44.587673,15.530606
44.555416,14.776151
44.555416,14.351163
44.246456,14.014005
44.246456,14.11044
44.234585,13.279141
44.234585,13.653836
44.287716,13.191861
44.287716,13.0952425
44.34329,12.907987
44.34329,12.906766
44.816586,13.229276
44.816586,13.1143465
44.89007,12.861173
44.89007,12.927884
45.829494,12.775174
45.829494,13.28024
45.98309,12.764371
45.98309,13.121732
47.011562,13.536405
47.011562,13.2462435
47.64706,13.024381
47.64706,13.502713
48.310665,13.88284
48.310665,13.932706
48.838497,14.505704
48.838497,14.135465
49.32974,14.242337
49.32974,14.550443
49.675716,14.8730135
49.675716,14.482816
49.637417,14.704679
49.637417,15.272061
49.935055,15.20065
49.935055,15.926236
50.14105,15.929044
50.14105,15.717191
49.959408,16.401333
49.959408,16.34927
50.077023,16.098843
50.077023,16.272976
50.678066,16.233059
50.678066,16.505703
50.833736,16.7496
50.833736,16.57388
51.384823,16.396816
51.384823,16.358364
51.90585,17.269253
51.90585,16.853909
52.399105,17.315884
52.399105,16.833279
52.928616,17.363186
52.928616,17.285122
53.475887,17.680996
53.475887,17.259487
54.3522,17.83218
54.3522,17.88998
55.2261,17.94894
55.2261,18.41122
56.048946,18.847622
56.048946,18.970303
57.234035,19.252224
57.234035,19.586391
58.13702,19.59805
58.13702,20.16293
59.2279,20.17825
59.2279,20.182095
59.852077,21.337795
59.852077,21.548977
61.09387,22.224392
61.09387,22.098537
61.69705,22.460293
61.69705,22.59274
62.540005,23.240627
62.540005,23.378262
63.589016,23.732998
63.589016,23.95773
64.45334,24.76205
64.45334,24.383694
64.72769,25.441616
64.72769,25.547207
65.0022,26.3298
65.0022,26.741726
65.27646,26.512539
65.27646,27.136135
65.54733,27.011013
65.54733,27.23074
65.62265,27.964504
65.62265,28.61575
64.91943,28.615383
64.91943,28.867825
64.84808,28.754482
64.84808,28.1058
63.570522,28.551418
63.570522,28.48434
62.909695,28.370815
62.909695,28.83163
62.300014,28.350002
62.300014,28.473293
61.578915,28.018215
61.578915,27.981472
60.82748,28.039333
60.82748,27.321316
60.05096,27.032314
60.05096,27.589321
59.38946,26.872097
59.38946,26.996426
58.58575,26.782375
58.58575,26.151455
57.54205,25.834133
57.54205,26.118801
56.734737,25.989346
56.734737,25.306301
55.72143,24.810024
55.72143,24.774014
54.876736,24.378017
54.876736,23.804592
53.905453,23.759487
53.905453,24.025784
53.09817,23.146572
53.09817,23.239223
51.986355,21.947048
51.986355,21.777676
51.349728,21.745083
51.349728,21.767605
50.154873,20.936245
50.154873,20.468227
49.278927,20.224392
49.278927,19.893154
48.51974,19.308804
48.51974,19.183437
47.486843,18.522488
47.486843,18.302212
46.440365,17.783535
46.440365,17.75912
45.381832,17.313198
45.381832,17.233791
44.68429,16.395657
44.68429,16.120815
43.98025,15.388211
43.98025,15.557096
43.325924,15.385526
43.325924,15.508695
42.935757,14.304837
42.935757,14.304593
42.209164,13.362943
42.209164,13.931424
42.061672,13.234769
42.061672,13.054532
41.57516,12.288785
41.57516,11.845548
41.365932,12.227994
41.365932,12.327664
41.16586,11.725553
41.16586,11.649808
40.891445,12.195889
40.891445,11.29495
40.923183,11.779996
40.923183,11.12991
40.587612,11.100858
40.587612,10.263394
40.90115,10.9476595
40.90115,10.478482
41.198147,10.169522
41.198147,10.744046
41.833096,10.221036
41.833096,10.229581
42.127743,10.305203
42.127743,10.31033
43.55389,10.279386
43.55389,10.40054
44.656796,10.1160555
44.656796,10.580777
46.150784,10.54202
46.150784,10.734586
47.737698,11.149686
47.737698,11.248441
49.769405,11.97421
49.769405,12.233426
51.82629,12.651517
51.82629,12.836392
53.438107,13.330899
53.438107,13.812894
55.57104,14.838834
55.57104,14.937161
57.011013,16.51492
57.011013,15.790982
58.3818,17.02975
58.3818,17.241543
59.664608,18.56985
59.664608,18.960049
60.43368,19.44009
60.43368,19.800564
61.613552,20.189846
61.613552,20.710537
61.588833,21.42062
61.588833,21.926785
62.015316,22.391933
62.015316,23.787502
61.758785,23.615383
61.758785,23.82156
61.502804,23.758083
61.502804,24.51553
61.247677,24.408047
61.247677,25.198086
60.306545,25.160305
60.306545,24.958706
59.41598,25.063076
59.41598,25.074245
58.30975,25.01614
58.30975,25.067165
57.443264,24.864773
57.443264,25.157253
57.443264,24.947048
55.902645,24.571316
54.574093,24.00784
54.574093,24.280727
52.917294,23.256496
52.917294,22.929226
50.85043,23.181118
50.85043,22.308132
49.226345,22.104275
49.226345,21.749111
47.274563,21.331081
47.274563,21.043179
46.024014,19.97787
46.024014,19.757778
44.475185,18.88174
44.475185,18.697536
43.598507,17.444668
43.598507,17.245693
42.443142,16.737514
42.443142,16.344875
41.888943,15.694242
41.888943,15.23422
41.340725,14.727628
41.340725,14.254483
41.367702,12.960782
41.367702,13.738431
41.375515,13.47128
41.375515,12.349027
41.36526,11.8886385
41.36526,12.186734
41.874416,11.912503
41.874416,11.781278
42.36529,11.566434
42.36529,11.538236
43.370113,11.471158
43.370113,11.195462
44.37048,11.673062
44.37048,11.598538
45.304317,11.038297
45.304317,11.817227
46.524624,11.641629
46.524624,12.125577
46.524624,12.040433
47.76907,12.392484
47.76907,12.600553
48.709896,12.794278
48.709896,13.108792
49.693233,13.914823
49.693233,13.361661
50.73028,13.65109
50.73028,14.024625
51.54568,14.586698
51.54568,14.86276
52.67013,15.073636
52.67013,15.567838
53.567043,15.729398
53.567043,16.293728
54.470364,17.394619
54.470364,17.072964
55.768063,17.527004
55.768063,17.66
56.550625,18.288906
56.550625,18.658047
57.876705,19.345364
57.876705,19.129787
59.025448,20.2626
59.025448,19.951138
60.0581,21.05862
60.0581,21.086452
61.2485,21.418423
61.2485,21.653835
62.874477,22.48489
62.874477,22.579372
64.322784,23.027615
64.322784,23.941616
65.81601,24.61044
65.81601,24.616238
67.08768,25.680935
67.08768,25.778164
68.63965,26.30685
68.63965,26.864346
70.243225,27.419949
70.243225,27.100918
71.302124,29.03085
71.302124,28.813625
72.5307,29.949306
72.5307,30.530422
73.8179,31.117153
73.8179,31.300991
74.53635,31.69186
74.53635,32.14639
75.23935,32.423367
75.23935,33.49783
75.62219,33.884243
75.62219,34.016994
75.32367,34.52737
75.32367,34.205227
75.59479,35.02731
75.59479,35.056606
75.34854,35.69369
75.34854,35.982204
75.09387,35.545315
75.09387,36.02139
74.20889,36.606716
74.20889,36.616787
73.381195,36.511562
73.381195,37.212063
72.528595,36.897305
72.528595,36.46188
71.65033,36.314236
71.65033,36.806484
70.25589,36.3641
70.25589,35.523403
68.808136,35.98727
68.808136,35.41818
66.53085,35.227077
66.53085,35.413845
64.973785,34.403957
64.973785,34.249477
63.07632,33.762417
63.07632,32.755154
61.43823,32.55685
61.43823,32.08102
59.45434,31.189114
59.45434,31.112087
57.506283,30.452663
57.506283,29.68539
56.006924,28.717678
56.006924,27.814297
53.76376,27.438198
53.76376,27.13168
52.411404,25.788235
52.411404,26.284573
50.99026,24.73666
50.99026,23.884487
49.668636,23.400173
49.668636,23.400906
48.095547,22.15707
48.095547,21.592983
46.884457,20.634243
46.884457,20.308987
45.732327,19.44955
45.732327,19.67007
45.083157,17.945644
45.083157,17.732937
44.35342,17.06454
44.35342,16.658535
44.41009,16.075954
44.41009,15.980863
44.126095,15.138944
44.126095,15.013761
45.049496,14.860379
45.049496,14.182096
45.107357,14.264493
45.107357,13.760648
45.96896,13.7688265
45.96896,14.259915
47.6011,13.79086
47.6011,13.392728
48.3753,13.76547
48.3753,14.010587
50.28747,14.123746
50.28747,13.833768
51.760006,14.259122
51.760006,14.593228
53.475796,15.576688
53.475796,15.071805
54.869167,16.341396
54.869167,15.583768
56.498104,16.588894
56.498104,17.16885
58.15768,17.587124
58.15768,17.578762
59.754604,18.627163
59.754604,18.69357
61.420162,19.635525
61.420162,19.990383
63.03558,20.394619
63.03558,21.274258
64.599884,22.028042
64.599884,22.593899
65.659454,23.26791
65.659454,23.975552
66.818756,24.70956
66.818756,24.66409
68.06247,25.933498
68.06247,26.481594
69.24405,26.628506
69.24405,27.439602
69.91354,28.272243
69.91354,28.328152
70.524536,29.218288
70.524536,29.447659
70.49826,30.48782
70.49826,30.767727
71.04538,31.230373
71.04538,31.05563
71.059235,31.460598
71.059235,31.533413
70.35242,32.17886
70.35242,32.48257
70.20151,32.642117
70.20151,32.720486
69.50287,32.703762
69.50287,33.046963
69.21744,32.67245
69.21744,32.919765
68.53427,32.7095
68.53427,32.74191
67.74576,33.19119
67.74576,32.981655
66.7912,32.25735
66.7912,32.76492
66.01752,32.503017
66.01752,32.706387
64.73587,31.538845
64.73587,31.882656
63.646755,31.813747
63.646755,31.02444
62.34695,31.219753
62.34695,30.968838
60.689114,30.31277
60.689114,29.647427
59.205776,29.243313
59.205776,28.727139
57.51724,28.062466
57.51724,27.83517
56.027187,26.77438
56.027187,27.430264
53.956966,26.717678
53.956966,25.969692
51.89111,24.80972
51.89111,25.131924
50.138485,23.518398
50.138485,23.527248
48.060818,22.787746
48.060818,22.378078
46.564236,20.887966
46.564236,20.939724
45.04739,20.008999
45.04739,19.193752
43.552303,18.743923
43.552303,18.678738
42.595516,17.126675
42.595516,17.1683
41.620937,16.34335
41.620937,15.964505
40.682827,14.898343
40.682827,14.613187
39.944363,14.624417
39.944363,14.033475
39.563137,13.515042
39.563137,13.147122
38.844997,12.875394
38.844997,11.547513
38.43423,11.9615755
38.43423,11.147183
38.387295,11.130582
38.387295,10.519925
38.289883,10.0622835
38.289883,9.988309
38.239346,10.067349
38.239346,9.536649
38.205715,9.277127
38.205715,8.586148
38.170376,9.064298
38.170376,9.28909
38.133144,8.426175
38.133144,8.7619295
38.465054,8.026334
38.465054,8.379117
38.865505,8.097623
38.865505,7.7151766
39.235195,7.950223
39.235195,8.047269
39.627712,8.269681
39.627712,8.221341
40.43478,8.657987
40.43478,8.322415
41.66769,8.25015
41.66769,8.401456
