True Value,Predicted Value
1410.0436,1398.8746
1412.8059,1400.6144
1412.8059,1401.7594
1415.1602,1403.3661
1415.1602,1404.6985
1417.471,1406.2129
1417.471,1407.3048
1420.0682,1408.2019
1420.0682,1408.8124
1421.8567,1409.7498
1421.8567,1410.8348
1423.8887,1411.9623
1423.8887,1413.3284
1426.3478,1414.7155
1426.3478,1415.9716
1428.2267,1417.3191
1428.2267,1418.3783
1430.1318,1419.0946
1430.1318,1420.2582
1432.0592,1421.0068
1432.0592,1421.3375
1433.3544,1421.558
1433.3544,1422.2526
1435.3713,1423.5958
1435.3713,1424.7823
1437.312,1426.2937
1437.312,1427.5879
1438.6277,1428.8275
1438.6277,1429.6062
1440.5509,1430.2483
1440.5509,1431.2633
1441.8328,1432.3864
1441.8328,1433.2583
1443.0728,1434.075
1443.0728,1434.2577
1444.3333,1433.9961
1444.3333,1434.5396
1445.5194,1435.4265
1445.5194,1436.3981
1446.755,1437.42
1446.755,1437.6821
1447.2793,1438.5356
1447.2793,1439.6139
1448.4902,1439.9387
1448.4902,1440.4469
1449.576,1440.9182
1449.576,1441.3596
1450.7571,1441.5421
1450.7571,1442.2134
1451.9288,1442.273
1451.9288,1442.5686
1453.2487,1443.1156
1453.2487,1443.4923
1454.4122,1444.2343
1454.4122,1444.8607
1454.4122,1445.8418
1455.7513,1446.1875
1457.683,1447.0503
1457.683,1447.9482
1459.284,1448.0509
1459.284,1448.8816
1460.683,1450.0868
1460.683,1451.1932
1462.3665,1452.5541
1462.3665,1453.3143
1464.1016,1453.5354
1464.1016,1453.9752
1464.1016,1455.5029
1465.6305,1456.3678
1466.9022,1457.1417
1466.9022,1458.1494
1467.9929,1458.5085
1467.9929,1459.3873
1469.3846,1459.8619
1469.3846,1460.1045
1469.3846,1460.3674
1470.6365,1460.7609
1471.3379,1461.1682
1471.3379,1461.4742
1471.3379,1461.6798
1472.2892,1462.5302
1473.1288,1463.2426
1473.1288,1463.5378
1473.1288,1464.0977
1473.4991,1465.1578
1473.4991,1466.1178
1473.7316,1466.4661
1473.7316,1466.9067
1473.3729,1468.125
1473.3729,1468.2734
1472.976,1468.0573
1472.976,1467.7659
1472.5339,1467.6161
1472.5339,1467.2728
1471.0697,1466.6952
1471.0697,1466.9467
1468.6974,1466.403
1468.6974,1465.7372
1466.7292,1464.9275
1466.7292,1464.5157
1462.5068,1463.8331
1462.5068,1462.95
1459.1104,1462.0642
1459.1104,1461.4832
1453.8428,1459.5319
1453.8428,1457.5741
1446.3297,1455.3961
1446.3297,1454.0275
1439.7516,1451.1545
1439.7516,1449.0168
1430.6755,1445.6482
1430.6755,1442.138
1423.1326,1437.6072
1423.1326,1434.1841
1413.0605,1428.8241
1413.0605,1424.6167
1405.7711,1419.6865
1405.7711,1416.0782
1397.7806,1410.9025
1397.7806,1406.5659
1390.8605,1401.7535
1390.8605,1397.8958
1386.2979,1393.6648
1386.2979,1390.1528
1383.7693,1386.18
1383.7693,1382.5839
1380.5902,1379.1525
1380.5902,1376.3625
1379.494,1373.7043
1379.494,1372.437
1379.0709,1371.043
1379.0709,1369.9816
1379.1475,1369.2991
1379.1475,1369.1088
1379.6249,1369.1044
1379.6249,1369.0054
1380.0522,1368.9735
1380.0522,1369.5249
1381.1904,1370.2716
1381.1904,1371.0895
1382.9796,1371.6481
1382.9796,1371.9374
1383.5814,1372.3625
1383.5814,1372.6365
1385.1726,1373.8473
1385.1726,1374.9017
1386.4381,1375.7179
1386.4381,1376.2057
1387.6637,1376.7535
1387.6637,1377.4518
1388.6682,1378.5691
1388.6682,1378.9902
1389.2584,1379.1549
1389.2584,1379.7572
1390.2561,1380.7411
1390.2561,1381.1752
1391.254,1381.9792
1391.254,1382.6494
1391.6871,1382.9321
1391.6871,1382.9645
1392.1278,1384.0281
1392.1278,1384.3501
1393.032,1384.664
1393.032,1385.0768
1392.9178,1385.0055
1392.9178,1384.6925
1393.8691,1385.1665
1393.8691,1385.9745
1394.2633,1385.9329
1394.2633,1386.0021
1395.2047,1386.6145
1395.2047,1387.1348
1396.221,1387.0806
1396.221,1387.1191
1397.3204,1387.5629
1397.3204,1388.173
1399.1492,1388.1554
1399.1492,1388.527
1401.8197,1389.976
1401.8197,1390.7338
1404.7014,1391.5441
1404.7014,1392.0797
1408.6146,1392.8708
1408.6146,1393.8143
1412.8829,1395.0413
1412.8829,1396.201
1417.0184,1398.3853
1417.0184,1400.5706
1422.194,1403.3302
1422.194,1405.4912
1427.7017,1407.9215
1427.7017,1409.7095
1432.0118,1412.5704
1432.0118,1414.9111
1436.074,1417.6752
1436.074,1419.7793
1439.8712,1422.4196
1439.8712,1424.8593
1441.6389,1427.424
1441.6389,1429.5764
