True Value,Predicted Value
1410.0436,1412.7605
1412.8059,1415.0692
1412.8059,1416.1199
1415.1602,1416.7865
1415.1602,1418.0125
1417.471,1419.5857
1417.471,1420.5757
1420.0682,1420.9075
1420.0682,1420.8889
1421.8567,1420.8582
1421.8567,1421.7063
1423.8887,1423.0928
1423.8887,1424.3093
1426.3478,1426.1848
1426.3478,1427.848
1428.2267,1429.2311
1428.2267,1430.4812
1430.1318,1431.4012
1430.1318,1431.4567
1432.0592,1432.6906
1432.0592,1432.926
1433.3544,1431.947
1433.3544,1431.7943
1435.3713,1432.9788
1435.3713,1435.1456
1437.312,1437.2063
1437.312,1439.0404
1438.6277,1440.8068
1438.6277,1441.8856
1440.5509,1442.2019
1440.5509,1442.3522
1441.8328,1443.4186
1441.8328,1444.7871
1443.0728,1445.3604
1443.0728,1445.4688
1444.3333,1444.5298
1444.3333,1443.1051
1445.5194,1444.0612
1445.5194,1445.8802
1446.755,1447.1816
1446.755,1448.3903
1447.2793,1448.3093
1447.2793,1449.2606
1448.4902,1451.1116
1448.4902,1450.7299
1449.576,1450.5405
1449.576,1451.4016
1450.7571,1451.2488
1450.7571,1451.2054
1451.9288,1452.0576
1451.9288,1451.476
1453.2487,1451.6746
1453.2487,1452.6901
1454.4122,1453.1263
1454.4122,1454.1885
1454.4122,1455.618
1455.7513,1456.6036
1457.683,1456.986
1457.683,1458.0914
1459.284,1459.0272
1459.284,1458.7462
1460.683,1459.7697
1460.683,1462.2456
1462.3665,1463.6282
1462.3665,1465.145
1464.1016,1465.7856
1464.1016,1464.4398
1464.1016,1465.099
1465.6305,1467.7738
1466.9022,1468.4222
1466.9022,1468.8296
1467.9929,1469.8268
1467.9929,1469.7279
1469.3846,1470.1456
1469.3846,1470.7314
1469.3846,1469.7618
1470.6365,1469.5958
1471.3379,1470.3359
1471.3379,1470.1929
1471.3379,1470.4891
1472.2892,1470.6707
1473.1288,1472.0946
1473.1288,1473.3645
1473.1288,1473.1544
1473.4991,1474.1548
1473.4991,1476.2544
1473.7316,1477.3846
1473.7316,1477.3115
1473.3729,1477.6155
1473.3729,1479.178
1472.976,1478.6975
1472.976,1476.8992
1472.5339,1475.7069
1472.5339,1474.9456
1471.0697,1473.8842
1471.0697,1472.9883
1468.6974,1473.2097
1468.6974,1472.2894
1466.7292,1470.7069
1466.7292,1469.6063
1462.5068,1469.2501
1462.5068,1468.2958
1459.1104,1467.1122
1459.1104,1465.9218
1453.8428,1465.0497
1453.8428,1461.6848
1446.3297,1457.8058
1446.3297,1455.326
1439.7516,1453.4658
1439.7516,1449.5603
1430.6755,1446.0435
1430.6755,1441.4155
1423.1326,1435.7684
1423.1326,1429.7957
1413.0605,1425.4082
1413.0605,1418.575
1405.7711,1413.4905
1405.7711,1409.471
1397.7806,1405.8904
1397.7806,1401.171
1390.8605,1396.8811
1390.8605,1393.1134
1386.2979,1390.5604
1386.2979,1388.0426
1383.7693,1385.6636
1383.7693,1382.8269
1380.5902,1380.2554
1380.5902,1378.6287
1379.494,1377.2103
1379.494,1376.7427
1379.0709,1377.9283
1379.0709,1378.8615
1379.1475,1378.7183
1379.1475,1380.1837
1379.6249,1381.3577
1379.6249,1382.398
1380.0522,1382.8396
1380.0522,1383.4303
1381.1904,1384.4087
1381.1904,1386.4075
1382.9796,1386.9901
1382.9796,1387.4669
1383.5814,1386.7886
1383.5814,1386.9923
1385.1726,1387.1788
1385.1726,1388.9897
1386.4381,1390.2664
1386.4381,1390.5144
1387.6637,1390.1901
1387.6637,1390.5549
1388.6682,1391.1678
1388.6682,1392.5447
1389.2584,1392.1816
1389.2584,1391.467
1390.2561,1392.3595
1390.2561,1393.7179
1391.254,1393.7954
1391.254,1394.6022
1391.6871,1395.2091
1391.6871,1394.6061
1392.1278,1394.5255
1392.1278,1396.1569
1393.032,1396.2361
1393.032,1395.9684
1392.9178,1396.3729
1392.9178,1395.4103
1393.8691,1394.493
1393.8691,1395.9646
1394.2633,1397.2684
1394.2633,1396.4644
1395.2047,1396.5696
1395.2047,1397.7389
1396.221,1398.3015
1396.221,1397.7737
1397.3204,1397.735
1397.3204,1398.4369
1399.1492,1399.3835
1399.1492,1399.1984
1401.8197,1399.8671
1401.8197,1402.5934
1404.7014,1403.8798
1404.7014,1404.1493
1408.6146,1404.8054
1408.6146,1405.5325
1412.8829,1407.153
1412.8829,1408.968
1417.0184,1410.5483
1417.0184,1414.1323
1422.194,1417.949
1422.194,1421.3079
1427.7017,1424.1073
1427.7017,1426.3495
1432.0118,1428.0879
1432.0118,1431.5348
1436.074,1434.3842
1436.074,1436.7518
1439.8712,1438.6676
1439.8712,1441.1829
1441.6389,1443.7354
1441.6389,1446.0674
1444.0599,1447.7594
1444.0599,1450.0524
1445.4462,1451.1882
1445.4462,1451.3456
1445.9486,1451.0126
1445.9486,1450.1965
1446.5006,1450.175
1446.5006,1450.0461
1446.2241,1448.8978
1446.2241,1448.2919
1446.0525,1448.8043
1446.0525,1448.6544
1445.1597,1449.6467
1445.1597,1449.782
1444.3894,1448.6194
1444.3894,1447.4432
1443.6112,1447.4635
1443.6112,1446.9198
1442.351,1446.1621
1442.351,1444.7948
1441.1057,1443.2151
1441.1057,1441.5127
1439.9172,1440.8087
1439.9172,1440.8721
1438.7714,1441.2968
1438.7714,1441.8457
1437.0515,1441.6674
1437.0515,1439.568
1435.9547,1438.195
1435.9547,1437.5519
1434.2649,1437.7281
1434.2649,1437.5688
1433.1436,1436.8116
1433.1436,1435.9595
1431.9362,1435.084
1431.9362,1435.105
1430.8138,1435.0945
1430.8138,1433.5183
1429.5801,1432.5323
1429.5801,1432.954
1428.8917,1431.5852
1428.8917,1430.4507
1428.0502,1430.3092
1428.0502,1429.6581
1427.3256,1429.9144
1427.3256,1429.7543
1427.0153,1428.8507
1427.0153,1429.2854
1426.6897,1430.5721
1426.6897,1429.71
1426.1703,1427.4784
1426.1703,1425.9998
1426.4475,1426.1714
1426.4475,1427.2789
1425.881,1427.4312
1425.881,1426.538
1425.9683,1426.3466
1425.9683,1427.7335
1426.8044,1428.7577
1426.8044,1429.2788
1426.734,1429.6868
1426.734,1430.4662
1426.8834,1431.027
1426.8834,1430.8053
1426.8094,1430.4349
1426.8094,1429.3231
1426.985,1428.5994
1426.985,1428.4883
1426.9084,1428.2188
1426.9084,1428.403
1425.6807,1429.3682
1425.6807,1430.2468
1425.4485,1430.8242
1425.4485,1429.9612
1425.1606,1428.2761
1425.1606,1428.3904
1424.7944,1428.1274
1424.7944,1426.3507
1424.3127,1426.0577
1424.3127,1425.8557
1423.6511,1425.1588
1423.6511,1425.8435
1422.6857,1426.9384
1422.6857,1426.1597
1421.1459,1425.0089
1421.1459,1424.7258
1418.3091,1425.5667
1418.3091,1425.9105
1411.4225,1425.3644
1411.4225,1423.9689
1386.0115,1421.4481
1386.0115,1418.365
1320.722,1414.8785
1320.722,1410.1406
1284.5651,1403.0474
1284.5651,1384.9923
1274.689,1358.5778
1274.689,1311.0682
1271.5359,1261.1475
1271.5359,1222.7161
1269.4869,1197.2085
1269.4869,1187.6929
1271.7252,1193.0745
1271.7252,1202.8492
1270.2004,1219.5626
1270.2004,1237.478
1269.5765,1252.2664
1269.5765,1270.2858
1271.8254,1283.7026
1271.8254,1290.982
1271.8254,1293.4979
1271.8254,1292.557
1274.5709,1291.2709
1274.5709,1293.261
1274.5709,1293.3016
1274.5709,1291.802
1274.5709,1290.6179
1274.5709,1290.1259
1278.2561,1287.786
1278.2561,1287.5326
1279.3824,1283.4485
1279.3824,1282.4504
1280.6504,1281.9082
1280.6504,1283.9203
1283.7263,1284.4666
1283.7263,1285.2025
1287.7948,1286.8606
1287.7948,1288.0312
