True Value,Predicted Value
2190.0,2198.032
2195.0,2197.1833
2215.0,2202.3162
2223.0,2205.504
2267.0,2213.9512
2268.0,2220.2458
2283.0,2234.673
2284.0,2247.5564
2300.0,2281.7915
2309.0,2303.573
2325.0,2323.0325
2331.0,2331.9253
2349.0,2345.8792
2334.0,2356.2588
2352.0,2367.2676
2356.0,2374.9167
2377.0,2387.8264
2388.0,2380.0027
2409.0,2380.0562
2414.0,2379.7964
2438.0,2390.9429
2440.0,2402.904
2458.0,2420.9084
2456.0,2431.3057
2470.0,2449.7715
2471.0,2460.7314
2475.0,2475.4841
2477.0,2479.9382
2485.0,2488.32
2483.0,2492.5808
2483.0,2492.832
2477.0,2490.141
2485.0,2490.929
2477.0,2486.4038
2481.0,2480.7
2474.0,2470.831
2472.0,2465.9695
2462.0,2458.1096
2463.0,2453.8086
2415.0,2445.446
2404.0,2439.1553
2385.0,2428.7288
2383.0,2422.2253
2373.0,2389.4956
2374.0,2360.2007
2357.0,2333.7761
2362.0,2318.2869
2346.0,2306.2927
2350.0,2302.6272
2331.0,2293.8547
2330.0,2294.8647
2317.0,2292.858
2312.0,2295.6328
2287.0,2289.249
2293.0,2285.8745
2275.0,2278.8738
2271.0,2272.4478
2252.0,2254.6
2245.0,2249.9185
2206.0,2239.3096
2202.0,2231.5747
2184.0,2218.0425
2187.0,2208.585
2170.0,2178.6948
2170.0,2159.0122
2156.0,2140.3735
2159.0,2136.4785
2144.0,2125.7637
2144.0,2121.122
2134.0,2115.8943
2134.0,2117.0706
2122.0,2111.2483
2122.0,2111.8274
2105.0,2109.8896
2109.0,2111.815
2099.0,2108.062
2107.0,2107.033
2093.0,2098.0083
2096.0,2096.901
2087.0,2092.9927
2095.0,2096.4614
2083.0,2090.3313
2091.0,2090.1006
2089.0,2084.1155
2096.0,2086.3484
2092.0,2082.3896
2105.0,2083.758
2105.0,2085.655
2115.0,2094.1938
2113.0,2097.0881
2126.0,2108.557
2128.0,2117.2263
2142.0,2128.8748
2142.0,2135.8857
2156.0,2148.3225
2154.0,2155.9321
2171.0,2170.063
2169.0,2177.3643
2179.0,2189.395
2174.0,2192.0073
2193.0,2201.8052
2197.0,2203.8525
2221.0,2209.2075
2236.0,2206.5525
2264.0,2215.6462
2268.0,2220.4768
2283.0,2237.8843
2291.0,2256.9114
2312.0,2285.6333
2306.0,2302.734
2320.0,2320.5825
2327.0,2334.0078
2343.0,2352.0098
2350.0,2357.2297
2358.0,2364.217
2351.0,2367.865
2367.0,2376.381
2366.0,2383.4949
2384.0,2388.841
2383.0,2381.787
2393.0,2383.7595
2409.0,2382.697
2420.0,2390.3865
2418.0,2390.9365
2429.0,2395.211
2427.0,2405.8884
2444.0,2419.1736
2438.0,2423.999
2443.0,2432.0603
2445.0,2432.6646
2449.0,2442.527
2446.0,2443.6672
2453.0,2443.6143
2445.0,2442.7832
2456.0,2443.0378
2453.0,2438.3643
2458.0,2437.875
2446.0,2432.6116
2448.0,2433.2222
2399.0,2430.002
2407.0,2430.1511
2421.0,2423.03
2422.0,2418.2314
2406.0,2384.0308
2407.0,2365.1287
2393.0,2367.2122
2383.0,2371.309
2363.0,2364.8452
2365.0,2360.8704
2344.0,2351.4775
2337.0,2340.6633
2319.0,2322.9617
2314.0,2313.852
2297.0,2298.9143
2293.0,2286.1125
2269.0,2269.478
2270.0,2260.5708
2254.0,2247.086
2243.0,2239.5073
2200.0,2222.9956
2202.0,2216.1848
2183.0,2207.5588
2184.0,2197.2893
2168.0,2168.6897
2169.0,2153.2637
2156.0,2138.1907
2159.0,2132.6436
2147.0,2123.8687
2143.0,2123.7249
2135.0,2119.902
2132.0,2121.3865
2116.0,2119.16
2120.0,2117.5388
2107.0,2114.5122
2106.0,2114.369
2082.0,2105.2964
2072.0,2104.398
2034.0,2096.7827
2043.0,2092.7026
2019.0,2077.745
2023.0,2063.9285
2009.0,2032.4177
2010.0,2019.9735
1991.0,1999.1725
1988.0,1989.8309
1974.0,1978.3507
1968.0,1972.345
1955.0,1959.208
1937.0,1952.9667
1911.0,1943.8704
1897.0,1936.6871
1878.0,1926.6229
1883.0,1912.8112
1866.0,1892.2603
1872.0,1875.1104
1858.0,1855.523
1864.0,1850.2878
1849.0,1839.5756
1846.0,1838.7302
1831.0,1833.785
1838.0,1835.4294
1815.0,1832.2452
1817.0,1829.7188
1807.0,1821.7695
1808.0,1822.4851
1796.0,1812.6772
1798.0,1810.0614
1784.0,1805.3496
1793.0,1803.9823
1784.0,1798.7504
1790.0,1798.5305
1780.0,1792.0942
1788.0,1794.11
1780.0,1792.8783
1790.0,1795.1024
1783.0,1792.4329
1794.0,1795.3945
1798.0,1794.1844
1801.0,1798.4972
1802.0,1798.7904
1811.0,1804.1654
1811.0,1810.8119
1828.0,1816.524
1827.0,1822.0253
1844.0,1830.0798
1845.0,1834.9379
1855.0,1846.413
1850.0,1854.1783
1865.0,1867.1045
1864.0,1875.1063
1878.0,1885.353
1879.0,1889.8489
1897.0,1897.6135
1901.0,1902.4869
1934.0,1910.6143
1953.0,1916.4224
1970.0,1929.0336
1970.0,1937.4144
1992.0,1960.3745
1997.0,1985.8033
2018.0,2009.2772
2023.0,2023.0204
2041.0,2039.0488
2044.0,2048.835
2069.0,2062.4167
2070.0,2070.813
2095.0,2081.2285
2096.0,2087.2053
2108.0,2101.8713
2109.0,2107.905
2126.0,2122.257
2134.0,2129.1177
2154.0,2136.1528
2149.0,2137.4934
2153.0,2144.03
2149.0,2150.703
2160.0,2164.6428
2148.0,2168.7017
2162.0,2168.3333
2154.0,2162.0806
2142.0,2163.6787
2130.0,2155.6204
2169.0,2157.3499
2154.0,2153.4324
2155.0,2139.3835
2145.0,2120.3152
2150.0,2134.8691
2150.0,2137.3132
2152.0,2137.4087
2143.0,2131.6938
2146.0,2133.695
2139.0,2136.2998
2129.0,2139.211
2063.0,2135.6128
2066.0,2136.4487
2055.0,2133.1038
2056.0,2125.2012
2044.0,2077.518
2045.0,2046.9552
2027.0,2026.1276
2029.0,2016.6754
2014.0,2004.3754
2016.0,1998.9034
2003.0,1987.8422
1991.0,1983.0154
1974.0,1973.0066
1969.0,1972.7031
1956.0,1967.0863
1941.0,1959.1465
1916.0,1947.5818
1898.0,1940.4229
1881.0,1930.7325
1874.0,1919.8326
1867.0,1902.0424
1871.0,1882.4102
1859.0,1863.3163
1860.0,1850.0203
1844.0,1840.794
1847.0,1839.4133
1828.0,1833.7186
1835.0,1831.7455
1819.0,1825.5771
1813.0,1825.8066
1797.0,1817.7986
1803.0,1818.1726
1793.0,1812.5681
1793.0,1808.0791
1783.0,1798.6127
1790.0,1796.9458
1780.0,1793.3231
1781.0,1792.7505
1780.0,1788.0792
1786.0,1789.6749
1781.0,1786.975
1789.0,1787.3499
1785.0,1788.1652
1794.0,1793.0334
1789.0,1793.7241
1804.0,1799.441
1801.0,1801.8461
1813.0,1808.502
1807.0,1809.1069
1819.0,1817.1111
1827.0,1822.9435
1844.0,1833.1068
1843.0,1835.1447
1856.0,1842.2802
1851.0,1850.9729
1861.0,1866.0289
1862.0,1874.9746
1877.0,1885.2502
1873.0,1890.1321
1896.0,1896.2507
1899.0,1898.9912
1943.0,1907.8954
1954.0,1911.7517
1972.0,1924.131
1971.0,1935.2539
1986.0,1963.5475
1995.0,1989.3496
2012.0,2013.9948
2015.0,2027.1675
2033.0,2038.4624
2018.0,2045.621
2037.0,2056.5862
2053.0,2060.7295
2068.0,2069.8604
2072.0,2064.8215
2100.0,2066.5396
2105.0,2074.8389
2124.0,2089.1697
2127.0,2098.5684
2147.0,2118.6729
2144.0,2132.8508
2161.0,2149.314
2158.0,2159.3691
2169.0,2173.901
2166.0,2177.125
2179.0,2184.2314
2169.0,2183.6528
2179.0,2185.8555
2166.0,2182.5579
2178.0,2185.2822
2167.0,2179.3313
2179.0,2176.495
2167.0,2165.9072
2168.0,2167.3252
2163.0,2160.07
2152.0,2160.444
2106.0,2154.2866
2107.0,2151.0476
2082.0,2145.5513
2083.0,2136.8313
2067.0,2100.012
2071.0,2077.4153
2055.0,2052.2976
2056.0,2038.8951
2041.0,2022.295
2043.0,2017.1416
2031.0,2006.3428
2033.0,2003.7048
2015.0,1995.07
2010.0,1994.9479
1987.0,1990.4142
1989.0,1991.3143
1968.0,1984.8865
1973.0,1980.7559
1958.0,1968.2798
1947.0,1964.585
1914.0,1951.7424
1900.0,1949.049
1882.0,1941.4176
1878.0,1932.8856
1865.0,1907.9929
1866.0,1885.9432
1850.0,1865.2799
1855.0,1853.465
1839.0,1841.3867
1843.0,1835.6177
1830.0,1825.9504
1832.0,1825.329
1814.0,1818.7021
1817.0,1818.7999
1801.0,1815.1523
1807.0,1815.7715
1794.0,1808.832
1799.0,1807.5927
1783.0,1801.6434
1787.0,1801.51
1778.0,1796.6346
1786.0,1797.7139
1776.0,1791.1304
1782.0,1790.8705
1779.0,1788.1243
1785.0,1790.0748
1778.0,1787.8677
1799.0,1790.904
1785.0,1791.5695
1799.0,1796.0002
1800.0,1795.1278
1817.0,1806.2545
1810.0,1807.8539
1831.0,1814.4674
1829.0,1820.2361
1842.0,1831.4834
1844.0,1835.5066
1858.0,1848.4817
1853.0,1856.1517
1862.0,1867.7762
1866.0,1875.9678
1874.0,1888.5948
1879.0,1892.4645
1900.0,1898.6865
1910.0,1903.6981
1943.0,1910.6224
1955.0,1917.0558
1970.0,1930.0309
1974.0,1942.9001
1999.0,1968.1708
1999.0,1992.5361
2005.0,2014.3087
2013.0,2027.8036
