True Value,Predicted Value
2190.0,2215.1287
2195.0,2214.5376
2215.0,2216.6165
2223.0,2218.6426
2267.0,2226.3384
2268.0,2233.9949
2283.0,2248.39
2284.0,2262.5374
2300.0,2294.3523
2309.0,2319.1274
2325.0,2338.1519
2331.0,2344.7903
2349.0,2353.1697
2334.0,2361.0662
2352.0,2371.8687
2356.0,2381.468
2377.0,2395.4836
2388.0,2392.678
2409.0,2391.7615
2414.0,2390.6794
2438.0,2400.2473
2440.0,2413.4502
2458.0,2432.1174
2456.0,2444.0815
2470.0,2459.7585
2471.0,2469.654
2475.0,2482.1116
2477.0,2487.564
2485.0,2495.5718
2483.0,2501.4277
2483.0,2504.3909
2477.0,2504.078
2485.0,2505.212
2477.0,2501.731
2481.0,2496.4036
2474.0,2486.7385
2472.0,2479.4392
2462.0,2470.1602
2463.0,2463.3008
2415.0,2454.3083
2404.0,2446.6538
2385.0,2436.6555
2383.0,2429.2966
2373.0,2405.5637
2374.0,2380.702
2357.0,2356.655
2362.0,2340.2292
2346.0,2327.8816
2350.0,2321.4763
2331.0,2312.6467
2330.0,2308.7815
2317.0,2303.4521
2312.0,2300.9138
2287.0,2293.561
2293.0,2287.6106
2275.0,2280.034
2271.0,2273.2195
2252.0,2260.1392
2245.0,2254.3103
2206.0,2246.2812
2202.0,2240.1204
2184.0,2230.1965
2187.0,2221.608
2170.0,2199.2026
2170.0,2179.7922
2156.0,2160.9243
2159.0,2152.5554
2144.0,2142.2366
2144.0,2135.928
2134.0,2129.1245
2134.0,2126.3013
2122.0,2119.3167
2122.0,2116.064
2105.0,2112.116
2109.0,2111.5806
2099.0,2108.1545
2107.0,2106.5864
2093.0,2099.6372
2096.0,2097.706
2087.0,2095.1943
2095.0,2098.7642
2083.0,2096.12
2091.0,2095.8762
2089.0,2091.0774
2096.0,2091.8333
2092.0,2089.2234
2105.0,2090.2126
2105.0,2092.6746
2115.0,2101.1072
2113.0,2106.0828
2126.0,2117.0374
2128.0,2127.2434
2142.0,2139.778
2142.0,2148.662
2156.0,2161.0073
2154.0,2170.2258
2171.0,2184.2542
2169.0,2193.6094
2179.0,2205.466
2174.0,2209.4734
2193.0,2217.378
2197.0,2219.8462
2221.0,2223.9622
2236.0,2221.67
2264.0,2228.2236
2268.0,2234.0576
2283.0,2250.798
2291.0,2271.2102
2312.0,2299.9011
2306.0,2318.792
2320.0,2334.0796
2327.0,2344.0234
2343.0,2357.9568
2350.0,2363.8179
2358.0,2370.5176
2351.0,2375.1106
2367.0,2384.1577
2366.0,2393.3486
2384.0,2400.8462
2383.0,2396.5322
2393.0,2396.1047
2409.0,2394.0942
2420.0,2399.9377
2418.0,2401.804
2429.0,2405.3284
2427.0,2413.421
2444.0,2424.7502
2438.0,2429.935
2443.0,2436.049
2445.0,2436.3413
2449.0,2443.2817
2446.0,2445.55
2453.0,2446.5227
2445.0,2446.108
2456.0,2446.369
2453.0,2442.994
2458.0,2441.6772
2446.0,2436.973
2448.0,2435.8293
2399.0,2432.4536
2407.0,2431.0776
2421.0,2425.0083
2422.0,2419.6323
2406.0,2394.794
2407.0,2375.9382
2393.0,2371.248
2383.0,2372.069
2363.0,2368.0825
2365.0,2364.322
2344.0,2356.2148
2337.0,2346.1016
2319.0,2331.2522
2314.0,2321.0632
2297.0,2308.321
2293.0,2297.0332
2269.0,2283.4565
2270.0,2274.2617
2254.0,2262.9072
2243.0,2254.7312
2200.0,2241.2993
2202.0,2232.6162
2183.0,2223.1895
2184.0,2212.7314
2168.0,2190.1775
2169.0,2173.2002
2156.0,2157.3445
2159.0,2148.7056
2147.0,2139.636
2143.0,2136.3242
2135.0,2130.9995
2132.0,2128.4844
2116.0,2123.96
2120.0,2119.6833
2107.0,2114.711
2106.0,2112.3699
2082.0,2104.7498
