True Value,Predicted Value
2300.0,2309.4731
2309.0,2369.07
2325.0,2422.0132
2331.0,2414.161
2349.0,2401.153
2334.0,2368.3855
2352.0,2350.049
2356.0,2330.8765
2377.0,2332.2378
2388.0,2337.1904
2409.0,2356.971
2414.0,2357.847
2438.0,2383.274
2440.0,2405.3638
2458.0,2447.763
2456.0,2479.7476
2470.0,2511.974
2471.0,2530.043
2475.0,2542.2168
2477.0,2532.6775
2485.0,2522.97
2483.0,2501.9595
2483.0,2486.656
2477.0,2472.2976
2485.0,2462.266
2477.0,2456.5798
2481.0,2456.8218
2474.0,2458.8845
2472.0,2461.8948
2462.0,2467.5867
2463.0,2475.7947
2415.0,2478.2034
2404.0,2480.397
2385.0,2472.6008
2383.0,2458.0356
2373.0,2435.8003
2374.0,2412.2307
2357.0,2374.1475
2362.0,2348.9868
2346.0,2325.6995
2350.0,2314.3782
2331.0,2309.9949
2330.0,2315.721
2317.0,2317.7087
2312.0,2326.2832
2287.0,2329.5645
2293.0,2334.8071
2275.0,2328.9465
2271.0,2321.3726
2252.0,2306.895
2245.0,2291.893
2206.0,2267.5188
2202.0,2251.6584
2184.0,2231.5115
2187.0,2212.254
2170.0,2189.7102
2170.0,2169.924
2156.0,2142.7346
2159.0,2128.401
2144.0,2116.72
2144.0,2115.949
2134.0,2112.9905
2134.0,2118.4133
2122.0,2123.5708
2122.0,2132.104
2105.0,2132.8828
2109.0,2138.636
2099.0,2137.0095
2107.0,2135.272
2093.0,2125.6013
2096.0,2115.9866
2087.0,2099.163
2095.0,2091.2488
2083.0,2080.2366
2091.0,2080.0012
2089.0,2074.5205
2096.0,2077.2478
2092.0,2074.305
2105.0,2081.0222
2105.0,2082.495
2115.0,2091.337
2113.0,2099.396
2126.0,2110.7175
2128.0,2117.5505
2142.0,2128.5522
2142.0,2134.7668
2156.0,2143.2974
2154.0,2147.987
2171.0,2156.175
2169.0,2160.1726
2179.0,2167.6238
2174.0,2171.4426
2193.0,2178.804
2197.0,2181.2766
2221.0,2187.9758
2236.0,2190.89
2264.0,2198.111
2268.0,2204.4111
2283.0,2219.1753
2291.0,2234.723
2312.0,2257.412
2306.0,2278.5137
2320.0,2301.896
2327.0,2321.577
2343.0,2339.8613
2350.0,2353.2065
2358.0,2365.2117
2351.0,2370.5159
2367.0,2375.2124
2366.0,2376.161
2384.0,2376.9192
2383.0,2375.445
2393.0,2373.6565
2409.0,2371.9553
2420.0,2374.3328
2418.0,2377.92
2429.0,2386.4067
2427.0,2396.3801
2444.0,2408.6304
2438.0,2422.7942
2443.0,2435.8662
2445.0,2448.4387
2449.0,2461.0823
2446.0,2470.7007
2453.0,2476.51
2445.0,2476.6958
2456.0,2473.8086
2453.0,2467.3137
2458.0,2458.4954
2446.0,2448.7935
2448.0,2442.1633
2399.0,2437.5706
2407.0,2436.268
2421.0,2436.2788
2422.0,2435.1345
2406.0,2430.0566
2407.0,2424.6987
2393.0,2416.8027
2383.0,2413.675
2363.0,2410.2322
2365.0,2404.3887
2344.0,2397.5095
2337.0,2389.3599
2319.0,2377.7092
2314.0,2364.2292
2297.0,2349.546
2293.0,2332.8394
2269.0,2313.3022
2270.0,2293.7776
2254.0,2274.7507
2243.0,2258.6753
2200.0,2244.7556
2202.0,2237.2742
2183.0,2228.8865
2184.0,2220.0852
2168.0,2208.7268
2169.0,2195.1643
2156.0,2177.6152
2159.0,2161.9556
2147.0,2146.1682
2143.0,2134.4724
2135.0,2124.5945
2132.0,2124.9863
2116.0,2127.1152
2120.0,2132.7698
2107.0,2135.3289
2106.0,2137.9338
2082.0,2137.4788
2072.0,2134.0637
2034.0,2127.5713
2043.0,2118.8943
2019.0,2101.2249
2023.0,2078.356
