True Value,Predicted Value
2190.0,2204.3584
2195.0,2204.2969
2215.0,2207.364
2223.0,2210.172
2267.0,2218.2446
2268.0,2226.8362
2283.0,2242.247
2284.0,2257.126
2300.0,2289.902
2309.0,2316.3582
2325.0,2336.962
2331.0,2345.3596
2349.0,2353.9814
2334.0,2360.769
2352.0,2369.3123
2356.0,2376.8645
2377.0,2389.3691
2388.0,2386.447
2409.0,2384.9397
2414.0,2384.1477
2438.0,2393.1216
2440.0,2406.6104
2458.0,2426.1865
2456.0,2440.197
2470.0,2458.1992
2471.0,2470.693
2475.0,2484.6377
2477.0,2490.7795
2485.0,2497.88
2483.0,2502.8003
2483.0,2503.761
2477.0,2501.0032
2485.0,2500.3096
2477.0,2496.1982
2481.0,2489.7512
2474.0,2478.8901
2472.0,2471.1055
2462.0,2462.6611
2463.0,2457.8394
2415.0,2450.9365
2404.0,2445.2542
2385.0,2435.773
2383.0,2428.8728
2373.0,2400.6396
2374.0,2370.4795
2357.0,2344.4424
2362.0,2329.6301
2346.0,2322.5388
2350.0,2320.7646
2331.0,2313.6768
2330.0,2310.5603
2317.0,2305.8506
2312.0,2304.1218
2287.0,2296.2778
2293.0,2289.318
2275.0,2281.1804
2271.0,2273.752
2252.0,2258.0073
2245.0,2250.6418
2206.0,2242.0571
2202.0,2234.1467
2184.0,2222.0159
2187.0,2211.0981
2170.0,2183.6545
2170.0,2160.4246
2156.0,2141.7466
2159.0,2138.6255
2144.0,2133.6543
2144.0,2130.3865
2134.0,2125.2856
2134.0,2124.2285
2122.0,2117.599
2122.0,2114.884
2105.0,2111.7466
2109.0,2112.1292
2099.0,2108.886
2107.0,2107.1614
2093.0,2098.7202
2096.0,2095.9133
2087.0,2093.6445
2095.0,2098.1736
2083.0,2096.79
2091.0,2097.7554
2089.0,2093.7073
2096.0,2094.8313
2092.0,2092.1062
2105.0,2092.5222
2105.0,2094.5803
2115.0,2102.8813
2113.0,2107.2268
2126.0,2117.4348
2128.0,2126.8022
2142.0,2137.7585
2142.0,2145.1165
2156.0,2155.4482
2154.0,2162.9185
2171.0,2175.649
2169.0,2183.9788
2179.0,2194.9558
2174.0,2198.1755
2193.0,2205.3315
2197.0,2208.675
2221.0,2213.9382
2236.0,2212.9297
2264.0,2220.577
2268.0,2227.424
2283.0,2244.5247
2291.0,2265.9895
2312.0,2295.9324
2306.0,2316.6738
2320.0,2333.597
2327.0,2344.9114
2343.0,2358.4836
2350.0,2363.2188
2358.0,2367.6702
2351.0,2370.4014
2367.0,2377.6963
2366.0,2386.1782
2384.0,2393.7192
2383.0,2390.0225
2393.0,2389.6187
2409.0,2388.0298
2420.0,2393.756
2418.0,2396.5222
2429.0,2400.9568
2427.0,2411.2708
2444.0,2425.4775
2438.0,2433.5093
2443.0,2442.2307
2445.0,2444.4521
2449.0,2452.302
2446.0,2455.343
2453.0,2456.0159
2445.0,2455.458
2456.0,2455.792
2453.0,2451.8955
2458.0,2450.6677
2446.0,2446.1
2448.0,2445.8525
2399.0,2443.5667
2407.0,2443.069
2421.0,2436.8008
2422.0,2430.5876
2406.0,2398.9866
2407.0,2374.451
2393.0,2373.362
2383.0,2381.5066
2363.0,2381.7703
2365.0,2378.2202
2344.0,2366.5427
2337.0,2351.1
2319.0,2332.9075
2314.0,2322.1934
2297.0,2309.4343
2293.0,2297.9604
2269.0,2283.1428
2270.0,2273.4634
2254.0,2261.4277
2243.0,2252.634
2200.0,2236.1191
2202.0,2225.6836
2183.0,2215.4443
2184.0,2203.66
2168.0,2175.7632
2169.0,2155.4983
2156.0,2139.3938
2159.0,2134.0046
2147.0,2128.5173
2143.0,2128.7715
2135.0,2125.5632
2132.0,2125.2517
2116.0,2121.9429
2120.0,2118.3813
2107.0,2113.7004
2106.0,2111.8062
2082.0,2103.2468
2072.0,2100.6606
2034.0,2094.7566
