True Value,Predicted Value
2190.0,2199.6018
2195.0,2188.1553
2215.0,2204.881
2223.0,2207.435
2267.0,2221.47
2268.0,2231.677
2283.0,2256.0542
2284.0,2265.0918
2300.0,2311.1138
2309.0,2314.539
2325.0,2332.2356
2331.0,2328.5803
2349.0,2347.0715
2334.0,2353.7444
2352.0,2365.3218
2356.0,2374.0535
2377.0,2388.8901
2388.0,2366.6838
2409.0,2382.63
2414.0,2385.358
2438.0,2407.4583
2440.0,2421.1094
2458.0,2445.1477
2456.0,2448.646
2470.0,2462.788
2471.0,2467.6812
2475.0,2483.2666
2477.0,2480.941
2485.0,2491.8208
2483.0,2492.902
2483.0,2491.5483
2477.0,2490.063
2485.0,2492.5605
2477.0,2496.0435
2481.0,2488.5117
2474.0,2479.3794
2472.0,2478.6187
2462.0,2466.0679
2463.0,2461.6702
2415.0,2449.0767
2404.0,2440.3296
2385.0,2426.8193
2383.0,2423.3293
2373.0,2376.333
2374.0,2363.4653
2357.0,2341.4348
2362.0,2339.1455
2346.0,2325.5208
2350.0,2325.5906
2331.0,2310.8848
2330.0,2315.2588
2317.0,2301.9126
2312.0,2303.9116
2287.0,2284.882
2293.0,2282.852
2275.0,2268.3147
2271.0,2262.7974
2252.0,2238.5693
2245.0,2244.433
2206.0,2228.7559
2202.0,2226.9714
2184.0,2213.738
2187.0,2210.8022
2170.0,2174.2817
2170.0,2170.0437
2156.0,2152.423
2159.0,2159.367
2144.0,2137.0425
2144.0,2133.7542
2134.0,2122.5283
2134.0,2122.5881
2122.0,2108.1494
2122.0,2112.4546
2105.0,2107.5742
2109.0,2107.0862
2099.0,2101.225
2107.0,2101.3232
2093.0,2085.613
2096.0,2092.0896
2087.0,2090.8713
2095.0,2101.9753
2083.0,2086.2473
2091.0,2093.2263
2089.0,2085.3635
2096.0,2097.8394
2092.0,2091.856
2105.0,2097.7627
2105.0,2103.5627
2115.0,2110.943
2113.0,2108.815
2126.0,2127.259
2128.0,2129.4985
2142.0,2138.5952
2142.0,2141.5593
2156.0,2156.0566
2154.0,2155.628
2171.0,2172.954
2169.0,2173.8188
2179.0,2188.5457
2174.0,2183.458
2193.0,2202.691
2197.0,2198.1091
2221.0,2211.589
2236.0,2201.7078
2264.0,2230.8733
2268.0,2231.448
2283.0,2264.5505
2291.0,2278.4258
2312.0,2310.1694
2306.0,2311.9194
2320.0,2327.6938
2327.0,2335.995
2343.0,2355.2063
2350.0,2349.4219
2358.0,2359.9968
2351.0,2363.622
2367.0,2376.049
2366.0,2387.203
2384.0,2393.094
2383.0,2382.0076
2393.0,2393.596
2409.0,2393.9658
2420.0,2410.2893
2418.0,2400.1907
2429.0,2403.8809
2427.0,2424.5193
2444.0,2436.6042
2438.0,2433.2253
2443.0,2440.6257
2445.0,2436.2275
2449.0,2454.7756
2446.0,2447.7722
2453.0,2445.554
2445.0,2442.5767
2456.0,2443.9736
2453.0,2442.619
2458.0,2445.0195
2446.0,2436.9517
2448.0,2439.9788
2399.0,2434.511
2407.0,2436.7349
2421.0,2417.4265
2422.0,2414.9558
2406.0,2361.8677
2407.0,2368.3774
2393.0,2381.8079
2383.0,2380.362
2363.0,2363.5044
2365.0,2362.6277
2344.0,2348.506
2337.0,2339.777
2319.0,2319.5168
2314.0,2318.524
2297.0,2299.7046
2293.0,2291.4634
2269.0,2271.9858
2270.0,2268.6199
2254.0,2248.8528
2243.0,2245.5657
2200.0,2226.3804
2202.0,2226.2622
2183.0,2211.7378
2184.0,2203.1753
2168.0,2168.0813
2169.0,2167.7163
2156.0,2150.642
2159.0,2151.0852
2147.0,2133.4995
2143.0,2134.8918
2135.0,2122.8994
2132.0,2125.6606
2116.0,2118.388
2120.0,2113.3567
2107.0,2110.5498
2106.0,2108.0786
2082.0,2093.697
2072.0,2099.8037
2034.0,2084.796
2043.0,2085.1514
2019.0,2064.2078
2023.0,2053.8865
2009.0,2009.9633
2010.0,2019.2913
1991.0,1989.311
1988.0,1993.3823
1974.0,1982.9907
1968.0,1978.6946
1955.0,1959.7327
1937.0,1955.6865
1911.0,1942.2947
1897.0,1932.1298
1878.0,1922.374
1883.0,1900.7972
1866.0,1881.3254
1872.0,1864.8247
1858.0,1848.3488
1864.0,1854.092
1849.0,1843.2877
1846.0,1847.1958
1831.0,1839.6356
1838.0,1842.2545
1815.0,1829.1981
1817.0,1824.7162
1807.0,1809.8882
1808.0,1818.9277
1796.0,1796.8431
1798.0,1803.9458
1784.0,1795.835
1793.0,1800.806
1784.0,1794.0933
1790.0,1799.2278
1780.0,1786.6428
1788.0,1796.0596
1780.0,1789.2238
1790.0,1794.4048
1783.0,1786.1765
1794.0,1795.073
1798.0,1790.328
1801.0,1801.7277
1802.0,1797.9382
1811.0,1807.6765
1811.0,1815.8662
1828.0,1818.2101
1827.0,1823.4207
1844.0,1831.8198
1845.0,1833.5961
1855.0,1853.6721
1850.0,1857.3335
1865.0,1877.339
1864.0,1879.7037
1878.0,1895.496
1879.0,1894.328
1897.0,1909.2148
1901.0,1911.5775
1934.0,1926.102
1953.0,1930.7938
1970.0,1951.2812
1970.0,1952.4675
1992.0,1987.5155
1997.0,2003.444
2018.0,2018.1992
2023.0,2021.776
2041.0,2041.4978
2044.0,2047.0729
2069.0,2065.1519
2070.0,2071.1824
2095.0,2086.6658
2096.0,2092.6802
2108.0,2117.2498
2109.0,2115.9097
2126.0,2139.669
2134.0,2139.541
2154.0,2148.7668
2149.0,2149.4773
2153.0,2156.9624
2149.0,2161.5151
2160.0,2176.1506
2148.0,2173.0442
2162.0,2168.5076
2154.0,2162.12
2142.0,2168.716
2130.0,2151.7026
2169.0,2163.9336
2154.0,2153.5928
2155.0,2127.3162
2145.0,2113.765
2150.0,2155.5183
2150.0,2136.0583
2152.0,2136.8777
2143.0,2129.666
2146.0,2131.2288
2139.0,2133.6953
2129.0,2135.6182
2063.0,2132.6746
2066.0,2122.7822
2055.0,2119.0996
2056.0,2104.0474
2044.0,2033.9004
2045.0,2029.7574
2027.0,2016.9377
2029.0,2023.0363
2014.0,2014.1128
2016.0,2006.076
2003.0,1993.7649
1991.0,1992.7489
1974.0,1975.991
1969.0,1980.5863
1956.0,1964.3055
1941.0,1949.9277
1916.0,1936.1184
1898.0,1928.4261
1881.0,1915.7347
1874.0,1902.077
1867.0,1894.602
1871.0,1874.6619
1859.0,1859.9233
1860.0,1849.7094
1844.0,1843.5784
1847.0,1845.2968
1828.0,1835.7429
1835.0,1835.255
1819.0,1822.716
1813.0,1823.2216
1797.0,1805.0012
1803.0,1815.0597
1793.0,1802.0973
1793.0,1800.5848
1783.0,1785.8538
1790.0,1794.2931
1780.0,1789.3438
1781.0,1793.6604
1780.0,1783.8685
1786.0,1792.4542
1781.0,1783.1742
1789.0,1785.5885
1785.0,1786.0847
1794.0,1793.946
1789.0,1790.855
1804.0,1802.8295
1801.0,1802.205
1813.0,1812.8873
1807.0,1806.4227
1819.0,1821.768
1827.0,1823.979
1844.0,1838.2422
1843.0,1830.4103
1856.0,1845.7135
1851.0,1857.0585
1861.0,1879.606
1862.0,1880.7759
1877.0,1896.5508
1873.0,1895.7184
1896.0,1906.3365
1899.0,1906.0352
1943.0,1924.0074
1954.0,1922.836
1972.0,1947.4082
1971.0,1954.5848
1986.0,1992.6791
1995.0,2003.5397
2012.0,2021.2045
2015.0,2023.6215
2033.0,2037.6145
2018.0,2044.6084
2037.0,2060.2034
2053.0,2060.8765
2068.0,2078.4143
2072.0,2065.8013
2100.0,2083.1045
2105.0,2097.261
2124.0,2112.855
2127.0,2118.4937
2147.0,2142.769
2144.0,2146.472
2161.0,2156.754
2158.0,2159.4028
2169.0,2174.5098
2166.0,2169.2476
2179.0,2181.8345
2169.0,2175.8083
2179.0,2181.7747
2166.0,2177.748
2178.0,2190.3787
2167.0,2184.3455
2179.0,2184.2976
2167.0,2163.437
2168.0,2178.2224
2163.0,2158.534
2152.0,2166.0688
2106.0,2151.1858
2107.0,2147.211
2082.0,2140.7205
2083.0,2122.3455
2067.0,2074.798
2071.0,2070.2395
2055.0,2046.428
2056.0,2043.3215
2041.0,2024.8021
2043.0,2028.2931
2031.0,2013.5199
2033.0,2015.7205
2015.0,2001.57
2010.0,2003.9421
1987.0,1993.0238
1989.0,1992.9053
1968.0,1978.3884
1973.0,1972.2275
1958.0,1949.5314
1947.0,1953.2584
1914.0,1937.8789
1900.0,1943.8815
1882.0,1933.7123
1878.0,1924.3182
1865.0,1892.4592
1866.0,1875.4397
1850.0,1859.9648
1855.0,1853.2621
1839.0,1840.3187
1843.0,1838.0046
1830.0,1825.2671
1832.0,1829.9242
1814.0,1814.6266
1817.0,1818.5336
1801.0,1810.0547
1807.0,1812.3228
1794.0,1799.6102
1799.0,1801.816
1783.0,1789.4578
1787.0,1796.4452
1778.0,1790.258
1786.0,1799.3105
1776.0,1784.8086
1782.0,1791.0708
1779.0,1784.5566
1785.0,1790.1664
1778.0,1782.5011
1799.0,1790.6968
1785.0,1790.2776
1799.0,1799.1709
1800.0,1792.6859
1817.0,1815.7347
1810.0,1805.6929
1831.0,1818.5892
1829.0,1822.1136
1842.0,1838.2
1844.0,1833.1625
1858.0,1858.2
1853.0,1858.0374
1862.0,1877.7526
1866.0,1881.6108
1874.0,1901.8473
1879.0,1896.3274
1900.0,1909.6249
1910.0,1913.6614
1943.0,1925.4958
1955.0,1933.7908
1970.0,1951.1663
1974.0,1962.9407
1999.0,1993.3865
1999.0,2006.6443
2005.0,2020.2574
2013.0,2026.4191
2026.0,2049.639
2033.0,2048.12
2048.0,2055.2366
2040.0,2059.6428
2056.0,2072.7375
2055.0,2079.0435
2072.0,2093.1138
2070.0,2083.0723
2081.0,2100.8853
2078.0,2096.6077
2105.0,2113.2717
2105.0,2110.0498
2118.0,2120.2537
2119.0,2110.4902
2128.0,2132.544
2125.0,2132.8784
2133.0,2140.3074
2134.0,2141.9165
2141.0,2146.1118
2136.0,2142.3376
2148.0,2146.856
2135.0,2149.2163
2152.0,2149.611
2145.0,2145.8147
2149.0,2153.6191
2137.0,2135.6943
2147.0,2152.8972
2115.0,2145.5813
2101.0,2144.8225
2103.0,2133.6758
2122.0,2133.936
2107.0,2094.6294
2100.0,2075.5037
2093.0,2075.279
2084.0,2093.5654
2060.0,2082.236
2068.0,2076.6707
2048.0,2072.5034
2040.0,2057.0107
2017.0,2031.2754
2012.0,2038.2736
1992.0,2014.657
1994.0,1998.8848
1969.0,1977.4419
1972.0,1972.0092
1951.0,1953.9603
1950.0,1950.114
1915.0,1931.4242
1898.0,1938.9896
1881.0,1916.6154
1876.0,1911.3105
1863.0,1878.7188
1865.0,1860.9025
1852.0,1848.31
1861.0,1845.0111
1844.0,1831.3676
1843.0,1832.429
1832.0,1825.3593
1832.0,1837.4161
1815.0,1821.6366
1816.0,1818.6106
1801.0,1813.3091
1800.0,1812.2439
1793.0,1800.3995
1797.0,1800.8469
1780.0,1790.4447
1788.0,1790.1838
1776.0,1791.6538
1780.0,1796.7031
1774.0,1781.1312
1780.0,1791.6943
1780.0,1780.9098
1787.0,1786.5404
1781.0,1779.5017
1790.0,1786.9904
1786.0,1793.3103
1804.0,1801.1948
1800.0,1795.529
1814.0,1808.8171
1814.0,1805.1714
1834.0,1822.6555
1829.0,1822.5559
1849.0,1836.0238
1845.0,1838.826
1859.0,1865.1185
1861.0,1859.1627
1871.0,1884.0999
1866.0,1883.221
1877.0,1903.1082
1882.0,1905.7535
1906.0,1918.7842
1909.0,1914.0895
1943.0,1928.1891
1952.0,1934.1356
1969.0,1959.4149
1975.0,1963.9333
1992.0,1992.9961
2004.0,2002.6968
2014.0,2018.2936
2007.0,2025.0637
2023.0,2039.2781
2031.0,2053.6768
2039.0,2058.3499
2042.0,2054.6814
2054.0,2068.9219
2060.0,2077.1855
2073.0,2083.4033
2077.0,2086.9421
2104.0,2099.8025
2107.0,2103.8948
2120.0,2114.5
2092.0,2118.4592
2122.0,2139.348
2141.0,2140.0293
2153.0,2149.772
2151.0,2121.1658
2163.0,2146.947
2157.0,2159.0137
2175.0,2173.2104
2172.0,2168.9446
2177.0,2181.4902
2163.0,2169.175
2180.0,2190.156
