True Value,Predicted Value
2190.0,2210.2583
2195.0,2208.4937
2215.0,2221.2073
2223.0,2223.107
2267.0,2234.7075
2268.0,2240.801
2283.0,2260.324
2284.0,2269.8726
2300.0,2315.1794
2309.0,2318.1453
2325.0,2333.3184
2331.0,2330.3047
2349.0,2347.3755
2334.0,2351.204
2352.0,2368.4834
2356.0,2374.7764
2377.0,2393.246
2388.0,2376.2715
2409.0,2388.0188
2414.0,2386.5645
2438.0,2410.58
2440.0,2422.5269
2458.0,2445.8823
2456.0,2450.207
2470.0,2471.128
2471.0,2473.6863
2475.0,2487.3809
2477.0,2485.1619
2485.0,2494.7532
2483.0,2495.2874
2483.0,2495.3726
2477.0,2492.5823
2485.0,2498.905
2477.0,2492.6758
2481.0,2488.8796
2474.0,2478.067
2472.0,2476.0845
2462.0,2465.9768
2463.0,2462.4692
2415.0,2450.189
2404.0,2443.6792
2385.0,2431.3267
2383.0,2424.4062
2373.0,2383.7898
2374.0,2367.2922
2357.0,2348.4346
2362.0,2340.3286
2346.0,2328.8245
2350.0,2325.217
2331.0,2309.9011
2330.0,2309.565
2317.0,2296.869
2312.0,2293.7053
2287.0,2277.758
2293.0,2273.9385
2275.0,2263.1501
2271.0,2257.732
2252.0,2241.2651
2245.0,2246.2305
2206.0,2234.5703
2202.0,2232.6633
2184.0,2221.2605
2187.0,2218.8315
2170.0,2188.083
2170.0,2182.6782
2156.0,2164.8762
2159.0,2165.1926
2144.0,2136.0002
2144.0,2129.6052
2134.0,2117.2825
2134.0,2116.2334
2122.0,2102.1055
2122.0,2103.8523
2105.0,2096.4307
2109.0,2100.4941
2099.0,2092.4956
2107.0,2095.222
2093.0,2081.889
2096.0,2088.751
2087.0,2083.5522
2095.0,2093.6553
2083.0,2083.7754
2091.0,2094.3694
2089.0,2088.9893
2096.0,2104.2083
2092.0,2101.4236
2105.0,2109.4302
2105.0,2107.543
2115.0,2117.2896
2113.0,2116.4714
2126.0,2130.504
2128.0,2131.6907
2142.0,2142.1475
2142.0,2144.1882
2156.0,2156.8958
2154.0,2157.7437
2171.0,2173.2786
2169.0,2174.5867
2179.0,2190.342
2174.0,2190.8557
2193.0,2213.0918
2197.0,2215.7144
2221.0,2226.6816
2236.0,2223.3804
2264.0,2240.6453
2268.0,2243.1162
2283.0,2267.0706
2291.0,2281.0325
2312.0,2311.1812
2306.0,2310.9604
2320.0,2327.271
2327.0,2333.5452
2343.0,2353.7607
2350.0,2348.9622
2358.0,2363.96
2351.0,2366.1543
2367.0,2380.9832
2366.0,2388.0576
2384.0,2397.594
2383.0,2387.5178
2393.0,2401.3677
2409.0,2397.3574
2420.0,2413.4534
2418.0,2407.9536
2429.0,2416.2993
2427.0,2428.1064
2444.0,2440.165
2438.0,2438.5654
2443.0,2447.6313
2445.0,2441.5442
2449.0,2455.9036
2446.0,2450.6218
