True Value,Predicted Value
5567.0,2558.3584
5548.0,2557.9976
5540.0,2557.5706
5527.0,2556.9656
5521.0,2556.558
5506.0,2556.5088
5490.0,2556.4126
5483.0,2556.371
5464.0,2556.3376
5451.0,2555.89
5435.0,2555.5657
5411.0,2555.112
5369.0,2554.4126
5299.0,2553.9521
5273.0,2553.6162
5248.0,2553.3538
5215.0,2553.3774
5177.0,2552.779
5153.0,2553.131
5119.0,2553.3257
5077.0,2553.4163
5057.0,2553.3994
5041.0,2553.2878
5011.0,2553.3596
4977.0,2553.4211
4944.0,2553.4285
4910.0,2553.4333
4905.0,2553.4353
4881.0,2553.4167
4843.0,2553.3867
4841.0,2553.339
4821.0,2553.3691
4829.0,2553.332
4820.0,2553.2866
4808.0,2553.3164
4815.0,2553.2747
4813.0,2553.2368
4819.0,2553.1575
4824.0,2553.0977
4898.0,2553.5725
4903.0,2553.6284
4940.0,2553.776
4968.0,2553.514
4976.0,2553.7012
5007.0,2554.0024
5020.0,2554.38
5053.0,2554.6719
5058.0,2554.7976
5099.0,2555.1526
5129.0,2555.326
5155.0,2556.3396
5155.0,2557.4827
5183.0,2557.7034
5220.0,2557.9297
5223.0,2558.2588
5244.0,2558.3474
5272.0,2558.4646
5314.0,2558.67
5372.0,2558.6885
5434.0,2558.6433
5447.0,2558.7698
5471.0,2558.915
5476.0,2558.9949
5489.0,2559.1626
5481.0,2559.1943
5492.0,2559.2493
5500.0,2559.246
5515.0,2559.0212
5538.0,2559.1028
5543.0,2558.9749
5567.0,2558.992
5579.0,2558.9473
5595.0,2558.6013
5608.0,2558.6758
5632.0,2558.5457
5639.0,2558.6501
5643.0,2558.567
5649.0,2558.5015
5653.0,2558.4688
5655.0,2558.478
5624.0,2558.401
5612.0,2558.2883
5594.0,2558.3787
5582.0,2558.4565
5564.0,2558.367
5548.0,2557.908
5525.0,2557.3044
5513.0,2556.7253
5496.0,2556.4028
5488.0,2556.1912
5480.0,2556.3667
5469.0,2556.3647
5456.0,2556.2498
5435.0,2556.015
5428.0,2555.7656
5395.0,2555.4438
5300.0,2555.078
5274.0,2554.1973
5229.0,2553.8325
5206.0,2553.6318
5190.0,2552.993
5161.0,2552.576
5129.0,2552.5032
5094.0,2552.6174
5061.0,2553.0947
5039.0,2553.3667
5006.0,2553.342
5000.0,2553.393
4990.0,2553.4236
4989.0,2553.4285
4962.0,2553.4287
4940.0,2553.4287
4903.0,2553.4202
4888.0,2553.3215
4875.0,2553.376
4867.0,2553.3389
4866.0,2553.317
4864.0,2553.3035
4862.0,2553.305
4864.0,2553.656
4873.0,2553.6885
4878.0,2553.7725
4907.0,2553.7656
4909.0,2553.7554
4942.0,2553.8345
4964.0,2553.8718
4981.0,2553.5496
5002.0,2553.8076
5009.0,2554.1143
5044.0,2554.351
5051.0,2554.5818
5071.0,2554.8403
5106.0,2554.997
5109.0,2556.331
5107.0,2557.0996
5136.0,2557.3738
5158.0,2557.5317
5190.0,2557.7822
5221.0,2557.9956
5280.0,2558.1255
5301.0,2558.261
5318.0,2558.3467
5434.0,2558.425
5430.0,2558.5864
5448.0,2558.631
5455.0,2558.7417
5469.0,2559.0115
5495.0,2559.0242
5490.0,2559.0325
5517.0,2559.0542
5526.0,2558.9575
5539.0,2559.0188
5561.0,2558.9783
5591.0,2558.8635
5596.0,2558.8345
5604.0,2558.7554
5622.0,2558.7927
5633.0,2558.7441
5636.0,2558.747
5637.0,2558.688
5628.0,2558.5686
5624.0,2558.6396
5639.0,2558.643
5625.0,2558.6052
5604.0,2558.826
5592.0,2558.6533
5570.0,2558.4863
5559.0,2558.1653
5535.0,2557.8726
5542.0,2557.4802
5519.0,2556.645
5506.0,2556.623
5492.0,2556.5303
5481.0,2556.4517
5468.0,2556.4373
5432.0,2556.184
5384.0,2555.7112
5316.0,2554.8645
5298.0,2554.3013
5279.0,2553.896
5258.0,2553.463
5230.0,2552.958
5215.0,2552.9055
5173.0,2553.1792
5131.0,2552.7644
5095.0,2553.4124
5045.0,2553.512
5022.0,2553.4092
5005.0,2553.176
4988.0,2553.0974
4960.0,2553.4292
4923.0,2553.4292
4893.0,2553.437
4866.0,2553.4211
4867.0,2553.4
4846.0,2553.3374
4824.0,2553.1758
4843.0,2553.2964
4850.0,2553.3137
4834.0,2553.2842
4810.0,2553.2683
4788.0,2553.1719
4788.0,2553.4922
4802.0,2553.5352
4835.0,2553.5505
4923.0,2553.6182
4953.0,2553.7134
4963.0,2553.7415
4982.0,2553.889
5000.0,2554.042
5011.0,2554.3452
5035.0,2554.5967
5055.0,2554.8174
5084.0,2554.9673
5108.0,2555.2134
5138.0,2556.387
5179.0,2557.4102
5227.0,2557.6655
5266.0,2557.87
5279.0,2558.077
5304.0,2558.39
5331.0,2558.534
5418.0,2558.707
5454.0,2558.838
5476.0,2558.9192
5488.0,2558.9077
5510.0,2559.1443
5509.0,2559.3044
5531.0,2559.4026
5543.0,2559.418
5556.0,2559.4602
5570.0,2559.4028
5593.0,2559.3142
5606.0,2559.0693
5616.0,2558.9976
5644.0,2558.9846
5665.0,2558.9688
5664.0,2558.906
5666.0,2558.9097
5669.0,2558.8992
5672.0,2558.8726
5675.0,2558.7915
5678.0,2558.745
5665.0,2558.753
5665.0,2558.6704
5660.0,2558.5776
5635.0,2558.4175
5621.0,2558.3389
5605.0,2558.1965
5586.0,2557.949
5569.0,2557.465
5564.0,2557.0874
5527.0,2556.6543
5525.0,2556.468
5519.0,2556.1282
5495.0,2555.6519
5484.0,2554.781
5472.0,2554.6396
5457.0,2554.5723
5409.0,2554.4612
5323.0,2553.9324
5313.0,2553.8809
5251.0,2553.7368
5240.0,2553.5063
5205.0,2553.0208
5162.0,2552.9504
5131.0,2553.1865
5120.0,2553.339
5096.0,2553.36
5081.0,2553.3342
5040.0,2553.3455
5028.0,2553.3992
4992.0,2553.4111
5029.0,2553.4001
4997.0,2553.4119
4984.0,2553.4077
4950.0,2553.3882
4926.0,2553.3655
4908.0,2553.263
4893.0,2553.2246
4892.0,2553.336
4880.0,2553.3455
4869.0,2553.2976
4839.0,2553.3362
4845.0,2553.6577
4849.0,2553.7349
4870.0,2553.7158
4879.0,2553.7502
4891.0,2553.8767
4910.0,2553.8757
4953.0,2553.9043
4973.0,2553.907
4994.0,2553.6228
5010.0,2553.8916
5039.0,2554.2476
5082.0,2554.4731
5099.0,2554.73
5136.0,2554.9597
5153.0,2556.4487
5176.0,2557.0305
5224.0,2557.405
5236.0,2557.7197
5272.0,2557.8062
5291.0,2557.8848
5322.0,2558.2883
5381.0,2558.3782
5466.0,2558.601
5475.0,2558.6423
5496.0,2558.7527
5517.0,2558.9443
5510.0,2559.2122
5525.0,2559.198
5543.0,2559.2485
5562.0,2559.295
5565.0,2559.262
5583.0,2559.1833
5599.0,2559.1711
5624.0,2559.1104
5647.0,2559.0178
5635.0,2558.9675
5640.0,2558.9275
5643.0,2558.9285
5653.0,2558.8838
5667.0,2558.8047
5669.0,2558.7966
5661.0,2558.78
5661.0,2558.736
5659.0,2558.708
5649.0,2558.5588
5635.0,2558.505
5613.0,2558.3928
5613.0,2558.1711
5580.0,2557.8655
5570.0,2557.614
5555.0,2557.0396
5533.0,2556.8003
5527.0,2556.4192
5515.0,2556.3489
5516.0,2556.1433
5495.0,2556.0315
5478.0,2555.8003
5458.0,2555.3513
5416.0,2555.0933
5339.0,2554.5078
5298.0,2553.876
5290.0,2553.6462
5257.0,2553.2703
5239.0,2552.812
5205.0,2552.9204
5158.0,2553.079
5129.0,2553.3652
5102.0,2553.5073
5090.0,2553.3088
5049.0,2553.3425
5015.0,2553.3733
4978.0,2553.3894
4976.0,2553.4053
4950.0,2553.4004
4940.0,2553.4338
4909.0,2553.39
4866.0,2553.4128
4854.0,2553.389
4857.0,2553.3743
4853.0,2553.314
4843.0,2553.2744
4842.0,2553.2788
4840.0,2553.2747
4841.0,2553.1702
4865.0,2553.1594
4935.0,2553.591
4949.0,2553.657
4968.0,2553.7427
4991.0,2553.7588
4995.0,2553.6687
5022.0,2554.038
5050.0,2554.2888
5090.0,2554.6167
5095.0,2554.6736
5117.0,2554.9883
5135.0,2555.2537
5168.0,2556.6655
5193.0,2557.3508
5223.0,2557.6675
5256.0,2557.8489
5253.0,2557.9702
5278.0,2558.2744
5299.0,2558.4597
5311.0,2558.6108
5371.0,2558.7004
5437.0,2558.6033
5470.0,2558.7039
5480.0,2558.8062
5504.0,2558.8562
5510.0,2559.0627
5525.0,2559.1475
5530.0,2559.193
5544.0,2559.1611
5557.0,2558.9673
5568.0,2558.9534
5591.0,2558.894
5600.0,2558.8284
5613.0,2558.8428
5624.0,2558.7673
5639.0,2558.7214
5658.0,2558.604
5671.0,2558.63
5668.0,2558.5803
5671.0,2558.552
5685.0,2558.4902
5690.0,2558.4324
5675.0,2558.3625
5660.0,2558.3098
5636.0,2558.3262
5626.0,2558.3472
5610.0,2558.363
5598.0,2558.0913
5576.0,2557.4636
5565.0,2556.9128
5538.0,2556.4375
5522.0,2556.3103
5515.0,2556.6353
5520.0,2556.635
5489.0,2556.2126
5483.0,2556.0122
5463.0,2555.8447
5441.0,2555.7542
5387.0,2555.3384
5311.0,2554.8477
5293.0,2554.4832
5255.0,2553.9573
5238.0,2553.192
5220.0,2552.7896
5188.0,2552.5479
5137.0,2552.5361
5127.0,2552.647
5088.0,2552.8367
5068.0,2553.1003
5032.0,2553.3635
4999.0,2553.375
5007.0,2553.3967
4997.0,2553.4148
4975.0,2553.418
4956.0,2553.416
4942.0,2553.4001
4918.0,2553.3308
4898.0,2553.3752
4890.0,2553.3123
4889.0,2553.3728
4887.0,2553.073
4883.0,2553.2773
4894.0,2553.6343
4907.0,2553.653
4933.0,2553.7356
4944.0,2553.7847
4952.0,2553.838
4988.0,2553.896
5001.0,2553.5999
5039.0,2553.7356
5041.0,2553.893
5066.0,2554.2412
5096.0,2554.4438
5103.0,2554.859
5138.0,2554.9233
5133.0,2555.2292
5156.0,2556.7278
5154.0,2557.4133
5193.0,2557.5415
5225.0,2557.6318
5239.0,2557.8572
5290.0,2558.0193
5311.0,2558.2002
5366.0,2558.3462
5402.0,2558.3438
5459.0,2558.4917
5481.0,2558.585
5491.0,2558.6873
5517.0,2558.8474
5524.0,2558.9763
5530.0,2559.017
5536.0,2559.02
5556.0,2559.0007
5585.0,2558.9521
5587.0,2558.9446
5610.0,2558.8413
5617.0,2558.8328
5643.0,2558.7766
5657.0,2558.7793
5670.0,2558.7217
5663.0,2558.6255
5667.0,2558.6948
5668.0,2558.6116
5661.0,2558.6365
