True Value,Predicted Value
1864.0,1858.2937
1870.0,1852.6364
1857.0,1848.237
1855.0,1851.9177
1842.0,1846.1494
1845.0,1847.0132
1827.0,1842.1213
1833.0,1841.0243
1822.0,1835.725
1820.0,1835.9486
1811.0,1828.289
1815.0,1827.7657
1803.0,1823.1835
1817.0,1822.7778
1812.0,1818.1743
1817.0,1818.6141
1808.0,1814.0668
1824.0,1818.3787
1821.0,1820.3944
1826.0,1825.5459
1819.0,1825.1069
1825.0,1832.867
1821.0,1836.4434
1841.0,1842.4626
1838.0,1843.5792
1856.0,1846.3634
1849.0,1846.9683
1871.0,1858.1053
1869.0,1863.9135
1880.0,1875.6692
1874.0,1881.0323
1890.0,1894.1156
1890.0,1901.7803
1904.0,1911.5725
1901.0,1913.5375
1930.0,1920.9318
1939.0,1926.18
1976.0,1936.6842
1976.0,1940.7213
1990.0,1956.6956
1992.0,1972.8868
2004.0,2003.571
2012.0,2023.0002
2025.0,2037.5614
2021.0,2044.7712
2046.0,2051.0461
2041.0,2057.4932
2043.0,2063.3865
2044.0,2062.455
2076.0,2073.3748
2078.0,2074.4312
2101.0,2073.0896
2109.0,2070.7932
2126.0,2085.8792
2131.0,2096.6975
2149.0,2115.054
2147.0,2130.1228
2163.0,2149.003
2156.0,2161.7214
2169.0,2177.5344
2155.0,2184.0398
2172.0,2192.2751
2171.0,2188.9377
2172.0,2191.1687
2173.0,2180.0469
2178.0,2178.6455
2164.0,2175.5103
2170.0,2173.213
2162.0,2168.512
2168.0,2168.1453
2157.0,2158.4138
2154.0,2155.3115
2103.0,2147.4934
2105.0,2147.7207
2088.0,2140.4175
2093.0,2134.5044
2077.0,2098.1836
2075.0,2076.5312
2063.0,2056.2253
2062.0,2049.4905
2046.0,2037.5837
2051.0,2030.3711
2040.0,2021.9354
2040.0,2017.1309
2034.0,2006.7013
2034.0,2006.1917
2006.0,2003.2769
2011.0,2004.0574
1993.0,2004.775
1992.0,2009.3462
1979.0,1995.7537
1971.0,1992.39
1941.0,1982.4956
1935.0,1978.5244
1909.0,1969.8212
1904.0,1960.3613
1888.0,1937.9246
1891.0,1921.7067
1875.0,1899.1737
1879.0,1884.2771
1870.0,1867.8937
1868.0,1862.3325
1856.0,1852.3517
1855.0,1850.1919
1839.0,1846.5874
1838.0,1846.1493
1831.0,1840.3352
1832.0,1839.7424
1818.0,1832.4316
1822.0,1829.2834
1811.0,1825.9948
1813.0,1826.3043
1801.0,1820.5856
1808.0,1819.9432
1804.0,1815.2155
1812.0,1816.3682
1803.0,1811.3168
1818.0,1812.5048
1814.0,1812.56
1826.0,1817.6707
1820.0,1817.5735
1839.0,1825.6029
1824.0,1829.4852
1846.0,1839.7031
1841.0,1842.6324
1855.0,1853.7218
1856.0,1854.1154
1870.0,1864.7007
1868.0,1868.6229
1876.0,1878.9465
1876.0,1886.3828
1892.0,1897.5225
1889.0,1902.799
1905.0,1910.297
1909.0,1913.2399
1935.0,1922.6172
1934.0,1927.3152
1967.0,1936.1586
1971.0,1943.5565
1992.0,1961.5992
1991.0,1971.9473
2010.0,1994.5541
2017.0,2011.395
2031.0,2032.4983
2027.0,2041.0182
2042.0,2054.0374
2042.0,2063.7375
2056.0,2072.9038
2046.0,2073.1533
2061.0,2076.5898
2062.0,2077.4238
2073.0,2081.9473
2076.0,2076.1614
2088.0,2077.952
2090.0,2079.098
2113.0,2084.3442
2114.0,2087.6555
2124.0,2096.5432
2121.0,2102.1396
2135.0,2118.5696
2138.0,2129.308
2146.0,2142.68
2140.0,2144.8877
2154.0,2154.104
2141.0,2159.8435
2154.0,2166.0266
2148.0,2164.7378
2151.0,2167.8882
2149.0,2160.4353
2161.0,2161.8025
2151.0,2157.287
2134.0,2153.634
2109.0,2149.6746
2106.0,2154.529
2108.0,2151.4067
2137.0,2135.915
