True Value,Predicted Value
1864.0,1862.5494
1870.0,1855.388
1857.0,1850.3726
1855.0,1851.4883
1842.0,1846.0925
1845.0,1843.7286
1827.0,1837.8292
1833.0,1834.1041
1822.0,1828.0364
1820.0,1826.2196
1811.0,1819.6204
1815.0,1817.8809
1803.0,1814.3655
1817.0,1813.9403
1812.0,1811.0403
1817.0,1811.6759
1808.0,1809.1483
1824.0,1813.1029
1821.0,1816.5261
1826.0,1822.2084
1819.0,1823.7885
1825.0,1831.4896
1821.0,1837.347
1841.0,1844.9684
1838.0,1849.0975
1856.0,1853.9263
1849.0,1857.3002
1871.0,1869.2725
1869.0,1877.9623
1880.0,1890.2677
1874.0,1897.3655
1890.0,1909.8698
1890.0,1918.6871
1904.0,1928.4946
1901.0,1931.8423
1930.0,1939.1057
1939.0,1945.8287
1976.0,1956.9463
1976.0,1962.7517
1990.0,1977.5844
1992.0,1993.9237
2004.0,2021.9779
2012.0,2040.805
2025.0,2052.124
2021.0,2056.6074
2046.0,2061.566
2041.0,2069.9443
2043.0,2080.0234
2044.0,2084.4546
2076.0,2097.1663
2078.0,2102.293
2101.0,2102.0994
2109.0,2099.6594
2126.0,2112.0115
2131.0,2124.358
2149.0,2141.1897
2147.0,2154.2107
2163.0,2167.9358
2156.0,2176.2947
2169.0,2186.8997
2155.0,2191.7664
2172.0,2198.4788
2171.0,2197.2405
2172.0,2199.9067
2173.0,2192.723
2178.0,2191.5547
2164.0,2190.6301
2170.0,2190.213
2162.0,2186.218
2168.0,2183.4736
2157.0,2172.1638
2154.0,2163.748
2103.0,2152.842
2105.0,2149.127
2088.0,2141.4814
2093.0,2134.6606
2077.0,2101.813
2075.0,2073.6013
2063.0,2050.1616
2062.0,2042.7291
2046.0,2036.1364
2051.0,2032.2731
2040.0,2026.2828
2040.0,2021.6748
2034.0,2012.4368
2034.0,2010.1063
2006.0,2008.0264
2011.0,2009.0106
1993.0,2010.2848
1992.0,2014.3147
1979.0,2003.4341
1971.0,1996.4617
1941.0,1985.7837
1935.0,1979.824
1909.0,1971.8788
1904.0,1962.6438
1888.0,1942.1337
1891.0,1923.9117
1875.0,1902.2446
1879.0,1886.6625
1870.0,1871.8668
1868.0,1865.2686
1856.0,1856.4727
1855.0,1852.334
1839.0,1847.6818
1838.0,1844.8563
1831.0,1838.0402
1832.0,1834.4161
1818.0,1826.6434
1822.0,1821.5284
1811.0,1817.3894
1813.0,1816.5315
1801.0,1811.7943
1808.0,1810.3663
1804.0,1806.7646
1812.0,1807.5599
1803.0,1804.6237
1818.0,1805.9797
1814.0,1807.5162
1826.0,1813.1561
1820.0,1815.3911
1839.0,1823.5547
1824.0,1829.7301
1846.0,1840.734
1841.0,1846.721
1855.0,1858.5604
1856.0,1862.6047
1870.0,1873.7711
1868.0,1880.7141
1876.0,1892.0924
1876.0,1901.6309
1892.0,1913.571
1889.0,1920.6089
1905.0,1928.4547
1909.0,1932.7046
1935.0,1942.2192
1934.0,1948.6456
1967.0,1957.7024
1971.0,1965.7886
1992.0,1982.6461
1991.0,1993.6869
2010.0,2013.4448
2017.0,2029.3883
2031.0,2047.7122
2027.0,2055.6023
2042.0,2066.2961
2042.0,2076.6953
2056.0,2087.6755
2046.0,2091.6743
2061.0,2097.1233
2062.0,2101.2534
2073.0,2107.9612
2076.0,2105.8823
2088.0,2107.2107
2090.0,2108.639
2113.0,2112.9924
2114.0,2115.5718
2124.0,2121.4434
2121.0,2124.7385
2135.0,2136.4207
2138.0,2145.667
2146.0,2156.5137
2140.0,2158.1052
2154.0,2163.8057
2141.0,2169.0513
2154.0,2176.1008
2148.0,2177.125
2151.0,2180.3027
2149.0,2174.6362
2161.0,2174.2764
2151.0,2170.4878
2134.0,2166.5166
2109.0,2161.8203
2106.0,2164.544
2108.0,2162.2642
2137.0,2146.8542
2134.0,2115.6428
2127.0,2089.9485
2111.0,2077.0012
2117.0,2091.3591
2083.0,2109.9536
2089.0,2118.9841
2069.0,2110.9607
2067.0,2104.7148
2044.0,2084.753
2026.0,2072.4187
2006.0,2059.3909
1995.0,2050.423
1986.0,2034.6335
1988.0,2012.9039
1967.0,1986.5631
1971.0,1964.4038
1961.0,1949.126
1963.0,1943.9762
1947.0,1934.4257
1953.0,1930.0355
1945.0,1925.1781
1940.0,1924.2673
1921.0,1918.3678
1925.0,1918.9933
1914.0,1920.0436
1913.0,1919.3284
1901.0,1911.2831
1908.0,1908.7308
1898.0,1904.8593
1904.0,1903.404
1897.0,1898.6581
1906.0,1899.8596
1897.0,1898.5057
1907.0,1900.972
1901.0,1901.122
1912.0,1905.7538
1901.0,1907.5116
1919.0,1911.9353
1912.0,1914.233
1917.0,1920.5332
1921.0,1922.0143
1937.0,1931.2416
1934.0,1937.4653
1951.0,1943.304
1954.0,1949.9996
1965.0,1963.39
1960.0,1972.6854
1973.0,1985.8339
1971.0,1996.7539
1985.0,2008.7738
1988.0,2014.5485
2002.0,2021.5072
2010.0,2025.6499
2039.0,2034.2023
2054.0,2040.6876
2068.0,2051.8198
2070.0,2062.8591
2081.0,2083.532
2082.0,2106.6536
2105.0,2126.4949
2107.0,2134.1604
2127.0,2138.147
2128.0,2138.4202
2138.0,2148.9167
2133.0,2157.6394
2144.0,2173.207
2148.0,2181.6907
2175.0,2185.9143
2193.0,2180.7395
2210.0,2178.7144
2212.0,2177.4827
2233.0,2190.0217
2232.0,2210.701
2244.0,2234.1711
2239.0,2246.1033
2257.0,2257.2554
2255.0,2262.6726
2265.0,2269.6719
2263.0,2271.6125
2275.0,2279.9397
2264.0,2285.3257
2266.0,2291.833
2260.0,2292.0051
2270.0,2294.6055
2252.0,2288.9302
2255.0,2281.2048
2248.0,2270.0203
2256.0,2266.4824
2240.0,2254.5388
2246.0,2241.9583
2232.0,2229.4014
2186.0,2223.2231
2179.0,2213.389
2172.0,2209.9866
2163.0,2202.9763
2165.0,2174.999
2144.0,2147.2217
2144.0,2128.0361
2135.0,2118.1685
2138.0,2117.904
2122.0,2110.8198
2126.0,2105.214
2116.0,2099.7524
2107.0,2099.8616
2091.0,2095.2363
2088.0,2096.0474
2075.0,2094.4495
2078.0,2090.0784
2050.0,2079.8523
2042.0,2072.2363
2019.0,2064.1672
2009.0,2062.011
1984.0,2048.6936
1984.0,2033.9045
1970.0,2011.1584
1973.0,1990.8711
1958.0,1967.0137
1966.0,1951.7123
1947.0,1938.6532
1954.0,1934.0902
1935.0,1926.0372
1941.0,1925.2979
1925.0,1919.7141
1926.0,1919.1362
1915.0,1912.9467
1913.0,1913.9092
1906.0,1910.3223
1904.0,1908.0469
1889.0,1903.3796
1898.0,1900.8871
1893.0,1897.9039
1900.0,1896.9882
1894.0,1890.9543
1902.0,1891.7207
1901.0,1892.2332
1911.0,1896.8796
1904.0,1900.3503
1915.0,1906.1649
1916.0,1909.9026
1924.0,1917.703
1928.0,1921.6671
1938.0,1929.5629
1944.0,1937.1414
1952.0,1947.0707
1953.0,1957.151
1965.0,1967.666
1963.0,1979.5381
1973.0,1992.3612
1971.0,2000.5918
1993.0,2010.2079
1990.0,2016.4478
2003.0,2022.9979
2016.0,2026.1874
2030.0,2036.9285
2047.0,2045.7096
2065.0,2055.3103
2070.0,2067.4617
2090.0,2080.7295
2089.0,2096.385
2117.0,2116.1924
2113.0,2129.5269
2132.0,2142.6833
2125.0,2148.1099
2137.0,2162.2495
2133.0,2170.6702
2144.0,2181.0159
2142.0,2181.402
2157.0,2181.8755
2157.0,2176.9875
2173.0,2175.8599
2172.0,2173.217
2190.0,2175.7065
2196.0,2177.2104
2212.0,2183.7834
2208.0,2187.7622
2225.0,2196.3254
2224.0,2205.1047
2230.0,2219.1648
2223.0,2226.777
2244.0,2239.0046
2238.0,2248.6606
2241.0,2255.7546
2239.0,2254.9702
2245.0,2263.6938
2236.0,2267.3416
2253.0,2269.5771
2245.0,2267.4194
2245.0,2265.5134
2225.0,2255.8018
2211.0,2255.316
2195.0,2250.584
2215.0,2246.1826
2225.0,2229.3618
2213.0,2206.5806
2200.0,2179.746
2191.0,2172.9944
2182.0,2181.673
2175.0,2188.0261
2161.0,2182.887
2155.0,2172.4312
2132.0,2160.4775
2133.0,2150.205
2107.0,2139.6226
2105.0,2130.6257
2093.0,2115.1917
2090.0,2104.474
2075.0,2087.7844
2071.0,2075.929
2058.0,2064.2224
2044.0,2057.5688
2002.0,2049.0354
2001.0,2041.4302
1985.0,2031.8452
1986.0,2019.4799
1977.0,1991.5234
1973.0,1970.4791
1965.0,1952.2538
1966.0,1944.3986
1953.0,1940.1558
1951.0,1937.902
1942.0,1933.0388
1937.0,1931.5222
1926.0,1926.6484
1924.0,1923.9042
1913.0,1919.5802
1917.0,1915.8137
1909.0,1909.428
1912.0,1906.485
1900.0,1902.0657
1898.0,1902.43
1890.0,1902.0663
1902.0,1904.2537
1891.0,1901.3577
1907.0,1897.8633
1899.0,1894.189
1910.0,1897.9005
1903.0,1898.3678
1921.0,1906.5516
1909.0,1910.547
1922.0,1917.2726
1920.0,1919.8236
1939.0,1930.204
1938.0,1935.2242
1954.0,1944.1918
1947.0,1950.3391
1964.0,1963.4108
1962.0,1974.4022
1971.0,1989.1761
1972.0,1996.5577
1982.0,2006.687
1985.0,2013.499
2000.0,2020.3608
2007.0,2025.2415
2029.0,2031.969
