True Value,Predicted Value
1864.0,1858.5906
1870.0,1848.2579
1857.0,1842.1012
1855.0,1846.2124
1842.0,1849.4884
1845.0,1850.8652
1827.0,1839.6794
1833.0,1836.0516
1822.0,1832.1821
1820.0,1827.9698
1811.0,1825.2188
1815.0,1819.6381
1803.0,1817.8643
1817.0,1816.5981
1812.0,1815.4414
1817.0,1813.2476
1808.0,1813.6404
1824.0,1812.8578
1821.0,1818.6917
1826.0,1824.9575
1819.0,1830.2817
1825.0,1832.7168
1821.0,1840.8187
1841.0,1847.1569
1838.0,1852.456
1856.0,1854.3024
1849.0,1856.6963
1871.0,1861.111
1869.0,1873.6323
1880.0,1883.6798
1874.0,1894.6174
1890.0,1902.9768
1890.0,1914.9583
1904.0,1924.5945
1901.0,1931.1554
1930.0,1934.8386
1939.0,1940.9702
1976.0,1949.2977
1976.0,1957.6384
1990.0,1965.3412
1992.0,1979.134
2004.0,2001.2064
2012.0,2026.8876
2025.0,2044.4224
2021.0,2051.1355
2046.0,2060.9775
2041.0,2066.9832
2043.0,2077.2166
2044.0,2081.3118
2076.0,2084.941
2078.0,2092.0566
2101.0,2099.4792
2109.0,2093.7517
2126.0,2099.1687
2131.0,2109.2285
2149.0,2125.7046
2147.0,2136.6533
2163.0,2151.3752
2156.0,2157.815
2169.0,2170.5923
2155.0,2177.5398
2172.0,2185.037
2171.0,2182.035
2172.0,2189.3801
2173.0,2188.8555
2178.0,2196.788
2164.0,2191.1287
2170.0,2191.8403
2162.0,2186.3877
2168.0,2183.0913
2157.0,2180.8281
2154.0,2170.1023
2103.0,2156.617
2105.0,2157.4792
2088.0,2143.2087
2093.0,2129.8867
2077.0,2108.0842
2075.0,2077.1787
2063.0,2044.2084
2062.0,2033.3646
2046.0,2024.8638
2051.0,2021.6885
2040.0,2014.4639
2040.0,2014.1838
2034.0,2006.3596
2034.0,2003.6869
2006.0,1996.8673
2011.0,2001.1943
1993.0,1994.5211
1992.0,2002.0743
1979.0,2001.3613
1971.0,1989.2317
1941.0,1981.4948
1935.0,1976.2805
1909.0,1967.2549
1904.0,1962.8002
1888.0,1949.3099
1891.0,1931.7256
1875.0,1912.8556
1879.0,1895.341
1870.0,1870.2373
1868.0,1859.7349
1856.0,1851.6655
1855.0,1847.2084
1839.0,1843.3296
1838.0,1842.5332
1831.0,1840.1311
1832.0,1835.2913
1818.0,1830.3799
1822.0,1824.3209
1811.0,1819.0781
1813.0,1817.4861
1801.0,1817.3231
1808.0,1813.85
1804.0,1810.9673
1812.0,1809.4062
1803.0,1809.7916
1818.0,1807.9226
1814.0,1810.0228
1826.0,1814.1466
1820.0,1820.3038
1839.0,1823.9838
1824.0,1832.7732
1846.0,1840.6354
1841.0,1850.6097
1855.0,1856.8256
1856.0,1866.1702
1870.0,1869.9473
1868.0,1879.7097
1876.0,1887.4869
1876.0,1897.8403
1892.0,1908.1877
1889.0,1918.2056
1905.0,1924.4854
1909.0,1930.5415
1935.0,1935.9926
1934.0,1943.7948
1967.0,1951.0492
1971.0,1958.2517
1992.0,1969.4436
1991.0,1983.5319
2010.0,1997.302
2017.0,2015.4642
2031.0,2033.9153
2027.0,2047.0018
2042.0,2058.74
2042.0,2068.409
2056.0,2082.907
2046.0,2087.6204
2061.0,2094.9426
2062.0,2093.2532
2073.0,2102.7605
2076.0,2101.8447
2088.0,2102.5132
2090.0,2102.0251
2113.0,2107.136
2114.0,2107.333
2124.0,2111.2986
2121.0,2112.7827
2135.0,2121.124
2138.0,2128.1357
2146.0,2138.147
2140.0,2141.804
2154.0,2150.0818
2141.0,2150.0774
2154.0,2166.1292
2148.0,2167.2788
2151.0,2174.3916
2149.0,2168.3918
2161.0,2170.5225
2151.0,2170.5786
2134.0,2170.216
2109.0,2160.6123
2106.0,2162.2444
2108.0,2164.0586
2137.0,2159.744
2134.0,2127.8857
2127.0,2100.553
2111.0,2078.186
2117.0,2077.6077
2083.0,2093.6858
2089.0,2109.6006
2069.0,2103.7263
2067.0,2100.7808
2044.0,2090.5955
2026.0,2074.505
2006.0,2054.7449
1995.0,2047.6931
1986.0,2033.4031
1988.0,2015.7831
1967.0,1989.068
1971.0,1967.5118
1961.0,1944.0925
1963.0,1939.9144
1947.0,1933.2708
1953.0,1926.0378
1945.0,1923.2473
1940.0,1926.3522
1921.0,1924.5095
1925.0,1916.1729
1914.0,1911.6581
1913.0,1912.595
1901.0,1908.6302
1908.0,1906.6188
1898.0,1905.2565
1904.0,1902.8611
1897.0,1899.1058
1906.0,1897.8092
1897.0,1896.929
1907.0,1899.5221
1901.0,1902.5497
1912.0,1906.2986
1901.0,1911.5608
1919.0,1914.4165
1912.0,1917.9303
1917.0,1921.2294
1921.0,1926.8344
1937.0,1930.561
1934.0,1937.996
1951.0,1944.6226
1954.0,1948.4247
