True Value,Predicted Value
1864.0,1847.2976
1870.0,1847.7704
1857.0,1845.9976
1855.0,1854.3618
1842.0,1841.0052
1845.0,1841.6735
1827.0,1826.4673
1833.0,1824.6896
1822.0,1817.2444
1820.0,1821.3925
1811.0,1809.1653
1815.0,1814.0519
1803.0,1806.1903
1817.0,1809.4741
1812.0,1803.4664
1817.0,1808.6476
1808.0,1801.964
1824.0,1810.188
1821.0,1812.0115
1826.0,1821.2704
1819.0,1822.6919
1825.0,1833.727
1821.0,1836.422
1841.0,1844.0852
1838.0,1846.231
1856.0,1851.9047
1849.0,1853.1198
1871.0,1864.0314
1869.0,1865.0902
1880.0,1874.2029
1874.0,1875.8173
1890.0,1887.7648
1890.0,1891.295
1904.0,1899.3995
1901.0,1901.9132
1930.0,1914.7731
1939.0,1934.1823
1976.0,1966.0182
1976.0,1977.5195
1990.0,1991.7875
1992.0,1998.5211
2004.0,2020.6742
2012.0,2026.1083
2025.0,2035.9966
2021.0,2041.0781
2046.0,2052.1426
2041.0,2061.566
2043.0,2070.7048
2044.0,2073.0972
2076.0,2091.5269
2078.0,2090.7659
2101.0,2096.9775
2109.0,2099.2097
2126.0,2121.9243
2131.0,2126.1013
2149.0,2144.2468
2147.0,2148.9402
2163.0,2161.6514
2156.0,2161.641
2169.0,2175.2947
2155.0,2172.7048
2172.0,2182.501
2171.0,2171.1462
2172.0,2182.8528
2173.0,2164.1868
2178.0,2169.1133
2164.0,2163.0762
2170.0,2163.0466
2162.0,2158.299
2168.0,2162.456
2157.0,2138.49
2154.0,2140.4558
2103.0,2132.3154
2105.0,2132.0273
2088.0,2126.7183
2093.0,2127.4456
2077.0,2082.9375
2075.0,2073.1052
2063.0,2053.1333
2062.0,2053.523
2046.0,2038.4249
2051.0,2033.4247
2040.0,2031.6042
2040.0,2031.0562
2034.0,2014.1703
2034.0,2013.3423
2006.0,2003.0767
2011.0,2002.5638
1993.0,2003.9338
1992.0,2015.0939
1979.0,1989.8146
1971.0,1993.822
1941.0,1964.4755
1935.0,1968.011
1909.0,1948.936
1904.0,1944.3608
1888.0,1878.3766
1891.0,1875.4158
1875.0,1862.0679
1879.0,1860.8861
1870.0,1851.227
1868.0,1852.6771
1856.0,1842.8258
1855.0,1846.1384
1839.0,1840.7272
1838.0,1839.5005
1831.0,1826.1565
1832.0,1824.1466
1818.0,1811.2606
1822.0,1809.8896
1811.0,1807.4246
1813.0,1809.7283
1801.0,1799.2156
1808.0,1802.6948
1804.0,1793.2859
1812.0,1799.7313
1803.0,1792.136
1818.0,1800.733
1814.0,1802.0298
1826.0,1810.2595
1820.0,1811.5875
1839.0,1823.4667
1824.0,1827.689
1846.0,1839.1069
1841.0,1840.7988
1855.0,1854.2507
1856.0,1852.513
1870.0,1865.6836
1868.0,1866.9756
1876.0,1876.665
1876.0,1879.9235
1892.0,1889.0323
1889.0,1892.426
1905.0,1899.6656
1909.0,1903.1481
1935.0,1918.3694
1934.0,1944.3438
1967.0,1972.8496
1971.0,1982.1736
1992.0,1995.7487
1991.0,1998.4183
2010.0,2015.4143
2017.0,2021.8132
2031.0,2037.0656
2027.0,2038.9391
2042.0,2054.932
2042.0,2062.8262
2056.0,2074.6843
2046.0,2077.0754
2061.0,2088.971
2062.0,2092.892
2073.0,2104.3206
2076.0,2099.9832
2088.0,2113.5076
2090.0,2115.7341
2113.0,2123.864
2114.0,2121.7715
2124.0,2128.8896
2121.0,2125.1936
2135.0,2143.0034
2138.0,2141.6543
2146.0,2153.412
2140.0,2147.1519
2154.0,2163.658
2141.0,2162.0264
2154.0,2164.5452
2148.0,2156.3723
2151.0,2165.7305
2149.0,2144.5708
2161.0,2157.585
2151.0,2137.0198
2134.0,2126.4565
2109.0,2117.8442
2106.0,2134.512
2108.0,2123.9727
2137.0,2110.8015
2134.0,2098.229
2127.0,2086.8577
2111.0,2077.85
2117.0,2090.9358
2083.0,2097.607
2089.0,2107.3223
2069.0,2078.1406
2067.0,2065.7002
2044.0,2037.5128
2026.0,2040.6536
2006.0,2026.6859
1995.0,2023.0938
1986.0,2006.0409
1988.0,1994.0385
1967.0,1971.5992
1971.0,1954.5199
1961.0,1939.5223
1963.0,1932.2192
1947.0,1913.5045
1953.0,1911.4381
1945.0,1907.3552
1940.0,1916.239
1921.0,1904.9061
1925.0,1917.5594
1914.0,1916.2189
1913.0,1919.0111
1901.0,1906.3367
1908.0,1913.1342
1898.0,1902.1622
1904.0,1902.4229
1897.0,1892.3529
1906.0,1897.2437
1897.0,1891.6794
1907.0,1899.8376
1901.0,1897.0393
1912.0,1905.7052
1901.0,1903.4431
1919.0,1912.4553
1912.0,1912.7374
1917.0,1921.316
1921.0,1918.7797
1937.0,1933.0531
1934.0,1932.4803
1951.0,1938.432
1954.0,1943.8976
1965.0,1957.3088
1960.0,1958.2339
1973.0,1972.2556
1971.0,1977.2291
1985.0,1989.346
1988.0,1992.0869
2002.0,2004.6904
2010.0,2014.5773
2039.0,2037.2874
2054.0,2055.128
2068.0,2071.854
2070.0,2078.4792
2081.0,2090.062
2082.0,2102.23
2105.0,2115.2654
2107.0,2119.792
2127.0,2130.463
2128.0,2136.0388
2138.0,2151.8276
2133.0,2155.042
2144.0,2173.184
2148.0,2174.575
2175.0,2182.6414
2193.0,2175.206
2210.0,2185.58
2212.0,2179.0122
2233.0,2209.6436
2232.0,2226.9412
2244.0,2244.8645
2239.0,2241.6794
2257.0,2255.5977
2255.0,2252.9482
2265.0,2260.8325
2263.0,2255.4
2275.0,2267.4468
2264.0,2263.619
2266.0,2271.9846
2260.0,2265.5159
2270.0,2279.9338
2252.0,2261.5085
2255.0,2256.1504
2248.0,2244.3604
2256.0,2243.4563
2240.0,2225.019
2246.0,2216.2844
2232.0,2211.0918
2186.0,2211.2834
2179.0,2200.471
2172.0,2203.0854
2163.0,2193.9546
2165.0,2154.5427
2144.0,2147.7605
2144.0,2141.21
2135.0,2133.9324
2138.0,2129.6965
2122.0,2109.5989
2126.0,2111.1978
2116.0,2106.0652
2107.0,2105.1375
2091.0,2084.521
2088.0,2080.4497
2075.0,2071.0503
2078.0,2065.4417
2050.0,2048.3447
2042.0,2038.6323
2019.0,2019.3866
2009.0,2028.4415
1984.0,1990.1709
1984.0,1979.0973
1970.0,1960.5604
1973.0,1957.1362
1958.0,1949.304
1966.0,1946.5437
1947.0,1931.3887
1954.0,1916.797
1935.0,1900.944
1941.0,1910.6193
1925.0,1903.2487
1926.0,1917.9233
1915.0,1900.5602
1913.0,1916.5265
1906.0,1909.6738
1904.0,1913.1278
1889.0,1902.9601
1898.0,1899.9751
1893.0,1893.7429
1900.0,1893.7965
1894.0,1881.159
1902.0,1888.6089
1901.0,1886.7677
1911.0,1895.4521
1904.0,1896.9501
1915.0,1905.0942
1916.0,1906.6942
1924.0,1918.1493
1928.0,1918.8092
1938.0,1929.5355
1944.0,1933.7993
1952.0,1943.3505
1953.0,1949.169
1965.0,1957.4342
1963.0,1965.3152
1973.0,1975.8759
1971.0,1979.0135
1993.0,1991.3856
1990.0,1996.0533
2003.0,2008.1124
2016.0,2022.5612
2030.0,2053.6438
2047.0,2065.5237
2065.0,2073.806
2070.0,2080.0703
2090.0,2087.7944
2089.0,2097.8562
2117.0,2113.0435
2113.0,2119.4893
2132.0,2134.3308
2125.0,2137.846
2137.0,2159.792
2133.0,2161.896
2144.0,2176.954
2142.0,2173.6123
2157.0,2182.754
2157.0,2170.8928
2173.0,2175.9377
2172.0,2164.0571
2190.0,2178.8066
2196.0,2170.2449
2212.0,2191.8071
2208.0,2187.253
2225.0,2207.3901
2224.0,2214.9302
2230.0,2232.2224
2223.0,2228.5715
2244.0,2242.8557
2238.0,2242.5312
2241.0,2243.324
2239.0,2229.5466
2245.0,2257.4448
2236.0,2240.7837
2253.0,2244.0464
2245.0,2234.321
2245.0,2228.898
2225.0,2207.9993
2211.0,2228.336
2195.0,2213.7788
2215.0,2212.5789
2225.0,2198.362
2213.0,2189.8108
2200.0,2172.1028
2191.0,2178.996
2182.0,2176.9426
2175.0,2163.3635
2161.0,2152.2585
2155.0,2138.8452
2132.0,2126.8523
2133.0,2123.2273
2107.0,2115.123
2105.0,2104.7751
2093.0,2087.3198
2090.0,2084.0486
2075.0,2067.4106
2071.0,2059.6526
2058.0,2046.0227
2044.0,2035.1903
2002.0,2019.0541
2001.0,2010.3481
1985.0,1998.0771
1986.0,1983.1003
1977.0,1958.4642
1973.0,1954.5693
1965.0,1941.9816
1966.0,1937.9861
1953.0,1929.4906
1951.0,1928.9506
1942.0,1932.4283
1937.0,1936.5096
1926.0,1926.2192
1924.0,1929.0518
1913.0,1922.6953
1917.0,1920.299
1909.0,1909.6359
1912.0,1909.2855
1900.0,1899.6923
1898.0,1902.9248
1890.0,1898.976
1902.0,1902.563
1891.0,1894.1239
1907.0,1892.5995
1899.0,1888.9155
1910.0,1897.6442
1903.0,1893.2513
1921.0,1908.5912
1909.0,1906.8673
1922.0,1916.8553
1920.0,1916.2249
1939.0,1931.7247
1938.0,1930.0687
1954.0,1942.3672
1947.0,1943.5073
1964.0,1957.6387
1962.0,1960.6327
1971.0,1973.7163
1972.0,1974.2112
1982.0,1988.1897
1985.0,1991.871
2000.0,2003.3394
2007.0,2013.7465
2029.0,2032.2089
2038.0,2051.6426
2065.0,2070.721
2063.0,2076.6794
2082.0,2085.16
2085.0,2092.5247
2109.0,2110.474
2117.0,2113.1228
2125.0,2129.3386
2125.0,2134.3726
2131.0,2152.2378
2135.0,2162.2761
2144.0,2170.324
2142.0,2173.2708
2163.0,2175.1226
2163.0,2175.025
2184.0,2185.5996
2196.0,2175.7651
2216.0,2201.321
2199.0,2188.796
2215.0,2217.1362
2223.0,2223.534
2260.0,2242.875
2252.0,2225.5144
2257.0,2234.2522
2260.0,2235.8894
2269.0,2276.58
2261.0,2272.8767
2277.0,2276.4868
2270.0,2272.4731
2275.0,2274.7146
2266.0,2256.8496
2276.0,2270.2812
2269.0,2259.6304
2274.0,2263.9846
2262.0,2249.8123
2264.0,2257.7988
2253.0,2245.1694
2254.0,2245.4958
2232.0,2231.9707
2234.0,2229.5037
2215.0,2220.769
2210.0,2217.005
2194.0,2199.6453
2184.0,2192.9944
2165.0,2169.546
2158.0,2159.23
2134.0,2142.9824
2128.0,2136.4575
2105.0,2122.1633
2103.0,2114.6152
2088.0,2097.3162
2086.0,2088.2422
2069.0,2067.612
2071.0,2055.3909
2048.0,2036.8031
2050.0,2024.0905
2020.0,2006.3938
1989.0,2001.0627
1975.0,1984.4894
1979.0,1988.1248
1969.0,1965.5182
1974.0,1960.1252
1965.0,1955.2421
1963.0,1955.7993
1957.0,1945.9712
1949.0,1949.5833
1941.0,1939.9403
1938.0,1943.218
1923.0,1936.9958
1926.0,1936.1233
1911.0,1925.9563
1917.0,1923.945
1909.0,1910.1898
1906.0,1912.8666
1898.0,1898.097
1906.0,1904.4532
1896.0,1900.5559
1901.0,1899.028
1892.0,1892.7382
1900.0,1901.011
1900.0,1895.997
1911.0,1901.4254
1906.0,1896.4758
1918.0,1904.3463
1910.0,1906.7236
1928.0,1918.7273
1922.0,1919.3899
1940.0,1932.1224
1935.0,1929.5686
1956.0,1945.3322
1952.0,1946.0823
1957.0,1959.7096
1957.0,1960.8165
1969.0,1975.5704
1968.0,1977.8433
1978.0,1985.391
1981.0,1988.6588
2003.0,2001.5746
2011.0,2012.3689
2039.0,2030.8138
2053.0,2050.8838
2076.0,2069.109
2068.0,2074.7961
2092.0,2088.1167
2093.0,2099.3223
2095.0,2120.0535
2110.0,2118.5945
2124.0,2136.273
2133.0,2141.3708
2152.0,2148.7659
2163.0,2158.5532
2180.0,2170.8032
2183.0,2178.4187
2209.0,2196.112
2209.0,2204.675
2225.0,2219.3687
2224.0,2223.4158
2250.0,2244.3145
2249.0,2246.7415
2258.0,2257.892
2264.0,2249.4644
2280.0,2270.0781
2276.0,2266.1206
2285.0,2271.1033
2284.0,2274.812
2297.0,2289.0576
2284.0,2285.6165
2289.0,2294.2104
2278.0,2291.6147
