True Value,Predicted Value
1864.0,1857.8019
1870.0,1853.645
1857.0,1851.4045
1855.0,1857.1407
1842.0,1851.9059
1845.0,1851.2231
1827.0,1844.2917
1833.0,1841.2632
1822.0,1834.683
1820.0,1834.8347
1811.0,1826.822
1815.0,1825.7236
1803.0,1821.598
1817.0,1821.7197
1812.0,1817.0431
1817.0,1817.734
1808.0,1812.4247
1824.0,1817.6907
1821.0,1821.6471
1826.0,1828.4565
1819.0,1827.2694
1825.0,1835.7115
1821.0,1840.4719
1841.0,1847.3905
1838.0,1847.8026
1856.0,1849.4125
1849.0,1848.928
1871.0,1862.7378
1869.0,1870.9257
1880.0,1884.0433
1874.0,1888.1555
1890.0,1900.8724
1890.0,1908.1254
1904.0,1917.2008
1901.0,1916.5138
1930.0,1922.5269
1939.0,1927.904
1976.0,1939.9269
1976.0,1943.5602
1990.0,1960.5253
1992.0,1979.1404
2004.0,2014.101
2012.0,2034.3838
2025.0,2045.338
2021.0,2048.5454
2046.0,2053.7874
2041.0,2062.7715
2043.0,2072.4673
2044.0,2073.2375
2076.0,2085.8813
2078.0,2087.4734
2101.0,2083.397
2109.0,2077.7683
2126.0,2093.0579
2131.0,2106.34
2149.0,2125.4104
2147.0,2139.6436
2163.0,2156.2026
2156.0,2166.8083
2169.0,2181.1536
2155.0,2187.4749
2172.0,2195.802
2171.0,2192.6143
2172.0,2194.5598
2173.0,2184.077
2178.0,2182.5393
2164.0,2180.8542
2170.0,2179.561
2162.0,2174.8555
2168.0,2173.5715
2157.0,2163.3267
2154.0,2158.8694
2103.0,2151.0527
2105.0,2151.3892
2088.0,2145.543
2093.0,2138.9304
2077.0,2101.3174
2075.0,2075.1829
2063.0,2055.4075
2062.0,2053.3916
2046.0,2047.2026
2051.0,2042.3644
2040.0,2034.8391
2040.0,2029.9095
2034.0,2018.9298
2034.0,2016.4204
2006.0,2012.6461
2011.0,2011.6296
1993.0,2010.2948
1992.0,2012.4985
1979.0,1995.3507
1971.0,1987.5887
1941.0,1975.4283
1935.0,1970.3099
1909.0,1962.3026
1904.0,1952.5701
1888.0,1928.5161
1891.0,1910.936
1875.0,1889.0703
1879.0,1875.9119
1870.0,1862.438
1868.0,1859.8647
1856.0,1853.0461
1855.0,1852.3982
1839.0,1849.9639
1838.0,1849.5267
1831.0,1842.2343
1832.0,1840.2395
1818.0,1831.4825
1822.0,1826.7838
1811.0,1823.6318
1813.0,1825.5446
1801.0,1820.1084
1808.0,1819.1306
1804.0,1814.171
1812.0,1816.2535
1803.0,1811.0042
1818.0,1812.1573
1814.0,1812.8633
1826.0,1819.8701
1820.0,1820.1549
1839.0,1829.7961
1824.0,1834.8286
1846.0,1846.9469
1841.0,1849.8734
1855.0,1861.6523
1856.0,1860.7633
1870.0,1871.4043
1868.0,1875.6443
1876.0,1886.6892
1876.0,1894.3994
1892.0,1905.738
1889.0,1909.2377
1905.0,1914.489
1909.0,1914.9911
1935.0,1924.2457
1934.0,1928.9904
1967.0,1937.956
1971.0,1945.3931
1992.0,1965.8448
1991.0,1977.2139
2010.0,2001.2542
2017.0,2019.1029
2031.0,2040.6088
2027.0,2047.3202
2042.0,2059.3137
2042.0,2070.3665
2056.0,2082.048
2046.0,2083.4795
2061.0,2087.3557
2062.0,2088.842
2073.0,2093.8335
2076.0,2086.6128
2088.0,2085.6863
2090.0,2085.4658
2113.0,2089.8157
2114.0,2092.0828
2124.0,2099.5132
2121.0,2103.469
2135.0,2118.8125
2138.0,2130.0405
2146.0,2143.138
2140.0,2144.1882
2154.0,2152.0889
2141.0,2158.605
2154.0,2166.0056
2148.0,2165.4495
2151.0,2168.5278
2149.0,2161.2717
2161.0,2162.0994
2151.0,2158.5063
2134.0,2155.1682
2109.0,2151.4355
2106.0,2156.704
2108.0,2155.0461
2137.0,2138.5886
2134.0,2106.5483
2127.0,2085.4329
2111.0,2078.4883
2117.0,2100.1497
2083.0,2119.7715
2089.0,2123.0276
2069.0,2108.961
2067.0,2102.6162
2044.0,2080.6067
2026.0,2068.5554
2006.0,2054.3782
1995.0,2044.384
1986.0,2026.6165
1988.0,2003.7114
1967.0,1978.4889
1971.0,1960.0414
1961.0,1950.1736
1963.0,1949.8918
1947.0,1940.2363
1953.0,1936.8278
1945.0,1931.3768
1940.0,1931.237
1921.0,1922.7512
1925.0,1923.3593
1914.0,1923.5349
1913.0,1920.804
1901.0,1908.3192
1908.0,1906.1772
1898.0,1902.4253
1904.0,1902.0311
1897.0,1896.025
1906.0,1899.0857
1897.0,1897.4856
1907.0,1900.9241
1901.0,1900.017
1912.0,1905.5911
1901.0,1906.6385
1919.0,1911.7725
1912.0,1913.6713
1917.0,1921.1993
1921.0,1920.8087
1937.0,1931.2161
1934.0,1935.7528
1951.0,1939.343
1954.0,1943.312
1965.0,1956.7498
1960.0,1963.3708
1973.0,1975.7305
1971.0,1984.535
1985.0,1995.7217
1988.0,1998.4982
2002.0,2004.2402
2010.0,2006.1328
2039.0,2014.5278
2054.0,2019.2036
2068.0,2030.4945
2070.0,2041.1608
2081.0,2065.1538
2082.0,2091.8293
2105.0,2115.2703
2107.0,2124.132
2127.0,2130.8142
2128.0,2132.6875
2138.0,2146.7988
2133.0,2154.484
2144.0,2168.8694
2148.0,2173.1538
2175.0,2174.4402
2193.0,2166.6736
2210.0,2165.7324
2212.0,2165.362
2233.0,2180.9756
2232.0,2203.7732
2244.0,2228.474
2239.0,2239.9941
2257.0,2254.2449
2255.0,2262.6633
2265.0,2272.2715
2263.0,2273.3801
2275.0,2280.8147
2264.0,2283.127
2266.0,2286.8074
2260.0,2283.8972
2270.0,2285.9526
2252.0,2278.7605
2255.0,2270.935
2248.0,2260.5432
2256.0,2260.4492
2240.0,2249.5771
2246.0,2239.5146
2232.0,2231.8252
2186.0,2231.2534
2179.0,2224.1836
2172.0,2223.4775
2163.0,2214.99
2165.0,2179.7817
2144.0,2150.9907
2144.0,2134.7317
2135.0,2127.4312
2138.0,2127.963
2122.0,2116.6316
2126.0,2108.4795
2116.0,2102.0364
2107.0,2103.1272
2091.0,2096.981
2088.0,2096.9255
2075.0,2093.3203
2078.0,2086.02
2050.0,2072.2202
2042.0,2063.5022
2019.0,2054.6575
2009.0,2054.3025
1984.0,2037.9249
1984.0,2021.6782
1970.0,1997.8993
1973.0,1980.1783
1958.0,1958.6158
1966.0,1948.6696
1947.0,1939.287
1954.0,1938.5817
1935.0,1929.807
1941.0,1931.2778
1925.0,1923.9054
1926.0,1923.6742
1915.0,1914.9622
1913.0,1916.7924
1906.0,1911.2715
1904.0,1908.0859
1889.0,1901.7915
1898.0,1899.4108
1893.0,1896.7579
1900.0,1896.9608
1894.0,1888.891
1902.0,1890.7058
1901.0,1891.546
1911.0,1897.9432
1904.0,1901.4407
1915.0,1908.376
1916.0,1911.8597
1924.0,1921.28
1928.0,1924.1057
1938.0,1932.3279
1944.0,1938.9088
1952.0,1947.9707
1953.0,1955.9047
