True Value,Predicted Value
1864.0,1857.1713
1870.0,1858.4163
1857.0,1851.4518
1855.0,1859.1366
1842.0,1839.4296
1845.0,1844.0206
1827.0,1831.8346
1833.0,1834.7327
1822.0,1824.1614
1820.0,1830.2423
1811.0,1814.6487
1815.0,1823.2827
1803.0,1816.0165
1817.0,1820.3816
1812.0,1811.9211
1817.0,1816.1586
1808.0,1807.2886
1824.0,1819.0063
1821.0,1816.006
1826.0,1823.2657
1819.0,1818.1678
1825.0,1834.1803
1821.0,1832.9739
1841.0,1841.0164
1838.0,1837.669
1856.0,1843.3121
1849.0,1842.5107
1871.0,1864.6608
1869.0,1862.794
1880.0,1885.0018
1874.0,1881.3076
1890.0,1908.6292
1890.0,1908.5182
1904.0,1922.124
1901.0,1916.2068
1930.0,1934.3124
1939.0,1937.7257
1976.0,1954.184
1976.0,1951.1652
1990.0,1980.312
1992.0,1990.8828
2004.0,2025.9471
2012.0,2026.487
2025.0,2037.7153
2021.0,2042.3962
2046.0,2052.2427
2041.0,2063.155
2043.0,2068.9036
2044.0,2067.3225
2076.0,2091.245
2078.0,2083.9526
2101.0,2087.181
2109.0,2088.2441
2126.0,2117.9385
2131.0,2119.9558
2149.0,2138.4263
2147.0,2144.108
2163.0,2156.2788
2156.0,2160.8752
2169.0,2176.7952
2155.0,2175.6987
2172.0,2185.6226
2171.0,2172.4631
2172.0,2186.2324
2173.0,2165.7551
2178.0,2178.91
2164.0,2178.8552
2170.0,2178.6057
2162.0,2176.474
2168.0,2172.3079
2157.0,2155.5713
2154.0,2156.555
2103.0,2142.1467
2105.0,2147.9211
2088.0,2129.6807
2093.0,2124.488
2077.0,2069.224
2075.0,2069.9456
2063.0,2050.9082
2062.0,2053.5613
2046.0,2041.5553
2051.0,2036.4188
2040.0,2029.4161
2040.0,2022.4597
2034.0,2007.6995
2034.0,2012.1979
2006.0,2004.4846
2011.0,2003.6033
1993.0,2004.6799
1992.0,2005.5255
1979.0,1973.4105
1971.0,1980.788
1941.0,1969.1781
1935.0,1970.4052
1909.0,1956.9451
1904.0,1944.7521
1888.0,1919.0056
1891.0,1911.427
1875.0,1886.3519
1879.0,1880.614
1870.0,1863.4637
1868.0,1864.5269
1856.0,1850.6896
1855.0,1853.4379
1839.0,1843.934
1838.0,1842.6693
1831.0,1833.3673
1832.0,1834.0922
1818.0,1821.1837
1822.0,1820.7463
1811.0,1816.2285
1813.0,1820.3077
1801.0,1811.9355
1808.0,1816.4661
1804.0,1809.8292
1812.0,1816.0586
1803.0,1803.7935
1818.0,1810.4147
1814.0,1808.273
1826.0,1816.884
1820.0,1811.6588
1839.0,1827.6898
1824.0,1826.1599
1846.0,1842.7705
1841.0,1836.6671
1855.0,1858.0103
1856.0,1844.5098
1870.0,1870.6119
1868.0,1863.563
1876.0,1886.4558
1876.0,1890.2506
1892.0,1907.9348
1889.0,1908.6564
1905.0,1921.9795
1909.0,1919.7153
1935.0,1939.2462
1934.0,1938.799
1967.0,1953.4141
1971.0,1959.5884
1992.0,1985.0894
1991.0,1984.668
2010.0,2013.3885
2017.0,2019.4865
2031.0,2041.5721
2027.0,2037.9078
2042.0,2058.7373
2042.0,2065.6436
2056.0,2076.4758
2046.0,2074.258
2061.0,2087.4827
2062.0,2089.2344
2073.0,2099.168
2076.0,2088.331
2088.0,2102.036
2090.0,2102.267
2113.0,2109.9604
2114.0,2112.8813
2124.0,2120.3042
2121.0,2120.3413
2135.0,2137.4668
2138.0,2140.3962
2146.0,2148.7012
2140.0,2138.6033
2154.0,2153.8223
2141.0,2154.904
2154.0,2160.0312
2148.0,2155.434
2151.0,2159.8044
2149.0,2147.5776
2161.0,2157.949
2151.0,2152.2954
2134.0,2147.46
2109.0,2146.02
2106.0,2156.7053
2108.0,2146.457
2137.0,2115.0898
2134.0,2086.2583
2127.0,2079.2686
2111.0,2078.89
2117.0,2113.9082
2083.0,2114.2844
2089.0,2107.7373
2069.0,2091.9885
2067.0,2101.3752
2044.0,2063.7078
2026.0,2064.9355
2006.0,2038.9631
1995.0,2033.1226
1986.0,2009.1273
1988.0,1985.1029
1967.0,1963.9941
1971.0,1954.0917
1961.0,1949.5105
1963.0,1953.6636
1947.0,1932.6152
1953.0,1930.996
1945.0,1921.405
