True Value,Predicted Value
1105.7201,1118.258
1107.2438,1118.4124
1107.2438,1120.9276
1108.8372,1118.978
1108.8372,1119.3857
1109.7784,1118.415
1109.7784,1118.8186
1110.2704,1118.8208
1110.2704,1121.9263
1110.5422,1120.0647
1110.5422,1119.0707
1110.2961,1122.862
1110.2961,1124.7023
1110.5872,1122.0607
1110.5872,1122.8735
1109.482,1122.9686
1109.482,1119.5977
1108.2991,1119.0905
1108.2991,1120.1329
1107.031,1119.4131
1107.031,1118.4641
1104.6829,1117.8628
1104.6829,1114.2056
1103.1702,1111.2133
1103.1702,1112.2592
1099.9677,1111.8137
1099.9677,1108.0002
1096.6298,1107.0499
1096.6298,1108.018
1093.1716,1107.9327
1093.1716,1104.0852
1088.4087,1104.2524
1088.4087,1101.2915
1084.7544,1099.1869
1084.7544,1095.9407
1079.8263,1092.8877
1079.8263,1086.9531
1076.222,1086.8782
1076.222,1081.732
1071.6624,1081.2405
1071.6624,1078.6736
1068.5093,1079.898
1068.5093,1079.7081
1064.5162,1079.519
1064.5162,1078.1964
1062.194,1077.5568
1062.194,1072.6008
1061.0321,1069.8557
1061.0321,1066.9067
1059.1104,1066.8308
1059.1104,1064.5343
1058.1927,1065.6932
1058.1927,1067.6985
1057.3536,1072.9532
1057.3536,1074.0192
1056.9513,1074.8201
1056.9513,1073.1084
1057.288,1072.5548
1057.288,1068.7804
1057.269,1068.9338
1057.269,1070.684
1057.5664,1071.3577
1057.5664,1070.3387
1058.1726,1072.8143
1058.1726,1073.3441
1058.7484,1074.4607
1058.7484,1075.1956
1059.2959,1072.4298
1059.2959,1070.9523
1060.4152,1072.0764
1060.4152,1071.4152
1061.2562,1073.6548
1061.2562,1075.0206
1061.8567,1071.5884
1061.8567,1074.1102
1063.283,1078.0046
1063.283,1076.7223
1063.6824,1074.63
1063.6824,1078.0104
1064.9191,1077.325
1064.9191,1075.0026
1065.3531,1077.9094
1065.3531,1078.7711
1065.8011,1074.6938
1065.8011,1074.8704
1066.9218,1077.1097
1066.9218,1077.1722
1067.4114,1078.3129
1067.4114,1081.5432
1067.7448,1081.5613
1067.7448,1082.3065
1067.5674,1082.3125
1067.5674,1081.9835
1067.9215,1080.8308
1067.9215,1078.5275
1067.5496,1078.0951
1067.5496,1080.0747
1067.731,1078.9702
1067.731,1079.1754
1068.134,1080.3949
1068.134,1080.1552
1067.5061,1079.5315
1067.5061,1078.8286
1067.7129,1078.777
1067.7129,1077.7062
1067.9454,1077.9135
1067.9454,1078.0262
1067.954,1080.1709
1067.954,1079.2095
1069.3746,1078.8092
1069.3746,1080.4905
1071.2515,1082.1261
1071.2515,1080.2777
1073.1698,1080.2047
1073.1698,1082.0535
1076.9814,1082.9144
1076.9814,1087.4679
1079.7955,1089.8947
1079.7955,1091.3037
1082.781,1093.9731
1082.781,1096.0232
1085.9366,1095.6605
1085.9366,1099.9464
1087.6973,1101.8313
1087.6973,1100.6693
1089.5594,1099.7145
1089.5594,1103.113
1091.153,1105.0735
1091.153,1106.0396
1092.7292,1105.2659
1092.7292,1104.7988
1094.2861,1103.8365
1094.2861,1104.5106
1095.8218,1104.8533
1095.8218,1103.1796
1097.3344,1103.3586
1097.3344,1106.0587
1098.2555,1108.2793
1098.2555,1108.1714
1099.1104,1108.6353
1099.1104,1112.5181
1099.9054,1111.466
1099.9054,1111.1351
1100.1038,1109.3364
1100.1038,1109.9977
1100.2802,1110.4222
1100.2802,1112.9124
1101.0509,1112.3882
1101.0509,1112.4921
1100.1299,1113.0801
1100.1299,1109.3779
1099.4624,1107.1172
1099.4624,1109.0156
1098.3523,1109.4861
1098.3523,1107.7715
1096.1942,1108.5983
1096.1942,1109.2891
1095.3683,1109.3989
1095.3683,1108.3956
1093.6123,1107.4691
1093.6123,1103.6027
1092.0542,1099.7131
1092.0542,1098.0646
1090.1072,1097.6401
1090.1072,1098.5824
1088.306,1102.863
1088.306,1100.8846
1085.9701,1099.0521
1085.9701,1097.4165
1084.506,1096.0914
1084.506,1095.5552
1082.5055,1096.9282
1082.5055,1095.1736
1081.1766,1094.5164
1081.1766,1093.1926
1079.2871,1091.014
1079.2871,1089.1498
1078.038,1087.5575
1078.038,1087.2721
1076.8308,1087.6276
1076.8308,1087.8047
1075.6019,1088.7263
1075.6019,1087.1079
1074.9258,1087.3832
1074.9258,1087.6462
1073.608,1088.1073
1073.608,1089.8839
1073.5256,1088.758
1073.5256,1084.6
1072.8009,1082.0013
1072.8009,1080.1508
1072.6083,1079.2853
1072.6083,1081.3236
1072.4053,1082.7977
1072.4053,1084.6511
1072.8843,1087.73
1072.8843,1087.3158
1072.6771,1085.3394
1072.6771,1081.912
1073.0902,1081.8914
1073.0902,1083.6119
1073.646,1086.1598
1073.646,1086.0543
1074.144,1086.1052
1074.144,1086.2242
1075.632,1086.6163
1075.632,1088.5508
1078.113,1089.0854
1078.113,1089.1163
1079.8737,1090.5819
1079.8737,1091.5359
1082.6128,1090.666
1082.6128,1094.6012
1084.4347,1096.5189
1084.4347,1099.4978
1085.3424,1099.3689
1085.3424,1101.3693
1087.1495,1102.6733
1087.1495,1101.5502
1087.9034,1099.0085
1087.9034,1100.0568
1088.6278,1097.6913
1088.6278,1097.8724
1090.1655,1099.8291
1090.1655,1098.5557
1089.9937,1100.0803
1089.9937,1101.9332
1090.6381,1101.9149
1090.6381,1102.4767
1090.4646,1105.6726
1090.4646,1103.7307
1090.2966,1102.4562
1090.2966,1103.059
1090.1339,1102.102
1090.1339,1100.6306
1089.2144,1097.6572
1089.2144,1095.8956
1087.5621,1095.7548
1087.5621,1099.6909
1086.8027,1100.2128
1086.8027,1097.4136
1085.2769,1095.1675
1085.2769,1095.303
1083.7435,1094.9537
1083.7435,1093.733
1082.2399,1093.534
1082.2399,1093.9873
1080.6843,1092.4359
1080.6843,1088.4376
1079.0767,1090.5
1079.0767,1090.7759
1078.2389,1091.7977
1078.2389,1091.6765
1077.3281,1089.5878
1077.3281,1086.9451
1076.4176,1087.8411
1076.4176,1088.2826
1076.2876,1086.4801
1076.2876,1084.1486
1076.1478,1084.5302
1076.1478,1086.2181
1075.9972,1088.5427
1075.9972,1090.1893
1076.9011,1091.4972
1076.9011,1091.4402
1077.8435,1090.6846
1077.8435,1089.8992
1078.8265,1087.9895
1078.8265,1087.5564
1080.9028,1088.8806
1080.9028,1091.5314
1081.9952,1092.9583
1081.9952,1093.3492
1084.0483,1094.3999
1084.0483,1094.8318
1086.133,1096.2385
1086.133,1100.3412
1088.8573,1100.4817
1088.8573,1102.9083
1091.5536,1103.5327
1091.5536,1105.7076
1093.1819,1104.3605
1093.1819,1104.8904
1095.612,1106.8435
1095.612,1107.9105
1097.8973,1105.6307
1097.8973,1107.9598
1100.0438,1111.7029
1100.0438,1114.627
1101.2828,1116.0093
1101.2828,1115.7968
1103.2072,1115.0101
1103.2072,1117.7554
1103.9255,1115.6249
1103.9255,1115.6335
1105.6395,1116.034
1105.6395,1113.6547
1106.2192,1110.0978
1106.2192,1110.8265
1106.1287,1112.1534
1106.1287,1117.0668
1106.6534,1118.5415
1106.6534,1118.766
1106.5559,1119.2465
1106.5559,1119.5594
1106.1362,1115.7614
1106.1362,1114.3654
1105.5032,1115.2756
1105.5032,1116.7866
1104.6056,1117.0385
1104.6056,1115.9856
1104.0394,1114.1248
1104.0394,1112.349
1102.9696,1111.7086
1102.9696,1115.0322
1101.9366,1116.4631
1101.9366,1115.4731
1100.9395,1112.9124
1100.9395,1109.5039
1099.9766,1108.6012
1099.9766,1107.8674
1098.5383,1109.2477
1098.5383,1109.4943
1097.3251,1109.9935
1097.3251,1109.5592
1095.6101,1108.5972
1095.6101,1105.7568
1094.0552,1108.1555
1094.0552,1107.5614
1092.3444,1104.6217
1092.3444,1102.4769
1090.7649,1101.6978
1090.7649,1100.6359
1089.1687,1102.5635
1089.1687,1101.8008
1087.6421,1099.275
1087.6421,1097.7915
1085.4524,1096.0786
1085.4524,1096.8047
1083.8423,1098.437
1083.8423,1096.6595
1082.1888,1097.9993
1082.1888,1095.6573
1080.4933,1091.958
1080.4933,1090.4604
1078.7421,1091.9408
1078.7421,1089.9592
1076.908,1087.284
1076.908,1086.6627
1074.9889,1085.8027
1074.9889,1085.5172
1073.608,1086.3087
1073.608,1086.3888
1072.7058,1083.3757
1072.7058,1081.8793
1071.7327,1080.9923
1071.7327,1079.0748
1070.6802,1081.8782
1070.6802,1082.9392
1070.2643,1085.7024
1070.2643,1085.1249
1070.5709,1085.1176
1070.5709,1083.2616
1070.9088,1082.2156
1070.9088,1080.3154
1071.4312,1078.8876
1071.4312,1081.2858
1072.7305,1084.5057
1072.7305,1085.2216
1074.4025,1086.5171
1074.4025,1088.9644
1076.1478,1088.2877
1076.1478,1088.379
1077.0201,1088.2133
1077.0201,1089.4371
1078.9169,1090.4736
1078.9169,1091.5007
1079.8638,1090.3059
1079.8638,1090.1292
1081.765,1092.0172
1081.765,1094.0598
1082.7133,1094.2302
1082.7133,1095.0614
1083.5911,1095.1165
1083.5911,1097.7224
1084.4347,1099.5594
1084.4347,1098.3585
1085.2457,1096.9065
1085.2457,1098.841
1086.7766,1097.9895
1086.7766,1098.3411
1087.3734,1097.0865
1087.3734,1095.5029
1087.9296,1097.8527
1087.9296,1100.8931
1088.4491,1097.8766
1088.4491,1096.3052
1088.4491,1099.461
1089.5311,1100.6262
1089.9614,1097.91
1089.9614,1098.6215
1089.5482,1099.0464
1089.5482,1100.6897
1089.6882,1102.4714
1089.6882,1103.1901
1089.3221,1103.4352
1089.3221,1103.2499
1088.8746,1101.097
1088.8746,1098.6016
1087.9972,1101.1616
1087.9972,1100.284
1087.0964,1099.7045
1087.0964,1101.9414
1085.8071,1098.5596
1085.8071,1094.9508
1084.5939,1094.4437
1084.5939,1093.0193
1083.4512,1092.4543
1083.4512,1090.0404
1082.3975,1090.3641
1082.3975,1092.6775
1080.9087,1093.7935
1080.9087,1092.7212
1079.4479,1093.6555
1079.4479,1093.7386
1078.0162,1089.4517
1078.0162,1088.3956
1076.1044,1088.999
1076.1044,1090.3683
1074.6759,1090.7594
1074.6759,1087.8271
1073.1885,1081.9824
1073.1885,1079.1107
1072.1602,1079.8064
1072.1602,1079.0831
1070.6353,1082.2806
1070.6353,1082.1979
1069.4707,1081.7681
1069.4707,1082.1328
1069.4707,1082.8862
1068.7609,1080.6813
1068.7609,1079.9297
1067.5228,1078.5408
1067.5228,1078.101
1066.7507,1077.4208
1066.7507,1077.0944
1066.4669,1077.7947
1066.4669,1079.0388
1066.1709,1080.9495
1066.1709,1079.169
1065.7024,1078.2977
1065.7024,1078.1637
1065.9305,1075.5696
1065.9305,1077.2551
1066.1707,1080.3159
1066.1707,1077.5365
1066.8545,1076.1017
1066.8545,1077.5989
1067.7556,1077.5513
1067.7556,1080.2761
1068.5616,1081.0414
1068.5616,1080.6525
1069.442,1080.8219
1069.442,1079.8408
1071.1248,1080.2925
1071.1248,1081.3235
1072.2246,1082.2925
1072.2246,1084.5928
1074.144,1085.2325
1074.144,1087.2384
1075.4764,1089.9845
1075.4764,1091.3362
1077.0201,1090.0565
1077.0201,1089.6055
1078.8505,1087.296
1078.8505,1087.3807
1079.8456,1089.8108
1079.8456,1093.4474
1081.0349,1094.0989
1081.0349,1092.9365
1082.4153,1093.9915
1082.4153,1094.3967
1084.0287,1091.5275
1084.0287,1092.7606
1084.4054,1094.7103
1084.4054,1095.4446
1084.6981,1093.6357
1084.6981,1097.3964
1086.7782,1099.5349
1086.7782,1097.4761
1087.0272,1096.4546
1087.0272,1097.4431
1088.8223,1096.9481
1088.8223,1101.6124
1089.1564,1102.4048
1089.1564,1099.2577
1089.1564,1099.377
1089.1564,1103.0049
1089.1564,1102.8359
1089.1564,1102.1954
1090.6001,1100.7352
1090.6001,1099.5538
1090.2292,1100.737
1090.2292,1100.2463
1089.8832,1097.8114
1089.8832,1100.2803
1089.5594,1100.6318
1089.5594,1100.6204
1087.4592,1100.3121
1087.4592,1097.751
1085.5892,1096.7241
1085.5892,1100.3918
1083.8114,1098.7445
1083.8114,1094.7152
1082.3534,1094.1107
1082.3534,1092.1447
1079.8345,1089.9769
1079.8345,1089.0632
1077.5985,1085.7761
1077.5985,1086.6975
1074.6144,1088.4172
1074.6144,1085.2012
1072.9827,1086.2379
1072.9827,1087.0438
1070.4591,1085.5819
1070.4591,1081.3423
1069.2286,1079.426
1069.2286,1077.6936
1068.7627,1078.226
1068.7627,1074.9482
1067.5294,1074.4941
1067.5294,1075.7117
1067.1545,1077.4377
1067.1545,1077.9664
1067.5496,1078.3309
1067.5496,1077.8872
1067.9215,1080.016
1067.9215,1081.7013
1068.0992,1082.3663
1068.0992,1083.7925
1069.692,1081.8602
1069.692,1083.5085
1070.5455,1083.0902
1070.5455,1082.0737
1071.2534,1082.1476
1071.2534,1085.265
1072.6771,1082.4564
1072.6771,1080.485
1074.7526,1082.4209
1074.7526,1085.171
1076.2172,1088.0863
1076.2172,1089.8416
1078.3989,1089.3542
1078.3989,1090.9083
1080.6628,1092.8433
1080.6628,1094.2596
1083.0219,1096.2231
1083.0219,1095.2847
1084.732,1093.383
1084.732,1094.5232
1087.3734,1095.5585
1087.3734,1096.7914
1090.1655,1095.8457
1090.1655,1099.5872
1092.2527,1102.318
1092.2527,1103.5072
1094.4612,1104.3396
1094.4612,1106.8872
1095.903,1107.7678
1095.903,1110.1174
1097.4396,1110.3966
1097.4396,1112.6912
1098.1345,1111.9126
1098.1345,1110.4977
1098.8851,1109.9685
1098.8851,1113.3987
1099.6979,1110.3625
1099.6979,1109.4607
1100.1299,1107.3296
1100.1299,1104.5776
1099.5175,1106.3687
1099.5175,1109.7421
1097.7566,1110.4113
1097.7566,1112.0717
1095.8673,1112.4749
1095.8673,1111.0536
1093.4974,1109.2802
1093.4974,1104.0975
1091.0797,1104.8446
1091.0797,1106.2899
1088.4087,1102.2717
1088.4087,1095.7806
1084.7544,1093.4232
1084.7544,1089.9075
1082.2385,1089.7821
1082.2385,1088.4725
1080.9868,1088.3335
1080.9868,1087.0266
1078.7198,1086.3329
1078.7198,1085.7224
1077.7029,1087.3842
1077.7029,1087.1951
1076.7035,1087.4376
1076.7035,1088.6554
1075.8342,1088.9791
1075.8342,1087.7896
1075.9972,1089.3257
1075.9972,1089.5421
1075.2214,1088.8251
1075.2214,1088.8215
1075.3945,1088.4901
1075.3945,1090.3977
1076.4792,1091.1749
1076.4792,1087.5294
1076.5964,1085.4419
1076.5964,1088.2349
1076.7582,1087.2113
1076.7582,1088.3574
1076.9053,1091.4263
1076.9053,1091.3408
1077.0397,1088.2728
1077.0397,1088.1981
1077.1628,1089.7216
1077.1628,1090.7423
1077.2762,1090.5515
1077.2762,1090.1659
1076.7906,1088.6927
1076.7906,1088.6625
1076.3523,1089.3927
1076.3523,1090.0306
1075.337,1090.6422
1075.337,1088.4978
1074.4548,1087.3402
1074.4548,1086.2802
1073.5823,1082.7865
1073.5823,1082.8529
1072.2615,1084.7535
1072.2615,1082.462
1070.9382,1079.6486
1070.9382,1079.8274
1069.5748,1077.9192
1069.5748,1078.1039
1068.2502,1078.0847
1068.2502,1077.4568
1067.4288,1079.1404
1067.4288,1081.5853
1066.0399,1080.8114
1066.0399,1076.5665
1065.4423,1076.5331
1065.4423,1077.9052
1064.5214,1080.4313
1064.5214,1074.0876
1063.9111,1074.4092
1063.9111,1075.7574
1063.7555,1073.9861
1063.7555,1071.3822
1063.4353,1072.9238
1063.4353,1072.3121
1063.2706,1073.1056
1063.2706,1075.5615
1063.4177,1077.6875
1063.4177,1078.641
1063.5717,1078.218
1063.5717,1076.4396
1063.7327,1076.5182
1063.7327,1076.9508
1064.2544,1076.8378
1064.2544,1077.6228
1064.9895,1077.1605
1064.9895,1076.4205
1065.5974,1076.9515
1065.5974,1076.2207
1066.2557,1074.7882
1066.2557,1075.3911
1066.971,1077.729
1066.971,1081.2866
1067.5833,1082.285
1067.5833,1081.6193
1068.44,1079.0305
1068.44,1079.8221
1068.477,1079.0365
1068.477,1077.8176
1069.3115,1078.5668
1069.3115,1080.6825
1069.4167,1080.0114
1069.4167,1080.2212
1069.5381,1081.8004
1069.5381,1083.7552
1069.6799,1085.2012
1069.6799,1082.8239
1069.8477,1081.1301
1069.8477,1079.5999
1071.0305,1080.6182
1071.0305,1082.5515
1071.3986,1081.3488
1071.3986,1079.0902
1073.6339,1080.401
1073.6339,1084.8041
1076.3578,1083.0068
1076.3578,1083.579
1081.572,1085.3568
1081.572,1090.9329
1087.5837,1092.7379
1087.5837,1094.4965
1092.3933,1095.2767
1092.3933,1100.9868
1101.1359,1105.6877
1101.1359,1112.1438
1107.8461,1116.5095
1107.8461,1119.0326
1114.706,1120.1505
1114.706,1126.4497
1121.9818,1128.6254
1121.9818,1133.8555
1125.6019,1135.5718
1125.6019,1141.7781
1129.8529,1141.9861
1129.8529,1146.4641
1132.1836,1146.8683
1132.1836,1143.7927
1134.1176,1141.1738
1134.1176,1144.301
1135.7449,1144.0742
1135.7449,1146.7865
1137.7041,1145.9707
1137.7041,1144.9938
1137.3486,1143.5726
1137.3486,1143.4216
1137.5343,1144.7202
1137.5343,1148.585
1137.6945,1150.3768
1137.6945,1150.706
1136.6229,1149.193
1136.6229,1147.3656
1135.9789,1145.0172
1135.9789,1143.2699
1135.384,1145.041
1135.384,1145.4912
1134.1636,1140.8804
1134.1636,1141.2794
1133.6796,1140.9757
1133.6796,1145.3594
1132.2233,1148.763
1132.2233,1144.7288
1130.8615,1140.5247
1130.8615,1141.506
1129.7343,1143.1726
1129.7343,1141.5454
1128.6434,1138.5215
1128.6434,1134.1843
1127.1764,1133.2379
1127.1764,1136.5156
1125.2369,1137.7073
1125.2369,1139.373
1123.8402,1138.8927
1123.8402,1136.8953
1122.0562,1135.1942
1122.0562,1132.84
1120.2367,1132.0322
1120.2367,1131.2194
1117.9664,1128.6134
1117.9664,1126.5924
1115.6954,1125.6332
1115.6954,1126.6478
1113.8167,1126.0182
1113.8167,1124.2805
1111.5409,1125.5533
1111.5409,1123.7865
1109.0997,1121.3445
1109.0997,1120.728
1107.1555,1118.7783
1107.1555,1118.5327
1104.641,1118.9105
1104.641,1116.9967
1102.6638,1114.4982
1102.6638,1113.4246
1100.4333,1112.7887
1100.4333,1109.3777
1098.4769,1111.6482
1098.4769,1111.4099
1097.683,1110.6134
1097.683,1107.2046
1096.3286,1105.5483
1096.3286,1103.6042
1096.135,1103.2843
1096.135,1102.1678
1095.3809,1103.7335
1095.3809,1105.1226
1095.7611,1109.337
1095.7611,1112.0719
1095.4037,1111.4137
1095.4037,1108.7557
1094.6888,1108.2631
1094.6888,1108.4851
1094.5253,1108.8622
1094.5253,1108.4033
1093.8314,1107.4921
1093.8314,1107.0472
1093.1493,1107.0454
1093.1493,1107.2592
1091.949,1104.6487
1091.949,1103.9359
1090.7649,1100.9746
1090.7649,1100.0626
1089.0697,1101.9823
1089.0697,1101.4467
1087.9226,1101.3608
1087.9226,1100.0675
1086.2701,1099.2107
1086.2701,1100.4318
1084.6923,1096.7965
1084.6923,1090.5404
1082.5778,1091.8567
1082.5778,1092.2872
1080.9868,1092.151
1080.9868,1094.4539
1079.3945,1093.0236
1079.3945,1088.2045
1077.7792,1089.892
1077.7792,1089.6533
1076.1321,1088.1682
1076.1321,1086.6691
1074.4548,1086.3986
1074.4548,1086.1437
1072.6683,1087.5396
1072.6683,1085.8438
1071.3741,1082.3473
1071.3741,1081.5901
1070.0278,1080.625
1070.0278,1078.9164
1069.2075,1080.1572
1069.2075,1079.9238
1068.351,1082.1561
1068.351,1084.1387
1067.456,1084.7892
1067.456,1081.9312
1066.3478,1078.0975
1066.3478,1078.6569
1065.988,1079.8539
1065.988,1075.8782
1065.4124,1074.2562
1065.4124,1071.8126
1064.7886,1073.9186
1064.7886,1077.1864
1064.8265,1078.2003
1064.8265,1076.9044
1063.8656,1079.172
1063.8656,1080.1836
1063.8595,1079.051
1063.8595,1076.4382
1064.1316,1072.61
1064.1316,1072.1086
1064.1404,1074.0043
1064.1404,1075.8027
1064.4518,1078.3601
1064.4518,1076.6718
1065.0869,1073.4817
1065.0869,1075.1293
1065.7526,1075.8507
1065.7526,1076.9796
1066.4509,1077.882
1066.4509,1077.9889
1068.2087,1078.3922
1068.2087,1079.5115
1069.2412,1080.4321
1069.2412,1081.5098
1070.2809,1081.9327
1070.2809,1083.0286
