True Value,Predicted Value
56.411617,61.4183
56.502407,60.8233
56.502407,60.755184
56.833523,58.825954
56.833523,58.1488
57.086452,56.67346
57.086452,59.238308
56.95178,60.049618
56.95178,60.857876
57.412502,62.900234
57.412502,61.18173
57.484066,58.709743
57.484066,60.821163
57.98202,63.765102
57.98202,61.073086
58.287655,59.368374
58.287655,61.04736
58.88278,59.714077
58.88278,62.64697
59.203213,65.63925
59.203213,62.470303
59.729427,63.88638
59.729427,64.340515
60.050076,63.403225
60.050076,62.24148
60.30035,62.549343
60.30035,62.022427
60.476284,66.998505
60.476284,67.676025
60.569393,66.955536
60.569393,61.216457
60.653408,61.543087
60.653408,65.214294
60.83328,62.363125
60.83328,65.226105
60.91711,66.69928
60.91711,66.78168
60.258175,64.72061
60.258175,63.3771
59.75851,63.27154
59.75851,64.352936
59.23483,62.34701
59.23483,61.245205
58.83981,65.58713
58.83981,62.94595
57.994473,63.462032
57.994473,61.366177
57.312313,61.88995
57.312313,63.801357
56.216824,59.26446
56.216824,58.600277
55.597683,59.297848
55.597683,59.099697
54.716,57.196926
54.716,59.31625
53.16055,56.469357
53.16055,55.66049
51.808926,53.99972
51.808926,56.546597
50.88815,55.24954
50.88815,58.34805
49.30804,54.727627
49.30804,55.17535
48.255398,50.74011
48.255398,52.36157
47.21066,52.43664
47.21066,52.465176
46.17477,49.75973
46.17477,50.098415
44.925533,49.44778
44.925533,48.79809
44.00778,48.14584
44.00778,48.260616
43.418026,51.057156
43.418026,49.30267
42.906796,45.558956
42.906796,44.452694
42.63522,48.213467
42.63522,43.51974
42.076717,45.813717
42.076717,47.38278
42.14935,47.327053
42.14935,48.14709
41.83993,47.64654
41.83993,49.90991
41.98602,47.359005
41.98602,45.065273
42.052822,43.149837
42.052822,44.371426
42.11291,43.97909
42.11291,43.89062
42.105923,46.44827
42.105923,44.425808
42.592617,48.407253
42.592617,47.38165
43.022243,47.45773
43.022243,45.046078
44.439083,45.605465
44.439083,46.140774
45.453884,45.512936
45.453884,49.38992
47.33044,52.597164
