True Value,Predicted Value
56.411617,56.90887
56.502407,56.107723
56.502407,55.956966
56.833523,54.097225
56.833523,53.248775
57.086452,51.740047
57.086452,53.698055
56.95178,54.660122
56.95178,55.86215
57.412502,57.832912
57.412502,56.86346
57.484066,54.705746
57.484066,55.78451
57.98202,58.193874
57.98202,56.5072
58.287655,54.95785
58.287655,55.88647
58.88278,54.934566
58.88278,57.329464
59.203213,60.087673
59.203213,58.29925
59.729427,59.326077
59.729427,59.549313
60.050076,58.956753
60.050076,57.681118
60.30035,57.59277
60.30035,57.034542
60.476284,61.15463
60.476284,62.43835
60.569393,62.59805
60.569393,57.742977
60.653408,57.096737
60.653408,59.40002
60.83328,57.47424
60.83328,59.73431
60.91711,61.19842
60.91711,62.065823
60.258175,60.495724
60.258175,59.08102
59.75851,58.45666
59.75851,59.060146
59.23483,57.41778
59.23483,56.349514
58.83981,59.704372
58.83981,58.171535
57.994473,58.755856
57.994473,56.76675
57.312313,57.05377
57.312313,58.37277
56.216824,54.921566
56.216824,53.888607
55.597683,53.926083
55.597683,53.912685
54.716,52.34524
54.716,53.919125
53.16055,51.77856
53.16055,51.02197
51.808926,49.180813
51.808926,51.08932
50.88815,50.170834
50.88815,52.954525
49.30804,50.283657
49.30804,50.64294
48.255398,46.543087
48.255398,47.36163
47.21066,47.02972
47.21066,47.344418
46.17477,45.114346
46.17477,45.223995
44.925533,44.553127
44.925533,44.040768
44.00778,43.302853
44.00778,43.294216
43.418026,45.640102
43.418026,44.66357
42.906796,41.640957
42.906796,39.986965
42.63522,42.62042
42.63522,39.05087
42.076717,40.70779
42.076717,41.92053
42.14935,42.634274
42.14935,43.477077
41.83993,43.251064
41.83993,45.169643
41.98602,43.178005
41.98602,41.038235
42.052822,38.68252
42.052822,39.207363
42.11291,38.81283
42.11291,38.900723
42.105923,41.12808
42.105923,39.991543
42.592617,43.427242
42.592617,42.88641
43.022243,43.24856
43.022243,40.9064
44.439083,40.997463
44.439083,41.109097
45.453884,40.707607
45.453884,43.93704
47.33044,47.248623
47.33044,46.424496
49.364864,47.539272
49.364864,47.560146
51.467037,50.231747
51.467037,47.456753
54.587948,49.4212
54.587948,49.613735
56.927425,50.116238
56.927425,52.469875
59.35882,56.73007
59.35882,60.253872
62.01324,59.439938
62.01324,59.151028
64.29962,59.729336
64.29962,59.368282
65.50528,64.22482
65.50528,62.91647
66.621124,65.39679
66.621124,68.90195
67.40994,69.4783
67.40994,68.009125
68.42963,68.64816
68.42963,66.65018
69.398254,65.990906
69.398254,67.34515
69.51062,66.97638
69.51062,64.21411
69.80798,66.65439
69.80798,70.41116
69.885284,70.52292
69.885284,70.18228
69.94763,70.34424
69.94763,70.62848
69.80209,69.5452
69.80209,67.98016
69.08664,68.10394
69.08664,69.58536
68.37338,67.667755
68.37338,68.00467
67.663086,67.41571
67.663086,66.9765
66.425476,64.08441
66.425476,66.32736
65.21051,65.928925
65.21051,63.172787
63.349667,61.8977
63.349667,60.896908
62.354244,60.295437
62.354244,60.183926
60.259396,59.478542
60.259396,58.656063
58.843166,56.16937
58.843166,59.603695
57.39575,57.271206
57.39575,58.62878
56.05505,55.381527
56.05505,55.06741
54.415157,52.410732
54.415157,52.392452
52.81808,53.398098
52.81808,55.147152
51.731777,53.97494
51.731777,51.12759
50.64819,48.173824
50.64819,48.23657
49.60861,47.35635
49.60861,48.716488
48.90893,47.912228
48.90893,47.614895
48.295467,45.978695
48.295467,48.087185
47.576168,48.86453
47.576168,46.227047
46.913754,46.494015
46.913754,45.666836
46.59332,44.811
46.59332,44.826534
45.583706,45.891872
45.583706,45.249416
44.9064,43.679287
44.9064,42.51791
44.587673,43.318783
44.587673,45.307125
44.555416,43.99377
44.555416,42.318966
44.246456,41.200466
44.246456,42.41122
44.234585,40.525234
44.234585,42.333553
44.287716,42.338375
44.287716,42.633297
44.34329,42.716183
44.34329,43.328487
44.816586,45.499447
44.816586,46.09506
44.89007,45.028255
44.89007,44.638638
45.829494,43.706417
45.829494,45.585476
45.98309,44.23422
45.98309,44.972103
47.011562,47.179897
47.011562,46.65237
47.64706,44.841152
47.64706,45.76321
48.310665,47.681423
48.310665,48.330715
48.838497,50.470577
48.838497,48.90881
49.32974,47.47195
49.32974,47.418697
49.675716,48.311275
49.675716,46.392727
49.637417,45.991726
49.637417,48.198116
49.935055,48.696377
49.935055,51.51492
50.14105,52.052486
50.14105,50.120174
49.959408,51.126247
49.959408,50.564358
50.077023,48.311947
50.077023,47.49206
50.678066,46.90762
50.678066,47.84689
50.833736,49.467525
50.833736,49.354427
51.384823,48.14477
51.384823,47.122738
51.90585,50.652157
51.90585,50.471615
52.399105,51.835537
52.399105,49.940792
52.928616,50.73498
52.928616,50.446804
53.475887,51.586575
53.475887,49.90536
54.3522,51.11047
54.3522,51.71002
55.2261,51.832638
55.2261,53.443264
56.048946,55.597103
56.048946,56.20416
57.234035,56.41885
57.234035,56.746822
58.13702,55.73559
58.13702,56.511654
59.2279,55.97299
59.2279,54.682125
59.852077,58.26971
59.852077,60.143276
61.09387,62.45831
61.09387,61.249813
61.69705,60.211697
61.69705,58.802273
62.540005,59.656643
62.540005,59.7373
63.589016,60.21954
63.589016,60.468746
64.45334,62.978146
64.45334,61.435207
64.72769,63.709103
64.72769,64.05841
65.0022,65.947205
65.0022,67.02295
65.27646,64.78931
65.27646,64.7431
65.54733,63.043636
65.54733,62.115047
65.62265,64.16556
65.62265,67.29428
64.91943,67.78424
64.91943,67.647125
64.84808,65.689606
64.84808,60.92181
63.570522,60.091793
63.570522,59.88174
62.909695,59.811703
62.909695,62.334225
62.300014,61.953823
62.300014,62.32504
61.578915,60.65066
61.578915,59.72546
60.82748,59.90646
60.82748,57.557003
60.05096,55.900173
60.05096,58.750362
59.38946,58.271633
59.38946,59.278408
58.58575,59.59576
58.58575,57.44647
57.54205,55.634212
57.54205,56.966854
56.734737,58.151333
56.734737,56.629116
55.72143,54.587673
55.72143,54.553036
54.876736,54.138668
54.876736,52.67947
53.905453,53.004543
53.905453,55.68353
53.09817,54.239864
53.09817,54.622982
51.986355,50.18481
51.986355,48.320126
51.349728,49.075863
51.349728,51.290432
50.154873,50.17709
50.154873,48.79617
49.278927,48.405544
49.278927,48.135403
48.51974,46.86047
48.51974,47.089077
47.486843,45.84277
47.486843,45.798153
46.440365,45.11215
46.440365,46.179012
45.381832,46.20254
45.381832,47.031796
44.68429,44.72012
44.68429,43.34338
43.98025,40.87924
43.98025,42.118587
43.325924,43.750973
43.325924,46.412838
42.935757,43.27685
42.935757,42.39755
42.209164,38.99777
42.209164,41.146572
42.061672,40.641933
42.061672,40.767117
41.57516,38.75149
41.57516,37.092922
41.365932,39.60275
41.365932,42.71133
41.16586,42.191647
41.16586,41.843044
40.891445,44.509457
40.891445,41.896236
40.923183,42.758877
40.923183,40.56631
40.587612,39.59518
40.587612,36.041225
