True Value,Predicted Value
56.951778,199.16147
57.412489,89.23724
57.412489,-24.679478
57.484053,-106.621796
57.484053,-99.73526
57.982013,-60.150547
57.982013,0.26406565
58.28769,60.10513
58.28769,105.02228
58.882772,130.63062
58.882772,134.54962
59.20318,120.93115
59.20318,101.82233
59.729442,76.1445
59.729442,46.850185
60.050073,27.669949
60.050073,7.9768343
60.300351,-6.2748137
60.300351,-17.68253
60.476301,-13.929111
60.476301,-10.331454
60.569416,7.7095613
60.569416,32.074184
60.653406,60.16055
60.653406,78.822235
60.833244,86.24759
60.833244,89.60632
60.917097,91.77545
60.917097,88.71823
60.258172,83.26001
60.258172,68.73248
59.758519,50.255306
59.758519,33.397793
59.234864,19.750027
59.234864,8.759244
58.839802,6.0377474
58.839802,14.969022
57.99446,27.768581
57.99446,46.608364
57.312334,64.487335
57.312334,80.3244
56.216826,92.059784
56.216826,97.28534
55.597672,98.67935
55.597672,84.28775
54.715995,68.07254
54.715995,49.104305
53.160538,36.886684
53.160538,24.982204
51.808914,11.590787
51.808914,0.6086701
50.888173,-10.194369
50.888173,-20.300571
49.308041,-24.163548
49.308041,-16.919407
48.25539,3.045865
48.25539,28.865261
47.210664,54.51446
47.210664,82.03079
46.174786,95.233
46.174786,100.284546
44.925529,93.710175
44.925529,79.864655
44.007768,62.599453
44.007768,43.619045
43.418065,27.43954
43.418065,13.643765
42.906771,3.1523714
42.906771,-4.4618254
42.635209,0.65072334
42.635209,11.580777
42.076706,23.444485
42.076706,36.97073
42.149365,47.709835
42.149365,58.12643
41.839931,64.02847
41.839931,61.142178
41.986059,58.28622
41.986059,54.98834
42.052823,57.52438
42.052823,54.276394
42.112917,56.969967
42.112917,58.894253
42.105913,50.970516
42.105913,38.937283
42.592613,23.703396
42.592613,6.2166414
43.022237,-10.217929
43.022237,-17.293308
44.439076,-11.476047
44.439076,5.145108
45.453865,21.213406
45.453865,41.107204
47.330435,53.945675
47.330435,63.617153
49.364879,73.41077
49.364879,72.75296
51.467059,67.80771
51.467059,62.678127
54.587941,41.717373
54.587941,27.250332
56.927441,12.348966
56.927441,7.393277
59.358812,16.511074
59.358812,28.718655
62.013219,48.926662
62.013219,72.15149
64.299641,85.724396
64.299641,90.39685
65.505306,88.33298
65.505306,78.23227
66.621117,67.02545
66.621117,54.380062
67.409946,44.396816
67.409946,38.400967
68.429658,33.705044
68.429658,40.477627
69.398253,44.01376
69.398253,45.488796
69.510629,57.14233
69.510629,69.22327
69.807993,74.69452
69.807993,76.006775
69.885245,68.40576
69.885245,57.102108
69.947596,49.079678
69.947596,42.9219
69.802108,39.355312
69.802108,43.59051
69.086631,54.913906
69.086631,65.10614
68.373377,61.935696
68.373377,57.676327
67.663072,52.052486
67.663072,47.661953
66.425459,44.788113
66.425459,41.389248
65.210522,37.843838
65.210522,37.965237
63.349638,39.32559
63.349638,46.10571
62.35426,48.021603
62.35426,50.37991
60.259382,54.838528
60.259382,51.686855
58.843184,53.086178
58.843184,53.926968
57.395765,55.270046
57.395765,53.729122
56.055052,47.121944
56.055052,40.661953
54.415155,36.00796
54.415155,32.24435
52.818066,31.018887
52.818066,32.32339
51.731789,36.451748
51.731789,40.733242
50.648162,40.689297
50.648162,42.195583
49.608637,46.80157
49.608637,55.735348
48.908904,64.35397
48.908904,68.574036
48.295456,68.19223
48.295456,65.41498
47.576157,60.88641
47.576157,51.225704
46.913745,41.754177
46.913745,37.982815
46.593335,41.288235
46.593335,40.80795
45.583687,45.69192
45.583687,50.766354
44.906376,50.550167
44.906376,48.642056
44.587701,41.53671
44.587701,31.790493
44.555421,22.968716
44.555421,20.233242
44.246485,18.783047
44.246485,18.205227
44.23456,22.091274
44.23456,30.722317
44.287702,37.99734
44.287702,48.68368
44.343294,60.32983
44.343294,63.507687
44.816579,57.456753
44.816579,46.285
44.890057,35.355007
44.890057,29.106289
45.829496,20.457058
45.829496,18.947964
45.983097,12.950772
45.983097,13.476834
47.01157,19.160915
47.01157,33.95486
47.647041,47.211147
47.647041,55.73794
48.310687,64.41931
48.310687,66.66168
48.838519,58.311123
48.838519,46.96359
49.329739,36.418972
49.329739,27.59982
49.675739,17.755032
49.675739,11.105435
49.637429,7.6211824
49.637429,12.432706
49.935058,21.900295
49.935058,36.45547
50.141067,56.910152
50.141067,74.63547
49.9594,85.859344
49.9594,86.993866
