True Value,Predicted Value
1410.0436,1290.0769
1412.8059,1290.6702
1412.8059,1290.9865
1415.1602,1291.971
1415.1602,1292.2915
1417.471,1293.1147
1417.471,1293.3842
1420.0682,1293.9525
1420.0682,1294.3315
1421.8567,1295.1182
1421.8567,1295.6229
1423.8887,1296.2113
1423.8887,1296.8542
1426.3478,1297.3887
1426.3478,1297.8728
1428.2267,1298.4961
1428.2267,1298.8362
1430.1318,1299.2622
1430.1318,1300.0034
1432.0592,1300.1671
1432.0592,1300.4817
1433.3544,1300.856
1433.3544,1301.497
1435.3713,1302.1405
1435.3713,1302.4016
1437.312,1303.0906
1437.312,1303.3561
1438.6277,1303.8834
1438.6277,1304.048
1440.5509,1304.4791
1440.5509,1305.03
1441.8328,1305.4277
1441.8328,1305.7076
1443.0728,1306.1334
1443.0728,1306.1506
1444.3333,1306.3342
1444.3333,1307.0509
1445.5194,1307.3516
1445.5194,1307.7198
1446.755,1308.074
1446.755,1307.9899
1447.2793,1308.7354
1447.2793,1309.0146
1448.4902,1308.9485
1448.4902,1309.4628
1449.576,1309.6365
1449.576,1309.9348
1450.7571,1310.0394
1450.7571,1310.5685
1451.9288,1310.381
1451.9288,1310.8464
1453.2487,1311.0775
1453.2487,1311.1833
1454.4122,1311.6284
1454.4122,1311.7231
1454.4122,1312.1902
1455.7513,1312.0135
1457.683,1312.6525
1457.683,1312.7565
1459.284,1312.6511
1459.284,1313.3849
1460.683,1313.6434
1460.683,1313.8862
1462.3665,1314.3472
1462.3665,1314.2986
1464.1016,1314.4456
1464.1016,1314.8179
1464.1016,1315.5627
1465.6305,1315.3842
1466.9022,1315.8198
1466.9022,1316.1844
1467.9929,1316.1211
1467.9929,1316.7942
1469.3846,1316.7147
1469.3846,1316.9979
1469.3846,1317.225
1470.6365,1317.5087
1471.3379,1317.725
1471.3379,1317.8927
1471.3379,1318.0724
1472.2892,1318.6096
1473.1288,1318.6937
1473.1288,1318.7789
1473.1288,1319.1755
1473.4991,1319.629
1473.4991,1319.7821
1473.7316,1319.7778
1473.7316,1320.136
1473.3729,1320.6927
1473.3729,1320.3021
1472.976,1320.5533
1472.976,1320.6266
1472.5339,1320.7883
1472.5339,1320.756
1471.0697,1320.7343
1471.0697,1321.2097
1468.6974,1320.734
1468.6974,1320.8613
1466.7292,1320.7128
1466.7292,1320.9116
1462.5068,1320.6423
1462.5068,1320.5425
1459.1104,1320.4333
1459.1104,1320.4664
1453.8428,1319.5675
1453.8428,1319.5417
1446.3297,1318.9905
1446.3297,1319.125
1439.7516,1317.7886
1439.7516,1318.0028
1430.6755,1316.5546
1430.6755,1316.1593
1423.1326,1314.753
1423.1326,1314.6486
1413.0605,1312.393
1413.0605,1312.429
1405.7711,1310.4912
1405.7711,1310.3431
1397.7806,1307.9198
1397.7806,1307.5785
1390.8605,1305.6005
1390.8605,1305.019
1386.2979,1303.1252
1386.2979,1302.3495
1383.7693,1300.3992
1383.7693,1299.3776
1380.5902,1297.8552
1380.5902,1296.8271
1379.494,1295.3236
1379.494,1294.8966
1379.0709,1293.2607
1379.0709,1292.4884
1379.1475,1291.4487
1379.1475,1290.7499
1379.6249,1289.805
1379.6249,1288.9401
1380.0522,1288.2051
1380.0522,1287.8645
1381.1904,1287.2078
1381.1904,1286.8212
1382.9796,1286.1749
1382.9796,1285.7261
1383.5814,1285.4303
1383.5814,1285.0323
1385.1726,1285.3845
1385.1726,1284.9536
1386.4381,1284.8416
1386.4381,1284.6294
1387.6637,1284.6917
1387.6637,1284.7793
1388.6682,1285.0903
1388.6682,1284.7179
1389.2584,1284.8663
1389.2584,1285.2488
1390.2561,1285.5209
1390.2561,1285.3573
1391.254,1285.9359
1391.254,1285.9464
1391.6871,1286.0157
1391.6871,1286.1138
1392.1278,1286.9642
1392.1278,1286.533
1393.032,1287.0071
1393.032,1287.171
1392.9178,1287.0836
1392.9178,1287.1936
1393.8691,1287.8131
1393.8691,1288.0157
1394.2633,1287.7382
1394.2633,1288.1241
1395.2047,1288.4923
1395.2047,1288.5392
1396.221,1288.4471
1396.221,1288.739
1397.3204,1289.0363
1397.3204,1289.205
1399.1492,1289.0111
1399.1492,1289.5155
1401.8197,1290.1631
1401.8197,1289.824
1404.7014,1290.3241
1404.7014,1290.2833
1408.6146,1290.7393
1408.6146,1290.9736
1412.8829,1291.4214
1412.8829,1291.5894
1417.0184,1292.5709
1417.0184,1292.774
1422.194,1293.702
1422.194,1293.8022
1427.7017,1294.7446
1427.7017,1294.8466
1432.0118,1296.2244
1432.0118,1296.3573
1436.074,1297.4996
1436.074,1297.6982
1439.8712,1298.9119
1439.8712,1299.4165
